energy_ev,total_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.04003665,0.59879903,0.19519040,2.69739481,1.40265878,0.01578731,1.07848000,0.04417380,1.24423918
-5.99399700,3.82435537,0.59096553,0.19421202,2.53781350,1.31519229,0.01520358,1.02173285,0.04318010,1.18739873
-5.98799400,3.63044381,0.58396870,0.19410068,2.39088411,1.23478123,0.01485989,0.96927971,0.04253674,1.13807279
-5.98199100,3.45953667,0.57844765,0.19512296,2.25732717,1.16162040,0.01475367,0.92133236,0.04225748,1.09691629
-5.97598799,3.31259702,0.57506690,0.19755244,2.13770783,1.09581047,0.01487923,0.87803965,0.04235153,1.06450760
-5.96998499,3.19031666,0.57450215,0.20166418,2.03243836,1.03736475,0.01522791,0.83948864,0.04282326,1.04134194
-5.96398199,3.09311511,0.57742546,0.20772890,1.94177987,0.98621497,0.01578806,0.80570544,0.04367192,1.02782439
-5.95797899,3.02113823,0.58449025,0.21600697,1.86584325,0.94221622,0.01654519,0.77665602,0.04489143,1.02426273
-5.95197599,2.97425691,0.59631635,0.22674230,1.80458991,0.90515116,0.01748199,0.75224726,0.04647019,1.03086040
-5.94597299,2.95206690,0.61347547,0.24015617,1.75783289,0.87473381,0.01857849,0.73232844,0.04839109,1.04771006
-5.93996998,2.95389071,0.63647727,0.25644123,1.72523879,0.85061338,0.01981220,0.71669351,0.05063155,1.07478809
-5.93396698,2.97878247,0.66575611,0.27575570,1.70633117,0.83237836,0.02115828,0.70508427,0.05316377,1.11195019
-5.92796398,3.02553646,0.70165886,0.29821772,1.70049587,0.81956135,0.02258987,0.69719467,0.05595513,1.15892872
-5.92196098,3.09270005,0.74443361,0.32390031,1.70698865,0.81164487,0.02407836,0.69267647,0.05896878,1.21533168
-5.91595798,3.17859120,0.79421967,0.35282656,1.72494543,0.80806830,0.02559384,0.69114603,0.06216430,1.28064374
-5.90995498,3.28132081,0.85103874,0.38496560,1.75339528,0.80823629,0.02710562,0.69219241,0.06549865,1.35422936
-5.90395198,3.39881975,0.91478762,0.42022914,1.79127630,0.81152835,0.02858273,0.69538658,0.06892706,1.43533802
