energy_ev,total_up,In_p_up,In_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,5.01028758,0.09583783,0.00539757,3.77437780,1.24648241,3.18298193,0.00000000
-5.99399700,5.38765705,0.10268556,0.00572170,4.09162569,1.33415848,3.42365076,0.00000000
-5.98799400,5.75874229,0.10934038,0.00603262,4.40866204,1.41915841,3.66049291,0.00000000
-5.98199100,6.11818984,0.11569116,0.00632534,4.72135174,1.50017336,3.89011801,0.00000000
-5.97598799,6.46067544,0.12162955,0.00659509,5.02545917,1.57592978,4.10915369,0.00000000
-5.96998499,6.78103913,0.12705261,0.00683748,5.31674711,1.64522530,4.31433054,0.00000000
-5.96398199,7.07442333,0.13186559,0.00704859,5.59108167,1.70696449,4.50256894,0.00000000
-5.95797899,7.33640830,0.13598451,0.00722509,5.84453911,1.76019265,4.67106418,0.00000000
-5.95197599,7.56313895,0.13933854,0.00736434,6.07351035,1.80412633,4.81736615,0.00000000
-5.94597299,7.75143760,0.14187200,0.00746447,6.27479886,1.83817898,4.93945023,0.00000000
-5.93996998,7.89889752,0.14354595,0.00752445,6.44570802,1.86198058,5.03577617,0.00000000
-5.93396698,8.00395325,0.14433924,0.00754411,6.58411435,1.87539033,5.10533240,0.00000000
-5.92796398,8.06592444,0.14424899,0.00752417,6.68852378,1.87850161,5.14766396,0.00000000
-5.92196098,8.08503154,0.14329052,0.00746620,6.75810882,1.87163916,5.16288278,0.00000000
-5.91595798,8.06238281,0.14149665,0.00737260,6.79272552,1.85534841,5.15166019,0.00000000
-5.90995498,7.99993337,0.13891652,0.00724647,6.79290981,1.83037763,5.11520205,0.00000000
-5.90395198,7.90041856,0.13561390,0.00709161,6.75985389,1.79765353,5.05520786,0.00000000
-5.89794897,7.76726463,0.13166506,0.00691229,6.69536408,1.75825158,4.97381580,0.00000000
-5.89194597,7.60448086,0.12715640,0.00671321,6.60180226,1.71336229,4.87353615,0.00000000
-5.88594297,7.41653772,0.12218189,0.00649930,6.48201351,1.66425492,4.75717600,0.00000000
-5.87993997,7.20823616,0.11684029,0.00627560,6.33924307,1.61224005,4.62775825,0.00000000
-5.87393697,6.98457289,0.11123255,0.00604709,6.17704581,1.55863258,4.48843799,0.00000000
-5.86793397,6.75060668,0.10545919,0.00581860,5.99919143,1.50471644,4.34241922,0.00000000
-5.86193097,6.51132995,0.09961793,0.00559461,5.80956858,1.45171215,4.19287456,0.00000000
-5.85592796,6.27154951,0.09380152,0.00537919,5.61209078,1.40074826,4.04287030,0.00000000
-5.84992496,6.03577954,0.08809596,0.00517588,5.41060652,1.35283726,3.89529865,0.00000000
