energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.00854863,0.26306168,0.00000000,0.00493107,0.15123904,0.26782502,0.46549666
-5.99399700,1.07111189,0.27986268,0.00000000,0.00550186,0.15978812,0.28678673,0.49698265
-5.98799400,1.13660736,0.29744951,0.00000000,0.00611480,0.16869590,0.30682580,0.52967089
-5.98199100,1.20430265,0.31562325,0.00000000,0.00677028,0.17786433,0.32772984,0.56317377
-5.97598799,1.27348116,0.33418687,0.00000000,0.00746834,0.18720171,0.34928474,0.59710596
-5.96998499,1.34346436,0.35295117,0.00000000,0.00820857,0.19662607,0.37128049,0.63109584
-5.96398199,1.41363162,0.37174009,0.00000000,0.00899000,0.20606796,0.39351664,0.66479630
-5.95797899,1.48343664,0.39039521,0.00000000,0.00981098,0.21547272,0.41580708,0.69789412
-5.95197599,1.55241963,0.40877920,0.00000000,0.01066909,0.22480186,0.43798393,0.73011784
-5.94597299,1.62021493,0.42677819,0.00000000,0.01156103,0.23403373,0.45990051,0.76124336
-5.93996998,1.68655344,0.44430274,0.00000000,0.01248246,0.24316330,0.48143305,0.79109744
-5.93396698,1.75126013,0.46128761,0.00000000,0.01342794,0.25220103,0.50248126,0.81955856
-5.92796398,1.81424657,0.47769027,0.00000000,0.01439085,0.26117104,0.52296768,0.84655546
-5.92196098,1.87549926,0.49348825,0.00000000,0.01536331,0.27010850,0.54283588,0.87206319
-5.91595798,1.93506426,0.50867561,0.00000000,0.01633624,0.27905648,0.56204774,0.89609724
-5.90995498,1.99302924,0.52325867,0.00000000,0.01729934,0.28806239,0.58057985,0.91870581
-5.90395198,2.04950393,0.53725133,0.00000000,0.01824124,0.29717416,0.59841945,0.93996100
-5.89794897,2.10460014,0.55067022,0.00000000,0.01914966,0.30643645,0.61555997,0.95994912
-5.89194597,2.15841250,0.56353013,0.00000000,0.02001161,0.31588685,0.63199669,0.97876102
-5.88594297,2.21100092,0.57583968,0.00000000,0.02081370,0.32555259,0.64772254,0.99648262
-5.87993997,2.26237575,0.58759786,0.00000000,0.02154247,0.33544754,0.66272443,1.01318654
-5.87393697,2.31248627,0.59879126,0.00000000,0.02218475,0.34556988,0.67698029,1.02892487
-5.86793397,2.36121311,0.60939238,0.00000000,0.02272806,0.35590045,0.69045692,1.04372370
-5.86193097,2.40836462,0.61935886,0.00000000,0.02316104,0.36640177,0.70310873,1.05757951
-5.85592796,2.45367749,0.62863385,0.00000000,0.02347382,0.37701784,0.71487749,1.07045748
-5.84992496,2.49682104,0.63714716,0.00000000,0.02365840,0.38767462,0.72569291,1.08229180
-5.84392196,2.53740504,0.64481740,0.00000000,0.02370898,0.39828124,0.73547415,1.09298780
-5.83791896,2.57499033,0.65155460,0.00000000,0.02362219,0.40873175,0.74413196,1.10242563
-5.83191596,2.60910166,0.65726348,0.00000000,0.02339728,0.41890740,0.75157141,1.11046536
-5.82591296,2.63924201,0.66184684,0.00000000,0.02303622,0.42867943,0.75769505,1.11695292
-5.81990995,2.66490776,0.66520917,0.00000000,0.02254365,0.43791203,0.76240628,1.12172685
-5.81390695,2.68560402,0.66726012,0.00000000,0.02192681,0.44646567,0.76561276,1.12462517
-5.80790395,2.70085967,0.66791778,0.00000000,0.02119533,0.45420050,0.76722981,1.12549236
-5.80190095,2.71024146,0.66711167,0.00000000,0.02036091,0.46097981,0.76718362,1.12418593
-5.79589795,2.71336704,0.66478524,0.00000000,0.01943703,0.46667342,0.76541409,1.12058245
-5.78989495,2.70991652,0.66089801,0.00000000,0.01843850,0.47116102,0.76187739,1.11458287
-5.78389195,2.69964231,0.65542719,0.00000000,0.01738099,0.47433527,0.75654806,1.10611691
-5.77788894,2.68237736,0.64836886,0.00000000,0.01628066,0.47610463,0.74942068,1.09514655
-5.77188594,2.65804141,0.63973868,0.00000000,0.01515360,0.47639591,0.74051107,1.08166848
-5.76588294,2.62664551,0.62957216,0.00000000,0.01401550,0.47515638,0.72985695,1.06571555
-5.75987994,2.58829454,0.61792455,0.00000000,0.01288118,0.47235546,0.71751825,1.04735725
-5.75387694,2.54318789,0.60487038,0.00000000,0.01176431,0.46798586,0.70357682,1.02669926
-5.74787394,2.49161812,0.59050258,0.00000000,0.01067714,0.46206425,0.68813578,1.00388215
-5.74187094,2.43396778,0.57493139,0.00000000,0.00963027,0.45463121,0.67131835,0.97907922
-5.73586793,2.37070434,0.55828282,0.00000000,0.00863253,0.44575077,0.65326632,0.95249373
-5.72986493,2.30237318,0.54069696,0.00000000,0.00769096,0.43550916,0.63413806,0.92435541
-5.72386193,2.22958893,0.52232593,0.00000000,0.00681080,0.42401315,0.61410625,0.89491648
-5.71785893,2.15302516,0.50333161,0.00000000,0.00599553,0.41138775,0.59335518,0.86444720
-5.71185593,2.07340266,0.48388311,0.00000000,0.00524705,0.39777351,0.57207779,0.83323111
