energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.03536160,0.07625739,0.00107716,0.14398862,0.87864201,0.41896308,0.32101165
-5.99399700,2.00964326,0.07807932,0.00109994,0.15371009,0.85161301,0.41912193,0.30652462
-5.98799400,1.99157195,0.08006992,0.00112601,0.16463792,0.82741273,0.42082634,0.29314945
-5.98199100,1.98175926,0.08222888,0.00115542,0.17673748,0.80641818,0.42422806,0.28103481
-5.97598799,1.98071121,0.08455770,0.00118822,0.18994077,0.78898050,0.42947131,0.27030761
-5.96998499,1.98881792,0.08705974,0.00122441,0.20414529,0.77541899,0.43669167,0.26107119
-5.96398199,2.00634635,0.08974020,0.00126401,0.21921420,0.76601593,0.44601505,0.25340436
-5.95797899,2.03343636,0.09260588,0.00130699,0.23497775,0.76101255,0.45755660,0.24736118
-5.95197599,2.07010016,0.09566488,0.00135330,0.25123606,0.76060580,0.47141956,0.24297146
-5.94597299,2.11622496,0.09892610,0.00140285,0.26776327,0.76494619,0.48769391,0.24024189
-5.93996998,2.17157844,0.10239864,0.00145552,0.28431289,0.77413646,0.50645481,0.23915772
-5.93396698,2.23581662,0.10609117,0.00151116,0.30062428,0.78823085,0.52776072,0.23968487
-5.92796398,2.30849356,0.11001112,0.00156956,0.31642997,0.80723491,0.55165116,0.24177229
-5.92196098,2.38907201,0.11416388,0.00163048,0.33146365,0.83110565,0.57814410,0.24535449
-5.91595798,2.47693451,0.11855193,0.00169361,0.34546840,0.85975173,0.60723291,0.25035401
-5.90995498,2.57139421,0.12317398,0.00175862,0.35820501,0.89303371,0.63888306,0.25668376
-5.90395198,2.67170483,0.12802413,0.00182512,0.36945982,0.93076418,0.67302848,0.26424913
-5.89794897,2.77706933,0.13309106,0.00189266,0.37905193,0.97270775,0.70956795,0.27294978
-5.89194597,2.88664721,0.13835739,0.00196076,0.38683941,1.01858104,0.74836153,0.28268100
-5.88594297,2.99956025,0.14379908,0.00202889,0.39272417,1.06805276,0.78922740,0.29333477
-5.87993997,3.11489704,0.14938505,0.00209648,0.39665540,1.12074398,0.83193935,0.30480036
-5.87393697,3.23171663,0.15507704,0.00216291,0.39863130,1.17622908,0.87622526,0.31696467
-5.86793397,3.34905189,0.16082971,0.00222753,0.39869914,1.23403735,0.92176674,0.32971239
-5.86193097,3.46591320,0.16659096,0.00228968,0.39695355,1.29365584,0.96820044,0.34292590
-5.85592796,3.58129317,0.17230261,0.00234866,0.39353319,1.35453339,1.01512092,0.35648526
-5.84992496,3.69417300,0.17790143,0.00240379,0.38861596,1.41608632,1.06208552,0.37026823
-5.84392196,3.80353099,0.18332032,0.00245436,0.38241282,1.47770561,1.10862101,0.38415049
-5.83791896,3.90835348,0.18848989,0.00249973,0.37516067,1.53876575,1.15423218,0.39800607
-5.83191596,4.00764823,0.19334017,0.00253925,0.36711442,1.59863499,1.19841187,0.41170815
-5.82591296,4.10046011,0.19780254,0.00257235,0.35853868,1.65668681,1.24065246,0.42513013
-5.81990995,4.18588839,0.20181165,0.00259854,0.34969925,1.71231213,1.28045807,0.43814704
-5.81390695,4.26310505,0.20530739,0.00261741,0.34085483,1.76493180,1.31735713,0.45063718
-5.80790395,4.33137298,0.20823673,0.00262865,0.33224918,1.81400882,1.35091474,0.46248394
-5.80190095,4.39006295,0.21055528,0.00263207,0.32410398,1.85905964,1.38074410,0.47357770
-5.79589795,4.43866827,0.21222865,0.00262762,0.31661261,1.89966396,1.40651653,0.48381766
-5.78989495,4.47681588,0.21323337,0.00261538,0.30993493,1.93547250,1.42796954,0.49311353
-5.78389195,4.50427311,0.21355739,0.00259555,0.30419344,1.96621228,1.44491244,0.50138689
-5.77788894,4.52094923,0.21320012,0.00256847,0.29947052,1.99168906,1.45722929,0.50857218
-5.77188594,4.52689159,0.21217205,0.00253459,0.29580711,2.01178691,1.46487900,0.51461727
-5.76588294,4.52227617,0.21049387,0.00249447,0.29320268,2.02646469,1.46789256,0.51948343
-5.75987994,4.50739319,0.20819524,0.00244876,0.29161645,2.03575001,1.46636771,0.52314486
-5.75387694,4.48262833,0.20531330,0.00239816,0.29096982,2.03973067,1.46046118,0.52558776
-5.74787394,4.44844074,0.20189092,0.00234341,0.29114990,2.03854444,1.45037924,0.52680893
-5.74187094,4.40533927,0.19797490,0.00228527,0.29201398,2.03236760,1.43636695,0.52681414
-5.73586793,4.35385837,0.19361416,0.00222445,0.29339487,2.02140307,1.41869682,0.52561628
-5.72986493,4.29453517,0.18885808,0.00216167,0.29510682,2.00586889,1.39765756,0.52323347
-5.72386193,4.22788935,0.18375507,0.00209754,0.29695195,1.98598767,1.37354353,0.51968732
-5.71785893,4.15440700,0.17835141,0.00203263,0.29872690,1.96197776,1.34664547,0.51500141
-5.71185593,4.07452954,0.17269051,0.00196741,0.30022957,1.93404657,1.31724298,0.50920010
-5.70585293,3.98864841,0.16681245,0.00190225,0.30126571,1.90238648,1.28559910,0.50230784
-5.69984992,3.89710568,0.16075399,0.00183742,0.30165513,1.86717342,1.25195710,0.49434897
-5.69384692,3.80020061,0.15454886,0.00177313,0.30123737,1.82856829,1.21653963,0.48534801
-5.68784392,3.69820136,0.14822840,0.00170948,0.29987671,1.78672083,1.17954996,0.47533049
-5.68184092,3.59136119,0.14182233,0.00164653,0.29746622,1.74177569,1.14117516,0.46432421
-5.67583792,3.47993764,0.13535976,0.00158427,0.29393092,1.69388019,1.10159069,0.45236079
