energy_ev,total_up,Cd_p_up,Cd_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.95956024,0.18954529,0.20925674,0.42511399,0.08872957,0.05022267,0.04890112,0.01300431,0.36725837
-5.99399700,0.91191878,0.17774737,0.19891425,0.40527976,0.08613217,0.04808026,0.04597370,0.01192159,0.34994451
-5.98799400,0.86304258,0.16581435,0.18813943,0.38447644,0.08353206,0.04578453,0.04298216,0.01091954,0.33219314
-5.98199100,0.81373353,0.15395212,0.17706602,0.36302562,0.08104139,0.04336283,0.03998058,0.01000698,0.31434557
-5.97598799,0.76483550,0.14236417,0.16583484,0.34126480,0.07878752,0.04084476,0.03702275,0.00919302,0.29676313
-5.96998499,0.71721789,0.13124731,0.15459014,0.31953939,0.07691214,0.03826144,0.03416089,0.00848705,0.27982081
-5.96398199,0.67175968,0.12078793,0.14347596,0.29819494,0.07557020,0.03564458,0.03144458,0.00789882,0.26390116
-5.95797899,0.62933441,0.11115902,0.13263282,0.27756997,0.07492853,0.03302568,0.02891987,0.00743843,0.24938834
-5.95197599,0.59079621,0.10251784,0.12219464,0.25798933,0.07516410,0.03043526,0.02662858,0.00711632,0.23666244
-5.94597299,0.55696692,0.09500422,0.11228614,0.23975829,0.07646201,0.02790215,0.02460786,0.00694326,0.22609398
-5.93996998,0.52862408,0.08873943,0.10302059,0.22315739,0.07901288,0.02545280,0.02288979,0.00693023,0.21803862
-5.93396698,0.50648983,0.08382546,0.09449800,0.20843807,0.08300987,0.02311085,0.02150125,0.00708834,0.21283181
-5.92796398,0.49122022,0.08034463,0.08680383,0.19581897,0.08864506,0.02089669,0.02046377,0.00742865,0.21078344
-5.92196098,0.48339476,0.07835941,0.08000801,0.18548288,0.09610520,0.01882719,0.01979354,0.00796192,0.21217225
-5.91595798,0.48350596,0.07791219,0.07416435,0.17757430,0.10556689,0.01691556,0.01950140,0.00869833,0.21723991
-5.90995498,0.49194861,0.07902523,0.06931027,0.17219742,0.11719105,0.01517129,0.01959286,0.00964704,0.22618486
-5.90395198,0.50900875,0.08170036,0.06546681,0.16941460,0.13111691,0.01360026,0.02006813,0.01081581,0.23915572
-5.89794897,0.53485243,0.08591872,0.06263881,0.16924519,0.14745548,0.01220484,0.02092209,0.01221044,0.25624458
-5.89194597,0.56951444,0.09164037,0.06081531,0.17166481,0.16628276,0.01098413,0.02214426,0.01383426,0.27748013
-5.88594297,0.61288741,0.09880390,0.05997002,0.17660491,0.18763292,0.00993426,0.02371882,0.01568749,0.30282112
-5.87993997,0.66471193,0.10732619,0.06006200,0.18395300,0.21149164,0.00904872,0.02562454,0.01776669,0.33215034
-5.87393697,0.72456827,0.11710232,0.06103640,0.19355330,0.23779007,0.00831867,0.02783487,0.02006418,0.36526949
-5.86793397,0.79187068,0.12800589,0.06282534,0.20520819,0.26639963,0.00773335,0.03031800,0.02256758,0.40189563
-5.86193097,0.86586499,0.13988977,0.06534896,0.21868044,0.29712820,0.00728042,0.03303711,0.02525936,0.44165936
-5.85592796,0.94563041,0.15258755,0.06851658,0.23369633,0.32971786,0.00694635,0.03595070,0.02811661,0.48410540
-5.84992496,1.03008630,0.16591566,0.07222811,0.24994992,0.36384468,0.00671676,0.03901309,0.03111093,0.52869584
-5.84392196,1.11800442,0.17967631,0.07637565,0.26710829,0.39912081,0.00657673,0.04217517,0.03420850,0.57481639
-5.83791896,1.20802707,0.19366118,0.08084532,0.28481792,0.43509902,0.00651118,0.04538521,0.03737043,0.62178577
-5.83191596,1.29869122,0.20765598,0.08551929,0.30271208,0.47127975,0.00650510,0.04858997,0.04055326,0.66886825
-5.82591296,1.38845822,0.22144550,0.09027806,0.32041906,0.50712079,0.00654386,0.05173587,0.04370976,0.71528916
-5.81990995,1.47574861,0.23481931,0.09500288,0.33757116,0.54204922,0.00661346,0.05477037,0.04678987,0.76025303
-5.81390695,1.55898093,0.24757767,0.09957830,0.35381397,0.57547548,0.00670075,0.05764333,0.04974188,0.80296383
-5.80790395,1.63661336,0.25953739,0.10389475,0.36881579,0.60680900,0.00679362,0.06030845,0.05251377,0.84264650
-5.80190095,1.70718648,0.27053756,0.10785110,0.38227664,0.63547487,0.00688118,0.06272463,0.05505464,0.87856915
-5.79589795,1.76936551,0.28044455,0.11135707,0.39393666,0.66093100,0.00695391,0.06485723,0.05731620,0.91006482
