energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.19032362,0.00723352,0.42022554,1.11173746,0.58308749,0.02160703,0.60355503
-5.99399700,2.20169967,0.00707196,0.41058104,1.10720019,0.58103456,0.02074046,0.62593814
-5.98799400,2.21523623,0.00689158,0.40215244,1.10428466,0.58026462,0.01988581,0.64833245
-5.98199100,2.23114347,0.00669611,0.39500471,1.10313472,0.58081756,0.01906071,0.67070917
-5.97598799,2.24961665,0.00648913,0.38919147,1.10387672,0.58273401,0.01828192,0.69303561
-5.96998499,2.27082926,0.00627401,0.38475292,1.10661527,0.58605333,0.01756499,0.71527560
-5.96398199,2.29492782,0.00605380,0.38171427,1.11143057,0.59081138,0.01692398,0.73739060
-5.95797899,2.32202849,0.00583125,0.38008471,1.11837735,0.59703839,0.01637118,0.75934130
-5.95197599,2.35221539,0.00560877,0.37985709,1.12748546,0.60475682,0.01591694,0.78108966
-5.94597299,2.38554025,0.00538839,0.38100804,1.13876163,0.61397938,0.01556951,0.80260099
-5.93996998,2.42202294,0.00517186,0.38349874,1.15219204,0.62470721,0.01533503,0.82384602
-5.93396698,2.46165217,0.00496059,0.38727588,1.16774524,0.63692808,0.01521741,0.84480249
-5.92796398,2.50438554,0.00475576,0.39227292,1.18537469,0.65061472,0.01521838,0.86545604
-5.92196098,2.55014845,0.00455834,0.39841124,1.20502059,0.66572299,0.01533748,0.88580014
-5.91595798,2.59883110,0.00436912,0.40560124,1.22661027,0.68219011,0.01557215,0.90583496
-5.90995498,2.65028340,0.00418880,0.41374304,1.25005708,0.69993272,0.01591772,0.92556488
-5.90395198,2.70430755,0.00401798,0.42272686,1.27525746,0.71884484,0.01636752,0.94499487
-5.89794897,2.76064876,0.00385721,0.43243299,1.30208642,0.73879587,0.01691293,0.96412577
-5.89194597,2.81898443,0.00370702,0.44273135,1.33039160,0.75962874,0.01754349,0.98294876
-5.88594297,2.87891302,0.00356791,0.45348092,1.35998658,0.78115829,0.01824697,1.00143933
-5.87993997,2.93994356,0.00344039,0.46452894,1.39064401,0.80317029,0.01900956,1.01955136
-5.87393697,3.00148720,0.00332496,0.47571040,1.42208960,0.82542130,0.01981596,1.03721164
-5.86793397,3.06285241,0.00322211,0.48684780,1.45399756,0.84763957,0.02064965,1.05431558
-5.86193097,3.12324503,0.00313232,0.49775161,1.48598868,0.86952742,0.02149310,1.07072448
-5.85592796,3.18177445,0.00305608,0.50822148,1.51763170,0.89076515,0.02232811,1.08626497
-5.84992496,3.23746685,0.00299384,0.51804854,1.54844841,0.91101679,0.02313613,1.10073086
-5.84392196,3.28928590,0.00294608,0.52701881,1.57792322,0.92993756,0.02389867,1.11388763
-5.83791896,3.33616094,0.00291330,0.53491761,1.60551679,0.94718320,0.02459777,1.12547974
