energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.29349416,0.21275801,0.04327635,0.00026744,0.12240325,0.01432936,0.65288394,0.10767906,0.08860169
-5.99399700,1.42925409,0.22902916,0.04648144,0.00030474,0.14297000,0.01574212,0.71195292,0.12599459,0.10430061
-5.98799400,1.58163433,0.24694895,0.05104607,0.00035056,0.16684748,0.01742469,0.77687048,0.14733471,0.12273928
-5.98199100,1.75098116,0.26649996,0.05705255,0.00040542,0.19438831,0.01939061,0.84738998,0.17199067,0.14421818
-5.97598799,1.93768494,0.28769984,0.06459556,0.00046985,0.22595975,0.02165493,0.92327384,0.20026026,0.16904938
-5.96998499,2.14218129,0.31060849,0.07378146,0.00054440,0.26193622,0.02423410,1.00430496,0.23244079,0.19754995
-5.96398199,2.36494758,0.33533450,0.08472689,0.00062957,0.30268980,0.02714568,1.09029775,0.26882076,0.23003377
-5.95797899,2.60649368,0.36204039,0.09755673,0.00072585,0.34857896,0.03040805,1.18110799,0.30967027,0.26680179
-5.95197599,2.86734608,0.39094639,0.11240135,0.00083366,0.39993539,0.03403995,1.27664082,0.35523016,0.30813074
-5.94597299,3.14802477,0.42233214,0.12939321,0.00095332,0.45704914,0.03805994,1.37685637,0.40570021,0.35426055
-5.93996998,3.44901253,0.45653616,0.14866273,0.00108505,0.52015242,0.04248579,1.48177218,0.46122656,0.40538070
-5.93396698,3.77071682,0.49395267,0.17033357,0.00122893,0.58940244,0.04733378,1.59146207,0.52188884,0.46161585
-5.92796398,4.11342485,0.53502554,0.19451740,0.00138490,0.66486385,0.05261796,1.70605102,0.58768725,0.52301125
-5.92196098,4.47725300,0.58023922,0.22130819,0.00155271,0.74649135,0.05834934,1.82570584,0.65853032,0.58951848
-5.91595798,4.86209215,0.63010673,0.25077627,0.00173193,0.83411344,0.06453515,1.95062186,0.73422378,0.66098220
-5.90995498,5.26755127,0.68515475,0.28296225,0.00192191,0.92741791,0.07117805,2.08100559,0.81446109,0.73712857
-5.90395198,5.69290173,0.74590604,0.31787110,0.00212181,1.02594009,0.07827542,2.21705423,0.89881649,0.81755606
-5.89794897,6.13702533,0.81285968,0.35546654,0.00233053,1.12905480,0.08581876,2.35893241,0.98674079,0.90172939
-5.89194597,6.59836925,0.88646968,0.39566603,0.00254681,1.23597261,0.09379318,2.50674741,1.07756082,0.98897735
-5.88594297,7.07491104,0.96712248,0.43833669,0.00276913,1.34574138,0.10217699,2.66052371,1.17048269,1.07849489
-5.87993997,7.56413657,1.05511433,0.48329218,0.00299579,1.45725349,0.11094156,2.82017821,1.26459934,1.16935008
-5.87393697,8.06303380,1.15062929,0.53029110,0.00322492,1.56925921,0.12005129,2.98549739,1.35890250,1.26049617
-5.86793397,8.56810430,1.25371867,0.57903678,0.00345449,1.68038631,0.12946373,3.15611754,1.45229911,1.35078873
-5.86193097,9.07539389,1.36428314,0.62917890,0.00368235,1.78916569,0.13913002,3.33150929,1.54363188,1.43900780
-5.85592796,9.58054314,1.48205797,0.68031683,0.00390630,1.89406271,0.14899540,3.51096740,1.63170372,1.52388450
-5.84992496,10.07885696,1.60660259,0.73200481,0.00412407,1.99351325,0.15899995,3.69360663,1.71530525,1.60413147
-5.84392196,10.56539215,1.73729493,0.78375889,0.00433343,2.08596360,0.16907953,3.87836415,1.79324472,1.67847621
-5.83791896,11.03506026,1.87333109,0.83506557,0.00453221,2.16991278,0.17916676,4.06400868,1.86437936,1.74569618
-5.83191596,11.48274250,2.01373075,0.88539172,0.00471838,2.24395580,0.18919216,4.24915639,1.92764688,1.80465433
-5.82591296,11.90341254,2.15734829,0.93419572,0.00489005,2.30682608,0.19908529,4.43229289,1.98209616,1.85433372
-5.81990995,12.29226249,2.30288955,0.98093930,0.00504560,2.35743547,0.20877601,4.61180082,2.02691574,1.89386978
-5.81390695,12.64482692,2.44893381,1.02509970,0.00518364,2.39491003,0.21819557,4.78599182,2.06145907,1.92257873
-5.80790395,12.95709984,2.59396024,1.06618172,0.00530312,2.41862006,0.22727772,4.95314180,2.08526533,1.93998107
-5.80190095,13.22563955,2.73637821,1.10372917,0.00540330,2.42820290,0.23595970,5.11152799,2.09807494,1.94581886
-5.79589795,13.44765694,2.87456014,1.13733530,0.00548383,2.42357753,0.24418303,5.25946643,2.09983906,1.94006604
-5.78989495,13.62108338,3.00687592,1.16665181,0.00554469,2.40495021,0.25189420,5.39534833,2.09072261,1.92293125
-5.78389195,13.74461543,3.13172770,1.19139604,0.00558623,2.37281069,0.25904513,5.51767409,2.07110056,1.89485303
-5.77788894,13.81773462,3.24758365,1.21135610,0.00560916,2.32791924,0.26559345,5.62508355,2.04154771,1.85648729
-5.77188594,13.84070185,3.35300983,1.22639389,0.00561445,2.27128486,0.27150263,5.71638172,2.00282225,1.80868799
-5.76588294,13.81452711,3.44669885,1.23644571,0.00560337,2.20413570,0.27674190,5.79055916,1.95584381,1.75248134
-5.75987994,13.74091655,3.52749468,1.24152077,0.00557739,2.12788276,0.28128605,5.84680667,1.90166694,1.68903508
-5.75387694,13.62219992,3.59441294,1.24169753,0.00553813,2.04407855,0.28511517,5.88452430,1.84145106,1.61962383
-5.74787394,13.46124224,3.64665621,1.23711828,0.00548727,1.95437238,0.28821432,5.90332472,1.77642811,1.54559214
-5.74187094,13.26134435,3.68362442,1.22798223,0.00542654,1.86046400,0.29057313,5.90303181,1.70786918,1.46831662
-5.73586793,13.02613722,3.70492012,1.21453745,0.00535759,1.76405764,0.29218556,5.88367476,1.63705152,1.38916884
-5.72986493,12.75947505,3.71034928,1.19707213,0.00528197,1.66681791,0.29304967,5.84547898,1.56522696,1.30948017
-5.72386193,12.46533178,3.69991780,1.17590555,0.00520107,1.57032947,0.29316744,5.78885442,1.49359297,1.23051006
-5.71785893,12.14770538,3.67382454,1.15137920,0.00511606,1.47606146,0.29254486,5.71438237,1.42326727,1.15341859
-5.71185593,11.81053333,3.63245133,1.12384831,0.00502788,1.38533802,0.29119201,5.62280151,1.35526667,1.07924415
-5.70585293,11.45762186,3.57635077,1.09367419,0.00493721,1.29931547,0.28912338,5.51499385,1.29049058,1.00888679
-5.69984992,11.09259053,3.50623223,1.06121753,0.00484447,1.21896657,0.28635814,5.39197102,1.22970953,0.94309737
-5.69384692,10.71883255,3.42294678,1.02683281,0.00474984,1.14507187,0.28292061,5.25486105,1.17355864,0.88247256
-5.68784392,10.33949047,3.32747122,0.99086384,0.00465325,1.07821794,0.27884059,5.10489581,1.12253576,0.82745529
-5.68184092,9.95744580,3.22089167,0.95364047,0.00455448,1.01880194,0.27415371,4.94339859,1.07700403,0.77834020
-5.67583792,9.57532043,3.10438680,0.91547627,0.00445313,0.96704176,0.26890162,4.77177177,1.03719823,0.73528344
-5.66983492,9.19548729,2.97921069,0.87666712,0.00434871,0.92299085,0.26313195,4.59148380,1.00323424,0.69831600
-5.66383192,8.82008743,2.84667555,0.83749046,0.00424069,0.88655669,0.25689808,4.40405526,0.97512104,0.66735968
-5.65782891,8.45105063,2.70813395,0.79820499,0.00412855,0.85752201,0.25025861,4.21104337,0.95277444,0.64224500
-5.65182591,8.09011687,2.56496084,0.75905071,0.00401181,0.83556757,0.24327652,4.01402471,0.93603187,0.62273004
-5.64582291,7.73885643,2.41853513,0.72024899,0.00389010,0.82029557,0.23601805,3.81457607,0.92466770,0.60851950
-5.63981991,7.39868689,2.27022114,0.68200269,0.00376319,0.81125295,0.22855127,3.61425339,0.91840843,0.59928336
-5.63381691,7.07088581,2.12134994,0.64449603,0.00363099,0.80795366,0.22094453,3.41456934,0.91694729,0.59467440
-5.62781391,6.75659876,1.97320095,0.60789438,0.00349361,0.80989928,0.21326465,3.21696993,0.91995801,0.59434421
-5.62181091,6.45684272,1.82698414,0.57234383,0.00335133,0.81659767,0.20557513,3.02281103,0.92710732,0.59795728
-5.61580790,6.17250544,1.68382336,0.53797061,0.00320461,0.82757893,0.19793437,2.83333575,0.93806608,0.60520279
-5.60980490,5.90434181,1.54474118,0.50488053,0.00305410,0.84240870,0.19039403,2.64965370,0.95251874,0.61580398
-5.60380190,5.65296839,1.41064584,0.47315840,0.00290057,0.86069838,0.18299766,2.47272315,0.97017114,0.62952493
-5.59779890,5.41885750,1.28232073,0.44286771,0.00274493,0.88211228,0.17577959,2.30333704,0.99075650,0.64617460
-5.59179590,5.20233186,1.16041682,0.41405056,0.00258815,0.90637149,0.16876430,2.14211373,1.01403938,0.66560814
-5.58579290,5.00356088,1.04544838,0.38672797,0.00243128,0.93325460,0.16196619,1.98949292,1.03981770,0.68772553
-5.57978989,4.82255928,0.93779207,0.36090075,0.00227539,0.96259523,0.15538978,1.84573719,1.06792253,0.71246736
-5.57378689,4.65918823,0.83768950,0.33655075,0.00212153,0.99427647,0.14903045,1.71093907,1.09821577,0.73980822
