energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,3.53495108,0.25850303,2.57761309,0.18113705,0.00111423,0.10721980,0.39893614
-5.99399700,3.50708517,0.26455983,2.54495129,0.18719950,0.00108573,0.10679664,0.38946415
-5.98799400,3.49003973,0.27181645,2.51964492,0.19396478,0.00106130,0.10668137,0.38125721
-5.98199100,3.48377220,0.28019604,2.50172774,0.20143023,0.00104140,0.10690588,0.37428408
-5.97598799,3.48794303,0.28959512,2.49101055,0.20958197,0.00102636,0.10750343,0.36848313
-5.96998499,3.50194388,0.29988597,2.48710020,0.21839626,0.00101640,0.10851038,0.36376699
-5.96398199,3.52493282,0.31091949,2.48942392,0.22784119,0.00101157,0.10996785,0.36002762
-5.95797899,3.55587494,0.32252870,2.49725800,0.23787867,0.00101181,0.11192320,0.35714154
-5.95197599,3.59358680,0.33453259,2.50975952,0.24846660,0.00101694,0.11443124,0.35497508
-5.94597299,3.63678315,0.34674046,2.52600011,0.25956116,0.00102668,0.11755505,0.35338937
-5.93996998,3.68412434,0.35895644,2.54500049,0.27111907,0.00104066,0.12136623,0.35224505
-5.93396698,3.73426297,0.37098433,2.56576479,0.28309987,0.00105845,0.12594464,0.35140651
-5.92796398,3.78588840,0.38263245,2.58731365,0.29546796,0.00107956,0.13137740,0.35074563
-5.92196098,3.83776796,0.39371853,2.60871527,0.30819436,0.00110348,0.13775725,0.35014486
-5.91595798,3.88878370,0.40407432,2.62911347,0.32125815,0.00112972,0.14518017,0.34949985
-5.90995498,3.93796369,0.41355004,2.64775234,0.33464740,0.00115778,0.15374238,0.34872139
-5.90395198,3.98450720,0.42201821,2.66399666,0.34835950,0.00118721,0.16353669,0.34773681
-5.89794897,4.02780300,0.42937702,2.67734783,0.36240092,0.00121762,0.17464837,0.34649084
-5.89194597,4.06744034,0.43555279,2.68745488,0.37678625,0.00124867,0.18715064,0.34494602
-5.88594297,4.10321239,0.44050172,2.69412036,0.39153647,0.00128011,0.20110000,0.34308249
-5.87993997,4.13511214,0.44421061,2.69730106,0.40667658,0.00131177,0.21653148,0.34089753
-5.87393697,4.16332075,0.44669656,2.69710365,0.42223255,0.00134357,0.23345418,0.33840451
-5.86793397,4.18818923,0.44800570,2.69377534,0.43822772,0.00137551,0.25184718,0.33563160
-5.86193097,4.21021377,0.44821090,2.68769018,0.45467878,0.00140764,0.27165622,0.33262005
-5.85592796,4.23000610,0.44740855,2.67933134,0.47159149,0.00144013,0.29279108,0.32942219
-5.84992496,4.24825995,0.44571466,2.66927031,0.48895649,0.00147314,0.31512420,0.32609919
-5.84392196,4.26571518,0.44326026,2.65814363,0.50674520,0.00150691,0.33849045,0.32271862
-5.83791896,4.28312122,0.44018644,2.64662836,0.52490637,0.00154168,0.36268820,0.31935179
-5.83191596,4.30120147,0.43663918,2.63541719,0.54336326,0.00157768,0.38748180,0.31607118
-5.82591296,4.32062027,0.43276427,2.62519415,0.56201189,0.00161513,0.41260544,0.31294772
-5.81990995,4.34195410,0.42870247,2.61661212,0.58072044,0.00165420,0.43776824,0.31004835
-5.81390695,4.36566818,0.42458519,2.61027282,0.59932994,0.00169503,0.46266046,0.30743366
-5.80790395,4.39209943,0.42053072,2.60671006,0.61765645,0.00173766,0.48696068,0.30515587
-5.80190095,4.42144653,0.41664141,2.60637684,0.63549455,0.00178209,0.51034351,0.30325717
-5.79589795,4.45376698,0.41300152,2.60963638,0.65262212,0.00182820,0.53248775,0.30176844
-5.78989495,4.48898120,0.40967610,2.61675737,0.66880637,0.00187582,0.55308444,0.30070849
-5.78389195,4.52688265,0.40671063,2.62791293,0.68381059,0.00192468,0.57184469,0.30008372
-5.77788894,4.56715313,0.40413152,2.64318301,0.69740164,0.00197446,0.58850675,0.29988824
-5.77188594,4.60938176,0.40194721,2.66255960,0.70935752,0.00202474,0.60284229,0.30010446
-5.76588294,4.65308630,0.40014981,2.68595386,0.71947490,0.00207507,0.61466139,0.30070402
-5.75987994,4.69773500,0.39871715,2.71320451,0.72757608,0.00212497,0.62381631,0.30164905
-5.75387694,4.74276770,0.39761495,2.74408661,0.73351512,0.00217392,0.63020383,0.30289364
-5.74787394,4.78761475,0.39679913,2.77832003,0.73718275,0.00222139,0.63376611,0.30438548
-5.74187094,4.83171283,0.39621800,2.81557705,0.73850994,0.00226687,0.63449025,0.30606754
-5.73586793,4.87451686,0.39581424,2.85548884,0.73746990,0.00230986,0.63240657,0.30787974
