energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,5.44163216,0.03090224,0.88408852,0.91152822,0.56280335,2.29728000,1.79298264,2.27962955,0.00000000
-5.99399700,5.40405088,0.02993344,0.87682796,0.90095742,0.56147003,2.28623245,1.78044396,2.25999191,0.00000000
-5.98799400,5.36915783,0.02903106,0.86965343,0.88997110,0.56046930,2.27592819,1.76913106,2.24162306,0.00000000
-5.98199100,5.33723444,0.02820607,0.86256098,0.87868833,0.55979490,2.26640472,1.75918070,2.22478973,0.00000000
-5.97598799,5.30847916,0.02746850,0.85555121,0.86721022,0.55942015,2.25768897,1.75071257,2.20969297,0.00000000
-5.96998499,5.28301411,0.02682746,0.84863148,0.85561939,0.55930028,2.24980209,1.74382893,2.19646850,0.00000000
-5.96398199,5.26089360,0.02629119,0.84181764,0.84398025,0.55937543,2.24276412,1.73861452,2.18518911,0.00000000
-5.95797899,5.24211334,0.02586699,0.83513545,0.83234026,0.55957418,2.23659821,1.73513645,2.17586872,0.00000000
-5.95197599,5.22661976,0.02556127,0.82862133,0.82073176,0.55981738,2.23133400,1.73344395,2.16846761,0.00000000
-5.94597299,5.21431848,0.02537944,0.82232242,0.80917445,0.56002206,2.22700981,1.73356783,2.16289864,0.00000000
-5.93996998,5.20508142,0.02532583,0.81629589,0.79767822,0.56010519,2.22367353,1.73551949,2.15903387,0.00000000
-5.93396698,5.19875206,0.02540360,0.81060752,0.78624615,0.55998728,2.22138206,1.73928953,2.15671131,0.00000000
-5.92796398,5.19514855,0.02561452,0.80532950,0.77487756,0.55959537,2.22019928,1.74484584,2.15574160,0.00000000
-5.92196098,5.19406474,0.02595883,0.80053756,0.76357089,0.55886559,2.22019264,1.75213141,2.15591418,0.00000000
-5.91595798,5.19526913,0.02643501,0.79630755,0.75232627,0.55774501,2.22142864,1.76106179,2.15700305,0.00000000
-5.90995498,5.19850230,0.02703957,0.79271157,0.74114764,0.55619285,2.22396735,1.77152265,2.15877177,0.00000000
-5.90395198,5.20347303,0.02776682,0.78981396,0.73004441,0.55418099,2.22785628,1.78336735,2.16097792,0.00000000
-5.89794897,5.20985412,0.02860872,0.78766713,0.71903247,0.55169391,2.23312408,1.79641512,2.16337684,0.00000000
-5.89194597,5.21727820,0.02955472,0.78630763,0.70813466,0.54872799,2.23977417,1.81044982,2.16572486,0.00000000
-5.88594297,5.22533449,0.03059171,0.78575261,0.69738067,0.54529048,2.24777891,1.82521968,2.16778215,0.00000000
-5.87993997,5.23356709,0.03170401,0.78599682,0.68680637,0.54139803,2.25707442,1.84043820,2.16931521,0.00000000
-5.87393697,5.24147535,0.03287347,0.78701042,0.67645276,0.53707505,2.26755656,1.85578641,2.17009919,0.00000000
-5.86793397,5.24851684,0.03407965,0.78873766,0.66636451,0.53235202,2.27907803,1.87091654,2.16992022,0.00000000
-5.86193097,5.25411314,0.03530018,0.79109658,0.65658831,0.52726377,2.29144708,1.88545723,2.16857773,0.00000000
-5.85592796,5.25765858,0.03651110,0.79397980,0.64717104,0.52184795,2.30442771,1.89902012,2.16588695,0.00000000
-5.84992496,5.25853188,0.03768745,0.79725641,0.63815799,0.51614365,2.31774164,1.91120785,2.16168151,0.00000000
