energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,4.27829657,0.01023976,1.06249589,0.97277115,0.36367054,1.72301370,1.64336440,0.03355384,1.35853969
-5.99399700,4.36779911,0.01017409,1.09037831,1.00117173,0.36523629,1.76542523,1.68434717,0.03404517,1.37994472
-5.98799400,4.44999114,0.01009649,1.11582187,1.02841499,0.36605502,1.80366143,1.72190572,0.03454550,1.40000473
-5.98199100,4.52370587,0.01000647,1.13858998,1.05408077,0.36607517,1.83724535,1.75561691,0.03505400,1.41829398
-5.97598799,4.58792661,0.00990406,1.15849138,1.07776343,0.36526202,1.86578808,1.78512428,0.03556957,1.43441902
-5.96998499,4.64180925,0.00978988,1.17538352,1.09907989,0.36359889,1.88899529,1.81014491,0.03609091,1.44802774
-5.96398199,4.68469885,0.00966506,1.18917429,1.11767733,0.36108773,1.90667022,1.83047401,0.03661642,1.45881707
-5.95797899,4.71614015,0.00953117,1.19982205,1.13324046,0.35774893,1.91871331,1.84598709,0.03714431,1.46653912
-5.95197599,4.73588193,0.00939015,1.20733406,1.14549824,0.35362048,1.92511871,1.85663991,0.03767257,1.47100585
-5.94597299,4.74387557,0.00924423,1.21176355,1.15422977,0.34875647,1.92596819,1.86246611,0.03819904,1.47209206
-5.93996998,4.74026813,0.00909582,1.21320544,1.15926943,0.34322504,1.92142293,1.86357304,0.03872143,1.46973688
-5.93396698,4.72539081,0.00894744,1.21179126,1.16051095,0.33710587,1.91171388,1.86013572,0.03923741,1.46394366
-5.92796398,4.69974326,0.00880157,1.20768326,1.15791050,0.33048733,1.89713130,1.85238950,0.03974471,1.45477855
-5.92196098,4.66397472,0.00866057,1.20106816,1.15148850,0.32346349,1.87801397,1.84062155,0.04024117,1.44236769
-5.91595798,4.61886265,0.00852659,1.19215072,1.14133021,0.31613106,1.85473874,1.82516159,0.04072485,1.42689319
-5.90995498,4.56528974,0.00840150,1.18114738,1.12758498,0.30858639,1.82771079,1.80637210,0.04119413,1.40858807
-5.90395198,4.50421992,0.00828676,1.16828018,1.11046410,0.30092265,1.79735479,1.78463834,0.04164776,1.38773027
-5.89794897,4.43667404,0.00818343,1.15377106,1.09023723,0.29322739,1.76410723,1.76035842,0.04208489,1.36463577
-5.89194597,4.36370580,0.00809209,1.13783676,1.06722752,0.28558043,1.72840992,1.73393365,0.04250514,1.33965111
-5.88594297,4.28637835,0.00801283,1.12068437,1.04180525,0.27805215,1.69070456,1.70575942,0.04290848,1.31314533
-5.87993997,4.20574216,0.00794528,1.10250756,1.01438034,0.27070236,1.65142824,1.67621681,0.04329523,1.28550149
-5.87393697,4.12281433,0.00788859,1.08348360,0.98539370,0.26357958,1.61100971,1.64566503,0.04366588,1.25710800
-5.86793397,4.03855994,0.00784153,1.06377120,0.95530770,0.25672079,1.56986614,1.61443503,0.04402097,1.22834989
-5.86193097,3.95387559,0.00780248,1.04350908,0.92459591,0.25015166,1.52840012,1.58282427,0.04436083,1.19960023
-5.85592796,3.86957557,0.00776958,1.02281550,0.89373255,0.24388719,1.48699691,1.55109290,0.04468541,1.17121192
-5.84992496,3.78638105,0.00774077,1.00178853,0.86318172,0.23793262,1.44602156,1.51946140,0.04499400,1.14351007
-5.84392196,3.70491235,0.00771390,0.98050709,0.83338710,0.23228465,1.40581610,1.48810978,0.04528502,1.11678527
-5.83791896,3.62568479,0.00768684,0.95903293,0.80476218,0.22693291,1.36669663,1.45717834,0.04555583,1.09128793
-5.83191596,3.54910808,0.00765756,0.93741312,0.77768154,0.22186150,1.32895059,1.42677004,0.04580255,1.06722392
-5.82591296,3.47548945,0.00762421,0.91568335,0.75247348,0.21705066,1.29283415,1.39695425,0.04601996,1.04475179
-5.81990995,3.40504039,0.00758522,0.89387162,0.72941428,0.21247839,1.25856997,1.36777193,0.04620155,1.02398156
-5.81390695,3.33788676,0.00753937,0.87200235,0.70872438,0.20812213,1.22634561,1.33924178,0.04633949,1.00497541
-5.80790395,3.27408201,0.00748583,0.85010063,0.69056651,0.20396023,1.19631252,1.31136726,0.04642487,0.98775000
-5.80190095,3.21362281,0.00742419,0.82819645,0.67504602,0.19997343,1.16858592,1.28414409,0.04644795,0.97228067
-5.79589795,3.15646656,0.00735449,0.80632868,0.66221316,0.19614610,1.14324559,1.25756780,0.04639844,0.95850706
-5.78989495,3.10254979,0.00727721,0.78454851,0.65206733,0.19246730,1.12033746,1.23164097,0.04626595,0.94634026
-5.78389195,3.05180672,0.00719322,0.76292221,0.64456300,0.18893170,1.09987610,1.20637980,0.04604042,0.93567083
-5.77788894,3.00418678,0.00710383,0.74153290,0.63961695,0.18554022,1.08184788,1.18181953,0.04571262,0.92637759
-5.77188594,2.95967026,0.00701062,0.72048128,0.63711647,0.18230051,1.06621456,1.15801851,0.04527461,0.91833666
-5.76588294,2.91828117,0.00691547,0.69988515,0.63692799,0.17922709,1.05291723,1.13506055,0.04472021,0.91143018
-5.75987994,2.88009638,0.00682047,0.67987754,0.63890574,0.17634135,1.04188013,1.11305541,0.04404539,0.90555447
-5.75387694,2.84525048,0.00672781,0.66060375,0.64289987,0.17367126,1.03301433,1.09213737,0.04324862,0.90062701
-5.74787394,2.81393597,0.00663975,0.64221710,0.64876368,0.17125081,1.02622083,1.07246179,0.04233110,0.89659191
-5.74187094,2.78639847,0.00655851,0.62487370,0.65635935,0.16911925,1.02139299,1.05420002,0.04129689,0.89342355
-5.73586793,2.76292719,0.00648621,0.60872646,0.66556216,0.16732012,1.01841819,1.03753254,0.04015294,0.89112822
-5.72986493,2.74384086,0.00642479,0.59391860,0.67626269,0.16590001,1.01717862,1.02264098,0.03890897,0.88974348
-5.72386193,2.72946998,0.00637600,0.58057697,0.68836709,0.16490719,1.01755121,1.00969918,0.03757727,0.88933544
-5.71785893,2.72013608,0.00634128,0.56880560,0.70179537,0.16439010,1.01940685,0.99886383,0.03617241,0.88999394
-5.71185593,2.71612920,0.00632178,0.55867982,0.71647791,0.16439577,1.02260917,0.99026518,0.03471080,0.89182596
-5.70585293,2.71768487,0.00631830,0.55024122,0.73235047,0.16496813,1.02701293,0.98399822,0.03321024,0.89494754
-5.69984992,2.72496173,0.00633129,0.54349391,0.74934805,0.16614637,1.03246251,0.98011493,0.03168943,0.89947479
-5.69384692,2.73802139,0.00636085,0.53840223,0.76739812,0.16796349,1.03879069,0.97861791,0.03016745,0.90551438
-5.68784392,2.75681169,0.00640673,0.53489009,0.78641374,0.17044480,1.04581806,0.97945582,0.02866318,0.91315410
