energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,0.80145591,0.00119576,0.03882131,0.06319442,0.17594169,0.13133351,0.43336842,0.18667028,0.00000000
-5.99399700,0.77631869,0.00113520,0.03753099,0.06431141,0.16956703,0.12509877,0.42014839,0.18053687,0.00000000
-5.98799400,0.75394662,0.00107394,0.03646553,0.06602249,0.16344075,0.11938535,0.40823885,0.17539420,0.00000000
-5.98199100,0.73533296,0.00101351,0.03570686,0.06844526,0.15779482,0.11437968,0.39807802,0.17155418,0.00000000
-5.97598799,0.72147806,0.00095544,0.03534076,0.07170163,0.15286896,0.11027091,0.39009460,0.16933954,0.00000000
-5.96998499,0.71337408,0.00090123,0.03545594,0.07591624,0.14890689,0.10724873,0.38469945,0.16908062,0.00000000
-5.96398199,0.71198922,0.00085234,0.03614301,0.08121466,0.14615250,0.10550115,0.38227752,0.17111180,0.00000000
-5.95797899,0.71825163,0.00081016,0.03749325,0.08772146,0.14484596,0.10521211,0.38317997,0.17576742,0.00000000
-5.95197599,0.73303300,0.00077603,0.03959713,0.09555796,0.14521972,0.10655891,0.38771679,0.18337717,0.00000000
-5.94597299,0.75713193,0.00075119,0.04254267,0.10483974,0.14749443,0.10970933,0.39614994,0.19426064,0.00000000
-5.93996998,0.79125710,0.00073681,0.04641342,0.11567392,0.15187475,0.11481855,0.40868729,0.20872124,0.00000000
-5.93396698,0.83601024,0.00073399,0.05128622,0.12815609,0.15854504,0.12202564,0.42547731,0.22703915,0.00000000
-5.92796398,0.89186904,0.00074372,0.05722867,0.14236702,0.16766495,0.13144984,0.44660468,0.24946348,0.00000000
-5.92196098,0.95917017,0.00076692,0.06429634,0.15836914,0.17936488,0.14318642,0.47208681,0.27620363,0.00000000
-5.91595798,1.03809266,0.00080440,0.07252982,0.17620278,0.19374148,0.15730245,0.50187143,0.30742001,0.00000000
-5.90995498,1.12864195,0.00085690,0.08195168,0.19588244,0.21085309,0.17383236,0.53583506,0.34321437,0.00000000
-5.90395198,1.23063512,0.00092500,0.09256341,0.21739296,0.23071536,0.19277358,0.57378264,0.38361995,0.00000000
-5.89794897,1.34368799,0.00100919,0.10434258,0.24068600,0.25329722,0.21408244,0.61544808,0.42859204,0.00000000
-5.89194597,1.46720457,0.00110978,0.11724033,0.26567678,0.27851729,0.23767049,0.66049594,0.47799919,0.00000000
-5.88594297,1.60036985,0.00122692,0.13117926,0.29224142,0.30624096,0.26340155,0.70852415,0.53161581,0.00000000
-5.87993997,1.74214664,0.00136053,0.14605215,0.32021506,0.33627848,0.29108972,0.75906782,0.58911659,0.00000000
-5.87393697,1.89127729,0.00151032,0.16172137,0.34939091,0.36838417,0.32049859,0.81160411,0.65007323,0.00000000
-5.86793397,2.04629102,0.00167571,0.17801936,0.37952049,0.40225696,0.35134194,0.86555831,0.71395423,0.00000000
-5.86193097,2.20551751,0.00185584,0.19475020,0.41031522,0.43754260,0.38328594,0.92031097,0.78012783,0.00000000
-5.85592796,2.36710713,0.00204951,0.21169230,0.44144945,0.47383753,0.41595324,0.97520621,0.84786877,0.00000000
-5.84992496,2.52905806,0.00225521,0.22860230,0.47256501,0.51069452,0.44892872,1.02956111,0.91636866,0.00000000
-5.84392196,2.68925008,0.00247106,0.24522008,0.50327731,0.54763017,0.48176703,1.08267612,0.98475032,0.00000000
-5.83791896,2.84548466,0.00269487,0.26127478,0.53318290,0.58413411,0.51400170,1.13384650,1.05208554,0.00000000
-5.83191596,2.99553056,0.00292409,0.27649164,0.56186822,0.61967970,0.54515567,1.18237453,1.11741612,0.00000000
-5.82591296,3.13717367,0.00315591,0.29059948,0.58891957,0.65373612,0.57475284,1.22758228,1.17977733,0.00000000
-5.81990995,3.26826985,0.00338726,0.30333848,0.61393361,0.68578126,0.60233029,1.26882491,1.23822325,0.00000000
