energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,11.62157975,0.03989584,1.05981696,1.33767514,0.49613711,9.48446033,6.43850979,2.90572951,0.00000000
-5.99399700,11.21695127,0.03989527,1.02162172,1.30189242,0.48596115,9.19973428,6.19557676,2.82132056,0.00000000
-5.98799400,10.80968055,0.03979982,0.98446329,1.26627825,0.47513574,8.91086181,5.95081612,2.73561954,0.00000000
-5.98199100,10.40252204,0.03960849,0.94855319,1.23108172,0.46373914,8.62042322,5.70595335,2.64909946,0.00000000
-5.97598799,9.99833935,0.03932432,0.91407769,1.19659383,0.45187497,8.33117598,5.46271926,2.56234057,0.00000000
-5.96998499,9.60009867,0.03895434,0.88120131,1.16314580,0.43967223,8.04603107,5.22284329,2.47603106,0.00000000
-5.96398199,9.21084909,0.03850936,0.85006983,1.13110444,0.42728411,7.76801546,4.98804269,2.39096083,0.00000000
-5.95797899,8.83368971,0.03800360,0.82081274,1.10086473,0.41488527,7.50022119,4.76000754,2.30800839,0.00000000
-5.95197599,8.47172455,0.03745414,0.79354494,1.07283991,0.40266812,7.24574263,4.54038198,2.22812159,0.00000000
-5.94597299,8.12800709,0.03688022,0.76836752,1.04744962,0.39083796,7.00760436,4.33074216,2.15229299,0.00000000
-5.93996998,7.80547706,0.03630245,0.74536771,1.02510665,0.37960739,6.78868297,4.13257205,2.08153116,0.00000000
-5.93396698,7.50689261,0.03574196,0.72461816,1.00620286,0.36919024,6.59162615,3.94723803,2.01682933,0.00000000
-5.92796398,7.23476140,0.03521954,0.70617559,0.99109496,0.35979534,6.41877320,3.77596361,1.95913291,0.00000000
-5.92196098,6.99127407,0.03475481,0.69007912,0.98009087,0.35162033,6.27208081,3.61980558,1.90930752,0.00000000
-5.91595798,6.77824351,0.03436537,0.67634848,0.97343718,0.34484594,6.15305763,3.47963265,1.86810889,0.00000000
-5.90995498,6.59705285,0.03406615,0.66498229,0.97130827,0.33963092,6.06271095,3.35610761,1.83615618,0.00000000
-5.90395198,6.44861478,0.03386888,0.65595665,0.97379754,0.33610776,6.00150802,3.24967397,1.81390965,0.00000000
