energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.58499396,0.21614821,0.00352308,0.00976631,1.71582193,1.88494891,0.96038548
-5.99399700,2.63449205,0.21856748,0.00358796,0.00964673,1.75129548,1.91957653,0.97879528
-5.98799400,2.68045037,0.22067759,0.00364487,0.00951587,1.78458597,1.95063229,0.99593553
-5.98199100,2.72238908,0.22243478,0.00369346,0.00937681,1.81535618,1.97779985,1.01157308
-5.97598799,2.75979737,0.22378555,0.00373346,0.00923227,1.84325002,2.00077625,1.02545988
-5.96998499,2.79213855,0.22466884,0.00376469,0.00908446,1.86789495,2.01927321,1.03733662
-5.96398199,2.81885919,0.22501885,0.00378708,0.00893509,1.88890706,2.03302015,1.04693836
-5.95797899,2.83940220,0.22476843,0.00380060,0.00878530,1.90589863,2.04176880,1.05400167
-5.95197599,2.85322280,0.22385281,0.00380529,0.00863573,1.91848771,2.04529897,1.05827296
-5.94597299,2.85980665,0.22221345,0.00380125,0.00848648,1.92630919,2.04342521,1.05951764
-5.93996998,2.85868898,0.21980170,0.00378862,0.00833722,1.92902683,2.03600391,1.05752929
-5.93396698,2.84947379,0.21658222,0.00376756,0.00818722,1.92634551,2.02294035,1.05213864
-5.92796398,2.83185199,0.21253578,0.00373828,0.00803544,1.91802307,2.00419533,1.04322167
-5.92196098,2.80561744,0.20766143,0.00370101,0.00788064,1.90388122,1.97979088,1.03070636
-5.91595798,2.77068027,0.20197778,0.00365601,0.00772145,1.88381489,1.94981473,1.01457788
-5.90995498,2.72707664,0.19552342,0.00360358,0.00755646,1.85779955,1.91442319,0.99488173
-5.90395198,2.67497447,0.18835644,0.00354404,0.00738433,1.82589632,1.87384235,0.97172490
-5.89794897,2.61467507,0.18055300,0.00347776,0.00720386,1.78825439,1.82836729,0.94527479
-5.89194597,2.54661037,0.17220522,0.00340513,0.00701404,1.74511094,1.77835936,0.91575611
-5.88594297,2.47133611,0.16341824,0.00332662,0.00681415,1.69678827,1.72424155,0.88344585
-5.87993997,2.38952110,0.15430693,0.00324273,0.00660376,1.64368851,1.66649202,0.84866662
-5.87393697,2.30193321,0.14499213,0.00315403,0.00638278,1.58628601,1.60563600,0.81177854
-5.86793397,2.20942245,0.13559676,0.00306112,0.00615150,1.52511758,1.54223623,0.77317029
-5.86193097,2.11290194,0.12624204,0.00296467,0.00591052,1.46077122,1.47688232,0.73324942
-5.85592796,2.01332740,0.11704380,0.00286540,0.00566079,1.39387344,1.41017917,0.69243251
