energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,4.00466429,1.21168217,1.57895993,0.00419688,0.82178260,0.01041373,1.28603598,0.44475932,0.29410544
-5.99399700,3.88384969,1.16873517,1.53334188,0.00408410,0.79636522,0.01054363,1.24817936,0.42628687,0.28525605
-5.98799400,3.75516713,1.12205041,1.48492041,0.00395350,0.76843060,0.01071378,1.20854854,0.40683475,0.27598894
-5.98199100,3.62048811,1.07235231,1.43440124,0.00380732,0.73851460,0.01092878,1.16753631,0.38662896,0.26641231
-5.97598799,3.48170581,1.02040080,1.38248973,0.00364813,0.70717391,0.01119168,1.12553444,0.36590084,0.25663315
-5.96998499,3.34067892,0.96696857,1.32987055,0.00347872,0.67496913,0.01150372,1.08292229,0.34488104,0.24675408
-5.96398199,3.19917911,0.91281879,1.27718879,0.00330202,0.64244784,0.01186415,1.04005716,0.32379385,0.23687068
-5.95797899,3.05884435,0.85868413,1.22503353,0.00312102,0.61012864,0.01227018,0.99726668,0.30285224,0.22706922
-5.95197599,2.92113974,0.80524802,1.17392421,0.00293861,0.57848651,0.01271688,0.95484344,0.28225373,0.21742507
-5.94597299,2.78732733,0.75312873,1.12430053,0.00275760,0.54794038,0.01319726,0.91304202,0.26217709,0.20800163
-5.93996998,2.65844568,0.70286693,1.07651586,0.00258057,0.51884318,0.01370241,0.87207816,0.24278019,0.19884992
-5.93396698,2.53529966,0.65491705,1.03083446,0.00240990,0.49147493,0.01422169,0.83213010,0.22419867,0.19000882
-5.92796398,2.41846020,0.60964248,0.98743231,0.00224767,0.46603887,0.01474304,0.79334153,0.20654570,0.18150579
-5.92196098,2.30827352,0.56731477,0.94640125,0.00209569,0.44266088,0.01525335,0.75582598,0.18991257,0.17335809
-5.91595798,2.20487869,0.52811646,0.90775618,0.00195552,0.42139196,0.01573882,0.71967207,0.17436998,0.16557440
-5.90995498,2.10823226,0.49214716,0.87144460,0.00182843,0.40221355,0.01618550,0.68494928,0.15996999,0.15815665
-5.90395198,2.01813815,0.45943246,0.83735804,0.00171548,0.38504539,0.01657969,0.65171371,0.14674837,0.15110203
-5.89794897,1.93428130,0.42993483,0.80534466,0.00161757,0.36975531,0.01690850,0.62001352,0.13472723,0.14440501
-5.89194597,1.85626289,0.40356608,0.77522245,0.00153544,0.35617058,0.01716022,0.58989376,0.12391770,0.13805926
-5.88594297,1.78363570,0.38020043,0.74679227,0.00146976,0.34408998,0.01732483,0.56140014,0.11432263,0.13205939
-5.87993997,1.71593758,0.35968760,0.71985032,0.00142116,0.33329626,0.01739429,0.53458185,0.10593901,0.12640242
-5.87393697,1.65272182,0.34186527,0.69419932,0.00139027,0.32356814,0.01736288,0.50949310,0.09876008,0.12108893
-5.86793397,1.59358305,0.32657026,0.66965831,0.00137775,0.31469148,0.01722737,0.48619352,0.09277707,0.11612375
-5.86193097,1.53817774,0.31364798,0.64607035,0.00138435,0.30646915,0.01698712,0.46474739,0.08798045,0.11151631
-5.85592796,1.48623875,0.30295985,0.62330838,0.00141083,0.29872902,0.01664412,0.44522187,0.08436065,0.10728055
-5.84992496,1.43758361,0.29438833,0.60127874,0.00145803,0.29133017,0.01620283,0.42768435,0.08190830,0.10343445
-5.84392196,1.39211658,0.28783961,0.57992267,0.00152681,0.28416671,0.01567007,0.41219915,0.08061393,0.09999919
-5.83791896,1.34982471,0.28324392,0.55921578,0.00161799,0.27716964,0.01505469,0.39882373,0.08046730,0.09699796
-5.83191596,1.31076878,0.28055357,0.53916564,0.00173232,0.27030644,0.01436726,0.38760468,0.08145623,0.09445463
-5.82591296,1.27506963,0.27973915,0.51980793,0.00187041,0.26357883,0.01361969,0.37857357,0.08356524,0.09239216
-5.81990995,1.24289116,0.28078411,0.50120132,0.00203263,0.25701880,0.01282481,0.37174316,0.08677393,0.09083097
-5.81390695,1.21442102,0.28367825,0.48342147,0.00221903,0.25068338,0.01199594,0.36710374,0.09105530,0.08978731
-5.80790395,1.18985017,0.28841060,0.46655460,0.00242928,0.24464845,0.01114646,0.36462019,0.09637409,0.08927174
