energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,2.59214369,0.01021231,0.20328573,0.39917990,0.22347080,0.47204206,1.71259949,0.63495723,0.00000000
-5.99399700,2.59191310,0.01034716,0.20270237,0.41141284,0.23041388,0.47073749,1.68516548,0.65753001,0.00000000
-5.98799400,2.59232875,0.01041807,0.20288430,0.42321754,0.23738244,0.46992562,1.65726732,0.68061594,0.00000000
-5.98199100,2.59442887,0.01042398,0.20383236,0.43455551,0.24438986,0.46966119,1.62996434,0.70430311,0.00000000
-5.97598799,2.59922225,0.01036533,0.20552532,0.44541637,0.25146122,0.46999509,1.60427128,0.72869948,0.00000000
-5.96998499,2.60764304,0.01024405,0.20791988,0.45581278,0.25862942,0.47096940,1.58112452,0.75392054,0.00000000
-5.96398199,2.62050695,0.01006343,0.21095160,0.46577421,0.26593086,0.47261250,1.56135093,0.78007566,0.00000000
-5.95797899,2.63847067,0.00982803,0.21453661,0.47533994,0.27340056,0.47493444,1.54564037,0.80725380,0.00000000
-5.95197599,2.66199646,0.00954341,0.21857420,0.48455177,0.28106728,0.47792308,1.53452293,0.83550952,0.00000000
-5.94597299,2.69132351,0.00921598,0.22295012,0.49344675,0.28894881,0.48154098,1.52835178,0.86484988,0.00000000
-5.93996998,2.72644779,0.00885271,0.22754064,0.50205050,0.29704766,0.48572366,1.52729215,0.89522337,0.00000000
-5.93396698,2.76711145,0.00846090,0.23221694,0.51037154,0.30534758,0.49037902,1.53131703,0.92651140,0.00000000
-5.92796398,2.81280273,0.00804794,0.23685006,0.51839687,0.31381101,0.49538844,1.54020978,0.95852319,0.00000000
-5.92196098,2.86276677,0.00762106,0.24131580,0.52608938,0.32237775,0.50060936,1.55357349,0.99099444,0.00000000
-5.91595798,2.91602734,0.00718712,0.24549978,0.53338699,0.33096491,0.50587938,1.57084693,1.02359024,0.00000000
-5.90995498,2.97141870,0.00675245,0.24930218,0.54020380,0.33946831,0.51102183,1.59132649,1.05591213,0.00000000
-5.90395198,3.02762686,0.00632267,0.25264202,0.54643321,0.34776518,0.51585253,1.61419323,1.08750934,0.00000000
-5.89794897,3.08323826,0.00590264,0.25546089,0.55195272,0.35571816,0.52018740,1.63854418,1.11789368,0.00000000
-5.89194597,3.13679423,0.00549638,0.25772591,0.55663035,0.36318040,0.52385064,1.66342657,1.14655746,0.00000000
-5.88594297,3.18684864,0.00510703,0.25943168,0.56033212,0.37000151,0.52668308,1.68787364,1.17299368,0.00000000
-5.87993997,3.23202624,0.00473690,0.26060130,0.56293020,0.37603398,0.52855006,1.71094074,1.19671739,0.00000000
-5.87393697,3.27107895,0.00438750,0.26128621,0.56431137,0.38113999,0.52934869,1.73174003,1.21728715,0.00000000
-5.86793397,3.30293748,0.00405964,0.26156493,0.56438499,0.38519784,0.52901372,1.74947261,1.23432552,0.00000000
-5.86193097,3.32675563,0.00375350,0.26154068,0.56309022,0.38810807,0.52752202,1.76345646,1.24753731,0.00000000
-5.85592796,3.34194518,0.00346874,0.26133794,0.56040198,0.38979858,0.52489500,1.77314934,1.25672465,0.00000000
-5.84992496,3.34819945,0.00320464,0.26109799,0.55633508,0.39022871,0.52119908,1.77816540,1.26179800,0.00000000
-5.84392196,3.34550437,0.00296019,0.26097372,0.55094654,0.38939186,0.51654390,1.77828506,1.26278239,0.00000000
-5.83791896,3.33413637,0.00273418,0.26112372,0.54433559,0.38731659,0.51107842,1.77345767,1.25981843,0.00000000
-5.83191596,3.31464705,0.00252533,0.26170592,0.53664153,0.38406611,0.50498501,1.76379689,1.25315807,0.00000000
-5.82591296,3.28783536,0.00233233,0.26287111,0.52803944,0.37973616,0.49847176,1.74956927,1.24315498,0.00000000
-5.81990995,3.25470852,0.00215392,0.26475634,0.51873393,0.37445129,0.49176343,1.73117638,1.23025033,0.00000000
-5.81390695,3.21643365,0.00198894,0.26747874,0.50895119,0.36835987,0.48509137,1.70913160,1.21495426,0.00000000
-5.80790395,3.17428230,0.00183634,0.27112980,0.49892982,0.36162795,0.47868299,1.68403273,1.19782417,0.00000000
-5.80190095,3.12957067,0.00169521,0.27577032,0.48891086,0.35443238,0.47275119,1.65653156,1.17944081,0.00000000
-5.79589795,3.08359840,0.00156478,0.28142651,0.47912749,0.34695337,0.46748440,1.62730219,1.16038329,0.00000000
-5.78989495,3.03758877,0.00144437,0.28808701,0.46979496,0.33936703,0.46303748,1.59700931,1.14120432,0.00000000
-5.78389195,2.99263333,0.00133344,0.29570132,0.46110120,0.33183818,0.45952418,1.56627810,1.12240673,0.00000000
-5.77788894,2.94964339,0.00123151,0.30417953,0.45319864,0.32451372,0.45701132,1.53566708,1.10442253,0.00000000
-5.77188594,2.90931066,0.00113818,0.31339349,0.44619751,0.31751691,0.45551502,1.50564507,1.08759543,0.00000000
-5.76588294,2.87207883,0.00105304,0.32317929,0.44016111,0.31094290,0.45499910,1.47657327,1.07216752,0.00000000
-5.75987994,2.83812716,0.00097574,0.33334116,0.43510302,0.30485553,0.45537585,1.44869316,1.05827083,0.00000000
-5.75387694,2.80736675,0.00090587,0.34365650,0.43098665,0.29928563,0.45650886,1.42212057,1.04592401,0.00000000
-5.74787394,2.77944934,0.00084302,0.35388199,0.42772688,0.29423091,0.45821803,1.39684601,1.03503417,0.00000000
-5.74187094,2.75378810,0.00078675,0.36376051,0.42519380,0.28965726,0.46028635,1.37274109,1.02540378,0.00000000
-5.73586793,2.72958905,0.00073658,0.37302868,0.42321842,0.28550148,0.46246814,1.34957040,1.01674214,0.00000000
-5.72986493,2.70589155,0.00069198,0.38142470,0.42159988,0.28167528,0.46449851,1.32700818,1.00868086,0.00000000
-5.72386193,2.68161568,0.00065238,0.38869625,0.42011407,0.27807022,0.46610343,1.30465878,1.00079249,0.00000000
-5.71785893,2.65561427,0.00061722,0.39460818,0.41852298,0.27456348,0.46701012,1.28207980,0.99261144,0.00000000
-5.71185593,2.62672694,0.00058591,0.39894966,0.41658465,0.27102407,0.46695725,1.25880666,0.98365612,0.00000000
-5.70585293,2.59383386,0.00055784,0.40154054,0.41406300,0.26731925,0.46570466,1.23437747,0.97345139,0.00000000
-5.69984992,2.55590659,0.00053244,0.40223677,0.41073735,0.26332077,0.46304198,1.20835699,0.96155017,0.00000000
-5.69384692,2.51205403,0.00050916,0.40093463,0.40641110,0.25891080,0.45879613,1.18035850,0.94755338,0.00000000
-5.68784392,2.46156145,0.00048748,0.39757362,0.40091929,0.25398721,0.45283719,1.15006283,0.93112738,0.00000000
-5.68184092,2.40392120,0.00046696,0.39213791,0.39413470,0.24846800,0.44508262,1.11723364,0.91201819,0.00000000
-5.67583792,2.33885399,0.00044719,0.38465647,0.38597235,0.24229469,0.43549962,1.08172848,0.89006200,0.00000000
-5.66983492,2.26632024,0.00042782,0.37520162,0.37639221,0.23543467,0.42410564,1.04350531,0.86519165,0.00000000
-5.66383192,2.18652137,0.00040860,0.36388637,0.36540008,0.22788238,0.41096715,1.00262445,0.83743905,0.00000000
-5.65782891,2.09989136,0.00038931,0.35086051,0.35304673,0.21965927,0.39619660,0.95924596,0.80693339,0.00000000
-5.65182591,2.00707948,0.00036985,0.33630563,0.33942531,0.21081271,0.37994801,0.91362299,0.77389561,0.00000000
-5.64582291,1.90892510,0.00035012,0.32042939,0.32466725,0.20141387,0.36241122,0.86609146,0.73862947,0.00000000
-5.63981991,1.80642632,0.00033012,0.30345917,0.30893694,0.19155475,0.34380512,0.81705680,0.70150961,0.00000000
-5.63381691,1.70070376,0.00030990,0.28563533,0.29242540,0.18134449,0.32437031,0.76697844,0.66296750,0.00000000
-5.62781391,1.59296139,0.00028952,0.26720450,0.27534318,0.17090513,0.30436122,0.71635293,0.62347571,0.00000000
-5.62181091,1.48444612,0.00026910,0.24841293,0.25791303,0.16036714,0.28403826,0.66569637,0.58353135,0.00000000
-5.61580790,1.37640780,0.00024878,0.22950031,0.24036239,0.14986474,0.26366020,0.61552709,0.54363944,0.00000000
-5.60980490,1.27006128,0.00022871,0.21069411,0.22291612,0.13953134,0.24347696,0.56634909,0.50429666,0.00000000
-5.60380190,1.16655170,0.00020904,0.19220475,0.20578980,0.12949520,0.22372318,0.51863698,0.46597635,0.00000000
-5.59779890,1.06692431,0.00018992,0.17422157,0.18918369,0.11987549,0.20461268,0.47282297,0.42911501,0.00000000
-5.59179590,0.97209949,0.00017149,0.15690983,0.17327757,0.11077884,0.18633392,0.42928605,0.39410085,0.00000000
-5.58579290,0.88285354,0.00015388,0.14040865,0.15822668,0.10229652,0.16904659,0.38834382,0.36126465,0.00000000
-5.57978989,0.79980557,0.00013720,0.12482993,0.14415866,0.09450227,0.15287935,0.35024699,0.33087301,0.00000000
-5.57378689,0.72341030,0.00012155,0.11025822,0.13117168,0.08745082,0.13792868,0.31517645,0.30312411,0.00000000
