energy_ev,total_up,P_s_up,P_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.52226348,0.00321392,0.02479856,0.62391875,2.00310263,0.54167898,0.00000000
-5.99399700,2.52126831,0.00324717,0.02432598,0.61985855,2.00809577,0.53631373,0.00000000
-5.98799400,2.51596759,0.00328340,0.02382679,0.61512321,2.01021273,0.52931078,0.00000000
-5.98199100,2.50738722,0.00332302,0.02332075,0.61016059,2.01017344,0.52100811,0.00000000
-5.97598799,2.49662794,0.00336663,0.02282846,0.60545315,2.00874212,0.51177761,0.00000000
-5.96998499,2.48482721,0.00341502,0.02237065,0.60150229,2.00670045,0.50201257,0.00000000
-5.96398199,2.47311975,0.00346905,0.02196757,0.59881115,2.00482019,0.49211434,0.00000000
-5.95797899,2.46259809,0.00352968,0.02163828,0.59786620,2.00383629,0.48247874,0.00000000
-5.95197599,2.45427500,0.00359783,0.02140002,0.59911853,2.00442152,0.47348253,0.00000000
-5.94597299,2.44904887,0.00367435,0.02126761,0.60296534,2.00716377,0.46547076,0.00000000
-5.93996998,2.44767364,0.00375989,0.02125295,0.60973251,2.01254655,0.45874528,0.00000000
-5.93396698,2.45073423,0.00385491,0.02136451,0.61965886,2.02093375,0.45355485,0.00000000
-5.92796398,2.45862833,0.00395953,0.02160707,0.63288289,2.03255885,0.45008735,0.00000000
-5.92196098,2.47155530,0.00407350,0.02198141,0.64943263,2.04751918,0.44846424,0.00000000
-5.91595798,2.48951239,0.00419617,0.02248430,0.66921908,2.06577525,0.44873751,0.00000000
-5.90995498,2.51229842,0.00432644,0.02310847,0.69203378,2.08715512,0.45088922,0.00000000
-5.90395198,2.53952473,0.00446276,0.02384278,0.71755078,2.11136365,0.45483367,0.00000000
-5.89794897,2.57063287,0.00460313,0.02467252,0.74533301,2.13799614,0.46042201,0.00000000
-5.89194597,2.60491832,0.00474515,0.02557981,0.77484319,2.16655589,0.46744913,0.00000000
-5.88594297,2.64155936,0.00488603,0.02654411,0.80545881,2.19647479,0.47566263,0.00000000
-5.87993997,2.67964973,0.00502273,0.02754283,0.83649085,2.22713639,0.48477334,0.00000000
-5.87393697,2.71823396,0.00515198,0.02855198,0.86720553,2.25790017,0.49446712,0.00000000
-5.86793397,2.75634384,0.00527042,0.02954690,0.89684826,2.28812621,0.50441731,0.00000000
-5.86193097,2.79303438,0.00537469,0.03050302,0.92466892,2.31719923,0.51429741,0.00000000
-5.85592796,2.82741801,0.00546155,0.03139652,0.94994729,2.34455074,0.52379340,0.00000000
-5.84992496,2.85869524,0.00552802,0.03220510,0.97201767,2.36967862,0.53261518,0.00000000
-5.84392196,2.88618066,0.00557143,0.03290856,0.99029152,2.39216295,0.54050671,0.00000000
-5.83791896,2.90932304,0.00558957,0.03348938,1.00427718,2.41167756,0.54725428,0.00000000
-5.83191596,2.92771868,0.00558074,0.03393315,1.01359571,2.42799662,0.55269268,0.00000000
-5.82591296,2.94111732,0.00554383,0.03422889,1.01799226,2.44099608,0.55670901,0.00000000
-5.81990995,2.94942064,0.00547834,0.03436928,1.01734233,2.45064971,0.55924395,0.00000000
-5.81390695,2.95267332,0.00538442,0.03435065,1.01165287,2.45702018,0.56029050,0.00000000
-5.80790395,2.95104723,0.00526286,0.03417300,1.00105811,2.46024552,0.55989036,0.00000000
-5.80190095,2.94481992,0.00511503,0.03383973,0.98581040,2.46052178,0.55812811,0.00000000
-5.79589795,2.93434830,0.00494288,0.03335739,0.96626676,2.45808291,0.55512365,0.00000000
-5.78989495,2.92003943,0.00474882,0.03273527,0.94287165,2.45317893,0.55102323,0.00000000
-5.78389195,2.90231979,0.00453567,0.03198490,0.91613716,2.44605379,0.54598974,0.00000000
-5.77788894,2.88160500,0.00430656,0.03111961,0.88662137,2.43692413,0.54019257,0.00000000
-5.77188594,2.85827173,0.00406483,0.03015395,0.85490613,2.42596037,0.53379788,0.00000000
-5.76588294,2.83263326,0.00381391,0.02910320,0.82157536,2.41327108,0.52695956,0.00000000
-5.75987994,2.80492028,0.00355723,0.02798285,0.78719471,2.39889177,0.51981146,0.00000000
-5.75387694,2.77526781,0.00329814,0.02680817,0.75229359,2.38277876,0.51246129,0.00000000
-5.74787394,2.74370897,0.00303983,0.02559381,0.71735024,2.36480847,0.50498636,0.00000000
-5.74187094,2.71017589,0.00278522,0.02435347,0.68278025,2.34478224,0.49743138,0.00000000
-5.73586793,2.67450753,0.00253696,0.02309973,0.64892898,2.32243640,0.48980839,0.00000000
-5.72986493,2.63646367,0.00229732,0.02184379,0.61606774,2.29745703,0.48209857,0.00000000
-5.72386193,2.59574442,0.00206824,0.02059548,0.58439368,2.26949840,0.47425587,0.00000000
-5.71785893,2.55201356,0.00185127,0.01936318,0.55403312,2.23820419,0.46621215,0.00000000
-5.71185593,2.50492456,0.00164757,0.01815390,0.52504762,2.20323008,0.45788327,0.00000000
-5.70585293,2.45414743,0.00145796,0.01697338,0.49744240,2.16426648,0.44917601,0.00000000
-5.69984992,2.39939501,0.00128290,0.01582617,0.47117629,2.12106002,0.43999509,0.00000000
-5.69384692,2.34044699,0.00112254,0.01471584,0.44617256,2.07343276,0.43025006,0.00000000
-5.68784392,2.27717048,0.00097678,0.01364507,0.42233007,2.02129790,0.41986164,0.00000000
-5.68184092,2.20953596,0.00084528,0.01261586,0.39953387,1.96467136,0.40876703,0.00000000
-5.67583792,2.13762805,0.00072748,0.01162966,0.37766504,1.90367859,0.39692426,0.00000000
-5.66983492,2.06165051,0.00062270,0.01068747,0.35660912,1.83855645,0.38431502,0.00000000
-5.66383192,1.98192554,0.00053014,0.00978998,0.33626296,1.76965029,0.37094624,0.00000000
-5.65782891,1.89888769,0.00044893,0.00893763,0.31653981,1.69740634,0.35685021,0.00000000
-5.65182591,1.81307295,0.00037813,0.00813068,0.29737261,1.62236031,0.34208347,0.00000000
-5.64582291,1.72510388,0.00031680,0.00736925,0.27871554,1.54512268,0.32672450,0.00000000
-5.63981991,1.63567166,0.00026402,0.00665331,0.26054404,1.46636177,0.31087058,0.00000000
-5.63381691,1.54551632,0.00021886,0.00598274,0.24285345,1.38678539,0.29463390,0.00000000
-5.62781391,1.45540615,0.00018048,0.00535726,0.22565667,1.30712214,0.27813733,0.00000000
-5.62181091,1.36611728,0.00014803,0.00477644,0.20898098,1.22810317,0.26151001,0.00000000
-5.61580790,1.27841445,0.00012078,0.00423972,0.19286454,1.15044514,0.24488299,0.00000000
-5.60980490,1.19303373,0.00009802,0.00374635,0.17735261,1.07483515,0.22838524,0.00000000
-5.60380190,1.11066765,0.00007913,0.00329541,0.16249397,1.00191789,0.21214003,0.00000000
