energy_ev,total_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.01566327,0.09359299,0.00000000,2.53717638,1.58227797,0.05145385,0.32195303,0.05662751,2.27422024
-5.99399700,3.96800949,0.09217580,0.00000000,2.52220037,1.56227919,0.05053092,0.32195904,0.05541653,2.24190773
-5.98799400,3.92104010,0.09084140,0.00000000,2.50486756,1.54313395,0.04960485,0.32150357,0.05416666,2.21081994
-5.98199100,3.87488594,0.08959586,0.00000000,2.48522650,1.52492582,0.04868129,0.32053680,0.05288124,2.18113960
-5.97598799,3.82970231,0.08844502,0.00000000,2.46339392,1.50774336,0.04776555,0.31902794,0.05156515,2.15304197
-5.96998499,3.78568648,0.08739461,0.00000000,2.43955540,1.49168927,0.04686285,0.31696668,0.05022507,2.12670382
-5.96398199,3.74309055,0.08645038,0.00000000,2.41396224,1.47688706,0.04597845,0.31436384,0.04886970,2.10231011
-5.95797899,3.70222854,0.08561813,0.00000000,2.38692484,1.46348493,0.04511778,0.31125123,0.04750973,2.08005773
-5.95197599,3.66347763,0.08490376,0.00000000,2.35880286,1.45165643,0.04428649,0.30768063,0.04615784,2.06015618
-5.94597299,3.62727317,0.08431324,0.00000000,2.32999256,1.44159795,0.04349049,0.30372213,0.04482846,2.04282508
-5.93996998,3.59409808,0.08385254,0.00000000,2.30091228,1.43352320,0.04273595,0.29946176,0.04353747,2.02828869
-5.93396698,3.56446714,0.08352753,0.00000000,2.27198655,1.42765509,0.04202918,0.29499864,0.04230177,2.01676788
-5.92796398,3.53890721,0.08334384,0.00000000,2.24362993,1.42421541,0.04137654,0.29044170,0.04113883,2.00847010
-5.92196098,3.51793457,0.08330666,0.00000000,2.21623133,1.42341313,0.04078422,0.28590615,0.04006609,2.00357803
-5.91595798,3.50203064,0.08342057,0.00000000,2.19013963,1.42543193,0.04025812,0.28150980,0.03910045,2.00223769
-5.90995498,3.49161740,0.08368926,0.00000000,2.16565142,1.43041779,0.03980356,0.27736934,0.03825757,2.00454682
-5.90395198,3.48703398,0.08411522,0.00000000,2.14300128,1.43846726,0.03942504,0.27359679,0.03755142,2.01054430
-5.89794897,3.48851540,0.08469953,0.00000000,2.12235517,1.44961722,0.03912608,0.27029610,0.03699366,2.02020125
-5.89194597,3.49617477,0.08544147,0.00000000,2.10380700,1.46383667,0.03890893,0.26756000,0.03659321,2.03341448
-5.88594297,3.50998968,0.08633825,0.00000000,2.08737849,1.48102092,0.03877439,0.26546733,0.03635585,2.05000263
-5.87993997,3.52979344,0.08738468,0.00000000,2.07302225,1.50098860,0.03872172,0.26408066,0.03628397,2.06970541
-5.87393697,3.55527161,0.08857296,0.00000000,2.06062754,1.52348168,0.03874848,0.26344446,0.03637634,2.09218593
-5.86793397,3.58596394,0.08989238,0.00000000,2.05002854,1.54816842,0.03885058,0.26358377,0.03662809,2.11703620
-5.86193097,3.62127175,0.09132926,0.00000000,2.04101443,1.57464928,0.03902229,0.26450332,0.03703076,2.14378557
-5.85592796,3.66047038,0.09286680,0.00000000,2.03334080,1.60246546,0.03925637,0.26618730,0.03757244,2.17191169
-5.84992496,3.70272630,0.09448515,0.00000000,2.02674174,1.63110981,0.03954432,0.26859961,0.03823810,2.20085379
-5.84392196,3.74711834,0.09616156,0.00000000,2.02094209,1.66003967,0.03987665,0.27168470,0.03900992,2.23002760
-5.83791896,3.79266228,0.09787065,0.00000000,2.01566934,1.68869127,0.04024324,0.27536888,0.03986781,2.25884136
-5.83191596,3.83833798,0.09958483,0.00000000,2.01066470,1.71649502,0.04063377,0.27956227,0.04078990,2.28671255
-5.82591296,3.88311820,0.10127481,0.00000000,2.00569305,1.74289143,0.04103819,0.28416101,0.04175314,2.31308447
-5.81990995,3.92599827,0.10291027,0.00000000,2.00055148,1.76734686,0.04144718,0.28905013,0.04273393,2.33744239
-5.81390695,3.96602544,0.10446064,0.00000000,1.99507616,1.78936889,0.04185266,0.29410653,0.04370874,2.35932853
-5.80790395,4.00232728,0.10589588,0.00000000,1.98914766,1.80852061,0.04224820,0.29920235,0.04465468,2.37835548
-5.80190095,4.03413791,0.10718740,0.00000000,1.98269446,1.82443352,0.04262946,0.30420848,0.04555016,2.39421768
-5.79589795,4.06082127,0.10830894,0.00000000,1.97569469,1.83681853,0.04299452,0.30899805,0.04637533,2.40670041
-5.78989495,4.08189060,0.10923743,0.00000000,1.96817633,1.84547478,0.04334404,0.31344991,0.04711259,2.41568608
-5.78389195,4.09702323,0.10995379,0.00000000,1.96021566,1.85029584,0.04368143,0.31745191,0.04774689,2.42115750
-5.77788894,4.10607011,0.11044360,0.00000000,1.95193421,1.85127318,0.04401275,0.32090384,0.04826608,2.42319800
-5.77188594,4.10905947,0.11069765,0.00000000,1.94349415,1.84849649,0.04434658,0.32372000,0.04866102,2.42198817
-5.76588294,4.10619424,0.11071229,0.00000000,1.93509233,1.84215098,0.04469366,0.32583125,0.04892565,2.41779927
-5.75987994,4.09784308,0.11048960,0.00000000,1.92695294,1.83251134,0.04506646,0.32718651,0.04905695,2.41098340
-5.75387694,4.08452511,0.11003734,0.00000000,1.91931895,1.81993272,0.04547857,0.32775357,0.04905481,2.40196050
-5.74787394,4.06688868,0.10936865,0.00000000,1.91244250,1.80483872,0.04594405,0.32751941,0.04892177,2.39120272
-5.74187094,4.04568474,0.10850161,0.00000000,1.90657448,1.78770667,0.04647668,0.32648967,0.04866277,2.37921637
-5.73586793,4.02173583,0.10745854,0.00000000,1.90195340,1.76905088,0.04708921,0.32468771,0.04828474,2.36652221
-5.72986493,3.99590171,0.10626518,0.00000000,1.89879422,1.74940409,0.04779255,0.32215295,0.04779623,2.35363472
-5.72386193,3.96904320,0.10494970,0.00000000,1.89727718,1.72929805,0.04859512,0.31893888,0.04720698,2.34104119
-5.71785893,3.94198564,0.10354169,0.00000000,1.89753746,1.70924387,0.04950221,0.31511054,0.04652754,2.32918151
-5.71185593,3.91548381,0.10207107,0.00000000,1.89965594,1.68971292,0.05051550,0.31074185,0.04576880,2.31842972
