energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,2.41180019,0.00914718,0.27637724,1.07191057,0.30734128,1.10354409,0.59907325,1.28264043,0.00000000
-5.99399700,2.47221352,0.00894990,0.28781058,1.10345608,0.31217578,1.12381906,0.62265616,1.30749866,0.00000000
-5.98799400,2.53597225,0.00873703,0.29997041,1.13539040,0.31785968,1.14635009,0.64761263,1.33246060,0.00000000
-5.98199100,2.60315928,0.00851128,0.31284241,1.16767492,0.32440651,1.17113884,0.67392531,1.35759482,0.00000000
-5.97598799,2.67373691,0.00827583,0.32638584,1.20022082,0.33182250,1.19809667,0.70153812,1.38293383,0.00000000
-5.96998499,2.74752110,0.00803419,0.34053115,1.23288005,0.34010255,1.22703814,0.73034990,1.40846072,0.00000000
-5.96398199,2.82416091,0.00778997,0.35517866,1.26543877,0.34922627,1.25767817,0.76020956,1.43409793,0.00000000
-5.95797899,2.90312471,0.00754669,0.37019836,1.29761397,0.35915448,1.28963324,0.79091326,1.45969890,0.00000000
-5.95197599,2.98369476,0.00730766,0.38543107,1.32905364,0.36982642,1.32242703,0.82220385,1.48504342,0.00000000
-5.94597299,3.06497106,0.00707585,0.40069096,1.35934093,0.38115792,1.35550052,0.85377296,1.50983729,0.00000000
-5.93996998,3.14588495,0.00685376,0.41576936,1.38800238,0.39304065,1.38822631,0.88526593,1.53371633,0.00000000
-5.93396698,3.22522245,0.00664343,0.43043980,1.41451997,0.40534264,1.41992678,0.91628931,1.55625504,0.00000000
-5.92796398,3.30165659,0.00644637,0.44446417,1.43834670,0.41791003,1.44989548,0.94642099,1.57697937,0.00000000
-5.92196098,3.37378758,0.00626358,0.45759964,1.45892498,0.43057004,1.47742077,0.97522252,1.59538316,0.00000000
-5.91595798,3.44018899,0.00609559,0.46960623,1.47570716,0.44313510,1.50181067,1.00225298,1.61094742,0.00000000
-5.90995498,3.49945806,0.00594247,0.48025454,1.48817695,0.45540782,1.52241794,1.02708406,1.62316149,0.00000000
-5.90395198,3.55026744,0.00580396,0.48933346,1.49587095,0.46718679,1.53866403,1.04931537,1.63154485,0.00000000
-5.89794897,3.59141609,0.00567949,0.49665738,1.49839900,0.47827269,1.55006081,1.06858953,1.63566858,0.00000000
-5.89194597,3.62187673,0.00556826,0.50207273,1.49546240,0.48847461,1.55622902,1.08460598,1.63517513,0.00000000
-5.88594297,3.64083742,0.00546932,0.50546337,1.48686889,0.49761620,1.55691252,1.09713317,1.62979555,0.00000000
-5.87993997,3.64773537,0.00538160,0.50675474,1.47254384,0.50554129,1.55198761,1.10601823,1.61936303,0.00000000
-5.87393697,3.64228114,0.00530398,0.50591648,1.45253675,0.51211892,1.54146707,1.11119378,1.60382228,0.00000000
-5.86793397,3.62447225,0.00523532,0.50296350,1.42702297,0.51724727,1.52549857,1.11268151,1.58323409,0.00000000
-5.86193097,3.59459549,0.00517447,0.49795537,1.39630034,0.52085667,1.50435776,1.11059231,1.55777513,0.00000000
-5.85592796,3.55321795,0.00512028,0.49099408,1.36078110,0.52291116,1.47843628,1.10512302,1.52773280,0.00000000
-5.84992496,3.50116734,0.00507162,0.48222042,1.32097927,0.52340903,1.44822538,1.09654982,1.49349573,0.00000000
-5.84392196,3.43950257,0.00502732,0.47180891,1.27749429,0.52238193,1.41429603,1.08521869,1.45554029,0.00000000
-5.83791896,3.36947619,0.00498624,0.45996176,1.23099167,0.51989289,1.37727646,1.07153336,1.41441399,0.00000000
-5.83191596,3.29249039,0.00494718,0.44690199,1.18218144,0.51603328,1.33782832,1.05594121,1.37071659,0.00000000
-5.82591296,3.21004876,0.00490895,0.43286608,1.13179561,0.51091891,1.29662247,1.03891784,1.32507989,0.00000000
-5.81990995,3.12370582,0.00487031,0.41809640,1.08056548,0.50468541,1.25431569,1.02095092,1.27814710,0.00000000
-5.81390695,3.03501656,0.00483000,0.40283380,1.02919976,0.49748317,1.21152914,1.00252393,1.23055278,0.00000000
-5.80790395,2.94548803,0.00478679,0.38731067,0.97836451,0.48947208,1.16882967,0.98410058,1.18290417,0.00000000
-5.80190095,2.85653474,0.00473945,0.37174458,0.92866550,0.48081615,1.12671445,0.96611024,1.13576453,0.00000000
-5.79589795,2.76943949,0.00468682,0.35633292,0.88063365,0.47167833,1.08559966,0.94893514,1.08963920,0.00000000
-5.78989495,2.68532077,0.00462785,0.34124849,0.83471397,0.46221576,1.04581332,0.93289954,1.04496457,0.00000000
-5.78389195,2.60510764,0.00456160,0.32663639,0.79125820,0.45257537,1.00759247,0.91826123,1.00210035,0.00000000
-5.77788894,2.52952261,0.00448735,0.31261203,0.75052127,0.44289022,0.97108441,0.90520571,0.96132508,0.00000000
-5.77188594,2.45907253,0.00440457,0.29926045,0.71266144,0.43327642,0.93635177,0.89384289,0.92283479,0.00000000
-5.76588294,2.39404754,0.00431299,0.28663673,0.67774378,0.42383094,0.90338084,0.88420647,0.88674469,0.00000000
-5.75987994,2.33452744,0.00421261,0.27476759,0.64574680,0.41463006,0.87209256,0.87625596,0.85309346,0.00000000
-5.75387694,2.28039490,0.00410373,0.26365388,0.61657159,0.40572871,0.84235542,0.86988104,0.82184974,0.00000000
-5.74787394,2.23135473,0.00398693,0.25327391,0.59005302,0.39716051,0.81399966,0.86490816,0.79292058,0.00000000
-5.74187094,2.18695805,0.00386307,0.24358735,0.56597242,0.38893861,0.78683187,0.86110908,0.76616111,0.00000000
-5.73586793,2.14663056,0.00373331,0.23453962,0.54407111,0.38105717,0.76064943,0.85821102,0.74138527,0.00000000
-5.72986493,2.10970354,0.00359901,0.22606647,0.52406433,0.37349341,0.73525410,0.85590810,0.71837703,0.00000000
-5.72386193,2.07544672,0.00346177,0.21809862,0.50565487,0.36621034,0.71046424,0.85387375,0.69690164,0.00000000
-5.71785893,2.04310170,0.00332334,0.21056625,0.48854613,0.35915978,0.68612522,0.85177363,0.67671676,0.00000000
-5.71185593,2.01191506,0.00318562,0.20340318,0.47245395,0.35228582,0.66211785,0.84927866,0.65758297,0.00000000
-5.70585293,1.98116987,0.00305058,0.19655060,0.45711713,0.34552848,0.63836435,0.84607789,0.63927346,0.00000000
-5.69984992,1.95021490,0.00292023,0.18996014,0.44230614,0.33882746,0.61483211,0.84189064,0.62158261,0.00000000
-5.69384692,1.91849044,0.00279662,0.18359639,0.42782992,0.33212588,0.59153504,0.83647754,0.60433332,0.00000000
-5.68784392,1.88554997,0.00268172,0.17743848,0.41354070,0.32537381,0.56853270,0.82965020,0.58738292,0.00000000
