energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.06021657,-2.06019029,0.00591095,-0.00590715,0.12794055,-0.12788264,1.34202271,-1.34218955,0.97777550,-0.97759624,1.04734684,-1.04745748,0.00000000,-0.00000000
-5.99399700,2.04463651,-2.04463612,0.00651839,-0.00651440,0.12846172,-0.12840026,1.31944883,-1.31965687,0.98053856,-0.98035665,1.03434222,-1.03447772,0.00000000,-0.00000000
-5.98799400,2.02479977,-2.02481692,0.00714913,-0.00714500,0.12880090,-0.12873529,1.29213366,-1.29237742,0.98213422,-0.98194626,1.01868151,-1.01883765,0.00000000,-0.00000000
-5.98199100,2.00167957,-2.00170603,0.00779640,-0.00779216,0.12903109,-0.12896085,1.26074453,-1.26101805,0.98294664,-0.98274962,1.00085792,-1.00103032,0.00000000,-0.00000000
-5.97598799,1.97624646,-1.97627443,0.00845237,-0.00844809,0.12922473,-0.12914950,1.22599611,-1.22629313,0.98333823,-0.98312970,0.98137264,-0.98155688,0.00000000,-0.00000000
-5.96998499,1.94943197,-1.94945443,0.00910831,-0.00910403,0.12945077,-0.12937035,1.18862665,-1.18894080,0.98363387,-0.98341207,0.96071694,-0.96090875,0.00000000,-0.00000000
-5.96398199,1.92209533,-1.92210629,0.00975475,-0.00975055,0.12977201,-0.12968639,1.14937443,-1.14969948,0.98410728,-0.98387126,0.93935547,-0.93955085,0.00000000,-0.00000000
-5.95797899,1.89499491,-1.89498962,0.01038173,-0.01037766,0.13024291,-0.13015227,1.10895567,-1.10928562,0.98497045,-0.98472013,0.91771136,-0.91790670,0.00000000,-0.00000000
-5.95197599,1.86876573,-1.86874081,0.01097903,-0.01097516,0.13090796,-0.13081268,1.06804459,-1.06837388,0.98636662,-0.98610282,0.89615384,-0.89634602,0.00000000,-0.00000000
-5.94597299,1.84390399,-1.84385751,0.01153648,-0.01153288,0.13180079,-0.13170140,1.02725669,-1.02758028,0.98836727,-0.98809167,0.87498889,-0.87517535,0.00000000,-0.00000000
-5.93996998,1.82075940,-1.82069084,0.01204427,-0.01204101,0.13294401,-0.13284123,0.98713566,-0.98744916,0.99097331,-0.99068834,0.85445319,-0.85463197,0.00000000,-0.00000000
-5.93396698,1.79953541,-1.79944552,0.01249328,-0.01249040,0.13434991,-0.13424452,0.94814445,-0.94844412,0.99412041,-0.99382915,0.83471150,-0.83488125,0.00000000,-0.00000000
-5.92796398,1.78029708,-1.78018775,0.01287535,-0.01287290,0.13602184,-0.13591470,0.91066048,-0.91094327,0.99768827,-0.99739421,0.81585754,-0.81601750,0.00000000,-0.00000000
-5.92196098,1.76298619,-1.76286014,0.01318363,-0.01318165,0.13795641,-0.13784836,0.87497502,-0.87523856,1.00151333,-1.00122018,0.79791797,-0.79806796,0.00000000,-0.00000000
-5.91595798,1.74744234,-1.74730283,0.01341280,-0.01341131,0.14014615,-0.14003795,0.84129640,-0.84153892,1.00540423,-1.00511566,0.78085941,-0.78099974,0.00000000,-0.00000000
-5.90995498,1.73342889,-1.73327937,0.01355929,-0.01355832,0.14258269,-0.14247495,0.80975657,-0.80997685,1.00915927,-1.00887859,0.76459764,-0.76472904,0.00000000,-0.00000000
-5.90395198,1.72066217,-1.72050591,0.01362147,-0.01362102,0.14526011,-0.14515322,0.78042032,-0.78061758,1.01258481,-1.01231476,0.74900883,-0.74913234,0.00000000,-0.00000000
-5.89794897,1.70884228,-1.70868199,0.01359973,-0.01359979,0.14817828,-0.14807233,0.75329651,-0.75347033,1.01551370,-1.01525613,0.73394174,-0.73405862,0.00000000,-0.00000000
-5.89194597,1.69768365,-1.69752115,0.01349651,-0.01349704,0.15134602,-0.15124074,0.72835046,-0.72850064,1.01782264,-1.01757829,0.71923066,-0.71934226,0.00000000,-0.00000000
-5.88594297,1.68694369,-1.68677963,0.01331625,-0.01331722,0.15478366,-0.15467841,0.70551666,-0.70564317,1.01944736,-1.01921570,0.70470803,-0.70481573,0.00000000,-0.00000000
-5.87993997,1.67644794,-1.67628154,0.01306530,-0.01306665,0.15852505,-0.15841877,0.68471117,-0.68481399,1.02039496,-1.02017402,0.69021647,-0.69032152,0.00000000,-0.00000000
-5.87393697,1.66611011,-1.66593907,0.01275171,-0.01275339,0.16261858,-0.16250979,0.66584277,-0.66592191,1.02075224,-1.02053857,0.67561939,-0.67572289,0.00000000,-0.00000000
-5.86793397,1.65594610,-1.65576649,0.01238504,-0.01238697,0.16712719,-0.16701401,0.64882261,-0.64887796,1.02068966,-1.02047835,0.66080996,-0.66091275,0.00000000,-0.00000000
-5.86193097,1.64608093,-1.64588730,0.01197602,-0.01197812,0.17212724,-0.17200746,0.63357154,-0.63360291,1.02046043,-1.02024521,0.64571788,-0.64582049,0.00000000,-0.00000000
-5.85592796,1.63674823,-1.63653374,0.01153624,-0.01153843,0.17770618,-0.17757731,0.62002513,-0.62003224,1.02039450,-1.02016791,0.63031380,-0.63041644,0.00000000,-0.00000000
-5.84992496,1.62828220,-1.62803892,0.01107780,-0.01108000,0.18395911,-0.18381849,0.60813607,-0.60811858,1.02088753,-1.02064125,0.61461126,-0.61471379,0.00000000,-0.00000000
