energy_ev,total_up,Al_p_up,Al_d_up,Au_p_up,Au_d_up,S_s_up,S_p_up
-6.00000000,3.94392646,0.34794964,0.00000000,0.92017038,3.42674476,0.00258569,0.18065649
-5.99399700,3.91483756,0.33274625,0.00000000,0.87925113,3.42086222,0.00233695,0.17374461
-5.98799400,3.90136327,0.31933451,0.00000000,0.83948158,3.42946013,0.00211865,0.16722400
-5.98199100,3.90316277,0.30763466,0.00000000,0.80108323,3.45212619,0.00192867,0.16113008
-5.97598799,3.91970736,0.29756302,0.00000000,0.76427271,3.48826883,0.00176474,0.15549314
-5.96998499,3.95024827,0.28902971,0.00000000,0.72924892,3.53709065,0.00162452,0.15033612
-5.96398199,3.99378696,0.28193626,0.00000000,0.69618092,3.59756374,0.00150563,0.14567258
-5.95797899,4.04905132,0.27617344,0.00000000,0.66519731,3.66841031,0.00140570,0.14150508
-5.95197599,4.11448110,0.27161949,0.00000000,0.63637775,3.74809131,0.00132238,0.13782401
-5.94597299,4.18822531,0.26813921,0.00000000,0.60974719,3.83480561,0.00125340,0.13460706
-5.93996998,4.26815386,0.26558386,0.00000000,0.58527318,3.92650193,0.00119658,0.13181928
-5.93396698,4.35188466,0.26379214,0.00000000,0.56286634,4.02090451,0.00114985,0.12941387
-5.92796398,4.43682654,0.26259227,0.00000000,0.54238396,4.11555303,0.00111123,0.12733357
-5.92196098,4.52023719,0.26180503,0.00000000,0.52363642,4.20785616,0.00107893,0.12551267
-5.91595798,4.59929450,0.26124772,0.00000000,0.50639612,4.29515729,0.00105125,0.12387949
-5.90995498,4.67117840,0.26073883,0.00000000,0.49040821,4.37480988,0.00102671,0.12235921
-5.90395198,4.73315984,0.26010316,0.00000000,0.47540257,4.44425951,0.00100397,0.12087688
-5.89794897,4.78269263,0.25917703,0.00000000,0.46110640,4.50112859,0.00098189,0.11936047
-5.89194597,4.81750384,0.25781353,0.00000000,0.44725654,4.54329996,0.00095951,0.11774386
-5.88594297,4.83567799,0.25588717,0.00000000,0.43361113,4.56899482,0.00093608,0.11596944
-5.87993997,4.83573075,0.25329799,0.00000000,0.41995981,4.57684119,0.00091104,0.11399042
-5.87393697,4.81666841,0.24997470,0.00000000,0.40613224,4.56592918,0.00088403,0.11177253
-5.86793397,4.77802966,0.24587675,0.00000000,0.39200444,4.53584993,0.00085490,0.10929527
-5.86193097,4.71990778,0.24099524,0.00000000,0.37750284,4.48671630,0.00082366,0.10655238
