energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-2.33816908,0.18112261,-3.00395896,0.06182212,-0.40808305,0.06607246,-2.50640652,0.00000002,-0.00008499,0.01888227,-0.08644021,0.01479747,-0.19054342,0.02392747,-0.15650955,0.00001988,-0.00155909,0.10300829,-0.48534733
-2.33216608,0.18223093,-2.76680136,0.06244256,-0.38180844,0.06622352,-2.29405183,0.00000001,-0.00007734,0.01909127,-0.08194933,0.01512853,-0.17605232,0.02394771,-0.14661819,0.00002527,-0.00139998,0.10385468,-0.46044418
-2.32616308,0.18444389,-2.53711219,0.06316072,-0.35613775,0.06729507,-2.08901811,0.00000001,-0.00006995,0.01933302,-0.07746518,0.01555122,-0.16197693,0.02404719,-0.13693725,0.00003193,-0.00124942,0.10482634,-0.43570508
-2.32016008,0.18759023,-2.31660975,0.06390074,-0.33126303,0.06926339,-1.89280375,0.00000001,-0.00006289,0.01958503,-0.07303532,0.01605801,-0.14842842,0.02419351,-0.12754241,0.00004009,-0.00110818,0.10578785,-0.41135705
-2.31415708,0.19153605,-2.10670102,0.06459605,-0.30734988,0.07212501,-1.70661204,0.00000001,-0.00005620,0.01982768,-0.06870300,0.01664470,-0.13549967,0.02435825,-0.11849990,0.00005000,-0.00097677,0.10661862,-0.38760736
-2.30815408,0.19618820,-1.90848421,0.06519090,-0.28453722,0.07589707,-1.53135595,0.00000001,-0.00004992,0.02004471,-0.06450677,0.01731071,-0.12326507,0.02451750,-0.10986600,0.00006193,-0.00085552,0.10721551,-0.36464173
-2.30215108,0.20149595,-1.72275926,0.06564150,-0.26293748,0.08061693,-1.36767073,0.00000001,-0.00004406,0.02022351,-0.06048011,0.01805911,-0.11178085,0.02465233,-0.10168691,0.00007616,-0.00074457,0.10749490,-0.34262289
-2.29614807,0.20745091,-1.55004482,0.06591674,-0.24263714,0.08634072,-1.21593264,0.00000002,-0.00003865,0.02035536,-0.05665123,0.01889651,-0.10108579,0.02474897,-0.09399869,0.00009301,-0.00064387,0.10739400,-0.32168937
-2.29014507,0.21408499,-1.39060032,0.06599836,-0.22369764,0.09314079,-1.07628260,0.00000002,-0.00003368,0.02043546,-0.05304296,0.01983284,-0.09120230,0.02479886,-0.08682743,0.00011277,-0.00055320,0.10687137,-0.30195458
-2.28414207,0.22146646,-1.24445159,0.06588068,-0.20615641,0.10110224,-0.94865326,0.00000003,-0.00002917,0.02046278,-0.04967265,0.02088083,-0.08213772,0.02479848,-0.08018955,0.00013577,-0.00047221,0.10590675,-0.28350601
-2.27813907,0.22969413,-1.11141885,0.06556986,-0.19002812,0.11031833,-0.83279788,0.00000005,-0.00002511,0.02043987,-0.04655222,0.02205540,-0.07388589,0.02474899,-0.07409223,0.00016230,-0.00040045,0.10450014,-0.26640478
-2.27213607,0.23888982,-0.99114570,0.06508275,-0.17530611,0.12088496,-0.72832014,0.00000007,-0.00002147,0.02037242,-0.04368820,0.02337284,-0.06642876,0.02465579,-0.06853388,0.00019263,-0.00033737,0.10267021,-0.25068542
-2.26613307,0.24918933,-0.88312815,0.06444527,-0.16196389,0.13289436,-0.63470339,0.00000010,-0.00001824,0.02026878,-0.04108196,0.02484986,-0.05973805,0.02452779,-0.06350480,0.00022700,-0.00028235,0.10045210,-0.23635605
-2.26013007,0.26073226,-0.78674301,0.06369057,-0.14995687,0.14642816,-0.55133871,0.00000015,-0.00001540,0.02013933,-0.03872986,0.02650255,-0.05377703,0.02437670,-0.05898785,0.00026562,-0.00023473,0.09789473,-0.22339896
-2.25412706,0.27365095,-0.70127468,0.06285691,-0.13922418,0.16155003,-0.47755094,0.00000021,-0.00001291,0.01999580,-0.03662363,0.02834522,-0.04850211,0.02421616,-0.05495922,0.00030862,-0.00019385,0.09505775,-0.21177165
-2.24812406,0.28805924,-0.62594031,0.06198539,-0.12969066,0.17829838,-0.41262233,0.00000030,-0.00001076,0.01985057,-0.03475072,0.03038925,-0.04386446,0.02406086,-0.05138926,0.00035604,-0.00015902,0.09200825,-0.20140848
