energy_ev,total_up,P_s_up,P_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.91647044,0.03738708,0.12156194,1.04522157,0.73398355,0.03872873,1.78811387
-5.99399700,3.14340300,0.04017884,0.13211780,1.14838059,0.78719529,0.04108965,1.92652535
-5.98799400,3.38909647,0.04319006,0.14356867,1.25837400,0.84491567,0.04368020,2.07641374
-5.98199100,3.65167905,0.04639702,0.15581884,1.37451328,0.90668234,0.04648124,2.23664991
-5.97598799,3.92888742,0.04977198,0.16875356,1.49596029,0.97193580,0.04946835,2.40586437
-5.96998499,4.21808957,0.05328336,0.18224011,1.62173535,1.04002550,0.05261214,2.58246097
-5.96398199,4.51631914,0.05689617,0.19612939,1.75073012,1.11021861,0.05587866,2.76463748
-5.95797899,4.82032095,0.06057236,0.21025819,1.88172532,1.18171164,0.05923004,2.95041323
-5.95197599,5.12660712,0.06427139,0.22445197,2.01341277,1.25364451,0.06262518,3.13766302
-5.94597299,5.43152261,0.06795086,0.23852814,2.14442145,1.32511694,0.06602061,3.32415709
-5.93996998,5.73131862,0.07156715,0.25229978,2.27334664,1.39520672,0.06937147,3.50760581
-5.93396698,6.02223198,0.07507622,0.26557962,2.39878146,1.46298949,0.07263251,3.68570826
-5.92796398,6.30056805,0.07843445,0.27818421,2.51934963,1.52755931,0.07575920,3.85620300
-5.92196098,6.56278481,0.08159948,0.28993812,2.63373839,1.58804963,0.07870883,4.01691979
-5.91595798,6.80557504,0.08453105,0.30067799,2.74073035,1.64365373,0.08144156,4.16583018
-5.90995498,7.02594405,0.08719193,0.31025638,2.83923302,1.69364416,0.08392150,4.30109561
-5.90395198,7.22127997,0.08954870,0.31854512,2.92830498,1.73739036,0.08611765,4.42111096
-5.89794897,7.38941411,0.09157253,0.32543820,3.00717754,1.77437383,0.08800465,4.52454217
-5.89194597,7.52866890,0.09323980,0.33085405,3.07527106,1.80420028,0.08956352,4.61035629
-5.88594297,7.63789175,0.09453271,0.33473700,3.13220523,1.82660827,0.09078207,4.67784280
-5.87993997,7.71647315,0.09543961,0.33705806,3.17780292,1.84147397,0.09165520,4.72662546
-5.87393697,7.76434858,0.09595530,0.33781493,3.21208739,1.84881177,0.09218491,4.75666386
-5.86793397,7.78198379,0.09608099,0.33703117,3.23527299,1.84877075,0.09238014,4.76824490
-5.86193097,7.77034430,0.09582425,0.33475474,3.24774986,1.84162710,0.09225635,4.76196424
-5.85592796,7.73085013,0.09519863,0.33105580,3.25006318,1.82777269,0.09183488,4.73869866
-5.84992496,7.66531782,0.09422322,0.32602404,3.24288789,1.80770034,0.09114219,4.69957034
-5.84392196,7.57589203,0.09292192,0.31976556,3.22700013,1.78198635,0.09020883,4.64590449
-5.83791896,7.46496951,0.09132275,0.31239944,3.20324651,1.75127083,0.08906840,4.57918225
-5.83191596,7.33511877,0.08945685,0.30405419,3.17251251,1.71623689,0.08775636,4.50099063
-5.82591296,7.18899839,0.08735764,0.29486414,3.13569148,1.67758922,0.08630882,4.41297158
-5.81990995,7.02927751,0.08505972,0.28496600,3.09365544,1.63603309,0.08476135,4.31677226
-5.81390695,6.85856139,0.08259801,0.27449559,3.04722882,1.59225454,0.08314786,4.21399836
-5.80790395,6.67932474,0.08000675,0.26358502,2.99716621,1.54690238,0.08149957,4.10617227
-5.80190095,6.49385531,0.07731872,0.25236014,2.94413489,1.50057278,0.07984411,3.99469755
-5.79589795,6.30420921,0.07456448,0.24093857,2.88870258,1.45379683,0.07820482,3.88083074
-5.78989495,6.11217921,0.07177186,0.22942823,2.83133084,1.40703146,0.07660022,3.76566133
-5.78389195,5.91927653,0.06896548,0.21792631,2.77237397,1.36065394,0.07504375,3.65010024
-5.77788894,5.72672578,0.06616654,0.20651878,2.71208321,1.31495986,0.07354364,3.53487654
-5.77188594,5.53547239,0.06339272,0.19528033,2.65061561,1.27016456,0.07210307,3.42054219
-5.76588294,5.34620107,0.06065824,0.18427471,2.58804709,1.22640768,0.07072053,3.30748375
