energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Li_s_up,Li_s_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.40007797,-1.19931890,0.51092581,-0.28993091,0.59834799,-0.17193444,0.24560735,-0.19003895,0.00472286,-0.01466293,0.37702128,-0.29345747,0.03264109,-0.01177860,0.76634268,-0.27949090
-5.99399700,2.47495943,-1.21406081,0.53006515,-0.30277894,0.61938494,-0.17451378,0.24801751,-0.18395623,0.00480059,-0.01485369,0.39147721,-0.30267327,0.03402037,-0.01183657,0.78712870,-0.27740190
-5.98799400,2.54306347,-1.22731127,0.54772585,-0.31583683,0.63885643,-0.17679938,0.24970892,-0.17732524,0.00486319,-0.01499480,0.40500821,-0.31174074,0.03531084,-0.01187616,0.80549360,-0.27478316
-5.98199100,2.60306036,-1.23935115,0.56364524,-0.32906990,0.65638278,-0.17883083,0.25060796,-0.17027768,0.00490768,-0.01509176,0.41737033,-0.32066662,0.03648855,-0.01190126,0.82106639,-0.27176464
-5.97598799,2.65374205,-1.25043674,0.57759913,-0.34242329,0.67161669,-0.18064771,0.25065189,-0.16294450,0.00493151,-0.01515111,0.42834022,-0.32944743,0.03753065,-0.01191575,0.83351563,-0.26847437
-5.96998499,2.69407179,-1.26078326,0.58941305,-0.35581952,0.68425623,-0.18228679,0.24979310,-0.15545269,0.00493260,-0.01518015,0.43772376,-0.33806582,0.03841620,-0.01192331,0.84256412,-0.26503427
-5.96398199,2.72322994,-1.27055080,0.59897245,-0.36915705,0.69405687,-0.18377944,0.24800300,-0.14792233,0.00490943,-0.01518650,0.44536422,-0.34648764,0.03912693,-0.01192720,0.84800227,-0.26155652
-5.95797899,2.74065357,-1.27983355,0.60623106,-0.38231003,0.70084199,-0.18514934,0.24527533,-0.14046425,0.00486109,-0.01517774,0.45114938,-0.35465984,0.03964795,-0.01193008,0.84969934,-0.25814058
-5.95197599,2.74606807,-1.28865267,0.61121715,-0.39512941,0.70451136,-0.18641067,0.24162854,-0.13317820,0.00478728,-0.01516098,0.45501740,-0.36250939,0.03996840,-0.01193391,0.84761213,-0.25487102
-5.94597299,2.73950886,-1.29695353,0.61403735,-0.40744544,0.70504718,-0.18756671,0.23710724,-0.12615157,0.00468835,-0.01514252,0.45696106,-0.36994348,0.04008195,-0.01193984,0.84179052,-0.25181610
