energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,5.83025168,0.55850188,0.16287710,0.06034124,1.35429540,0.10191981,2.10519260,2.40204354,1.21385319
-5.99399700,5.76290253,0.54545834,0.15777202,0.06020591,1.33387982,0.10208896,2.08623344,2.34130986,1.22549730
-5.98799400,5.68660634,0.53187838,0.15274660,0.05986659,1.31186973,0.10194238,2.06332227,2.27650547,1.23577245
-5.98199100,5.60200755,0.51807431,0.14786859,0.05932917,1.28845715,0.10147070,2.03671094,2.20840999,1.24447771
-5.97598799,5.51001761,0.50438048,0.14321931,0.05860188,1.26388653,0.10067129,2.00676167,2.13794601,1.25144533
-5.96998499,5.41179726,0.49114603,0.13889110,0.05769514,1.23845244,0.09954827,1.97393759,2.06616164,1.25654939
-5.96398199,5.30873581,0.47872709,0.13498455,0.05662139,1.21249707,0.09811232,1.93879165,1.99421056,1.25971484
-5.95797899,5.20242747,0.46747869,0.13160563,0.05539492,1.18640725,0.09638044,1.90195379,1.92333014,1.26092650
-5.95197599,5.09464469,0.45774644,0.12886279,0.05403169,1.16061101,0.09437562,1.86411689,1.85481787,1.26023712
-5.94597299,4.98730846,0.44985816,0.12686410,0.05254907,1.13557316,0.09212632,1.82602165,1.79000658,1.25777405
-5.93996998,4.88245551,0.44411580,0.12571456,0.05096558,1.11178994,0.08966602,1.78844060,1.73023876,1.25374362
-5.93396698,4.78220261,0.44078783,0.12551362,0.04930066,1.08978229,0.08703253,1.75216180,1.67684060,1.24843280
-5.92796398,4.68870810,0.44010227,0.12635299,0.04757433,1.07008775,0.08426734,1.71797240,1.63109593,1.24220747
-5.92196098,4.60413116,0.44224077,0.12831474,0.04580688,1.05325088,0.08141483,1.68664260,1.59422062,1.23550722
-5.91595798,4.53058938,0.44733390,0.13146987,0.04401860,1.03981216,0.07852149,1.65891043,1.56733794,1.22883633
-5.90995498,4.47011553,0.45545778,0.13587710,0.04222941,1.03029563,0.07563511,1.63546765,1.55145515,1.22275109
-5.90395198,4.42461457,0.46663246,0.14158224,0.04045857,1.02519537,0.07280392,1.61694733,1.54744190,1.21784377
-5.89794897,4.39582179,0.48082190,0.14861777,0.03872442,1.02496136,0.07007581,1.60391326,1.55601079,1.21472385
-5.89194597,4.38526370,0.49793575,0.15700293,0.03704410,1.02998500,0.06749754,1.59685160,1.57770055,1.21399695
-5.88594297,4.39422246,0.51783293,0.16674398,0.03543335,1.04058502,0.06511398,1.59616487,1.61286216,1.21624264
-5.87993997,4.42370529,0.54032675,0.17783479,0.03390635,1.05699426,0.06296747,1.60216827,1.66164838,1.22199189
-5.87393697,4.47441988,0.56519163,0.19025763,0.03247557,1.07934807,0.06109723,1.61508839,1.72400694,1.23170529
-5.86793397,4.54675647,0.59217085,0.20398400,0.03115173,1.10767480,0.05953879,1.63506398,1.79967768,1.24575304
-5.86193097,4.64077750,0.62098538,0.21897557,0.02994376,1.14188916,0.05832365,1.66214864,1.88819390,1.26439771
-5.85592796,4.75621485,0.65134310,0.23518505,0.02885881,1.18178879,0.05747886,1.69631488,1.98888794,1.28778062
-5.84992496,4.89247503,0.68294821,0.25255692,0.02790225,1.22705452,0.05702679,1.73745931,2.10090125,1.31591256
-5.84392196,5.04865186,0.71551039,0.27102812,0.02707781,1.27725446,0.05698492,1.78540831,2.22319856,1.34866937
-5.83791896,5.22354614,0.74875326,0.29052842,0.02638755,1.33185212,0.05736570,1.83992381,2.35458629,1.38579259
-5.83191596,5.41569155,0.78242184,0.31098066,0.02583202,1.39021828,0.05817650,1.90070879,2.49373462,1.42689529
-5.82591296,5.62338572,0.81628870,0.33230078,0.02541021,1.45164639,0.05941950,1.96741200,2.63920284,1.47147278
-5.81990995,5.84472528,0.85015849,0.35439768,0.02511969,1.51537097,0.06109171,2.03963179,2.78946749,1.51891778
-5.81390695,6.07764365,0.88387067,0.37717291,0.02495653,1.58058837,0.06318500,2.11691883,2.94295226,1.56853935
-5.80790395,6.31995008,0.91730047,0.40052042,0.02491535,1.64647905,0.06568605,2.19877769,3.09805919,1.61958479
-5.80190095,6.56936889,0.95035794,0.42432614,0.02498927,1.71223050,0.06857646,2.28466738,3.25319997,1.67126339
-5.79589795,6.82357739,0.98298518,0.44846787,0.02516991,1.77705983,0.07183277,2.37400116,3.40682643,1.72277115
-5.78989495,7.08024157,1.01515197,0.47281515,0.02544730,1.84023512,0.07542656,2.46614580,3.55745941,1.77331532
-5.78389195,7.33704862,1.04685002,0.49722953,0.02580992,1.90109449,0.07932457,2.56042081,3.70371492,1.82213763
-5.77788894,7.59173548,1.07808599,0.52156506,0.02624470,1.95906219,0.08348886,2.65609797,3.84432675,1.86853545
-5.77188594,7.84211314,1.10887387,0.54566915,0.02673707,2.01366101,0.08787707,2.75240178,3.97816499,1.91187987
-5.76588294,8.08608629,1.13922682,0.56938378,0.02727109,2.06452035,0.09244269,2.84851104,4.10424968,1.95163027
-5.75987994,8.32166851,1.16914902,0.59254707,0.02782960,2.11137988,0.09713543,2.94356214,4.22175950,1.98734473
-5.75387694,8.54699318,1.19862783,0.61499515,0.02839453,2.15408855,0.10190175,3.03665432,4.33003516,2.01868622
-5.74787394,8.76032063,1.22762674,0.63656426,0.02894719,2.19259915,0.10668539,3.12685697,4.42857772,2.04542451
-5.74187094,8.96004219,1.25607928,0.65709301,0.02946864,2.22695875,0.11142804,3.21321930,4.51704213,2.06743402
-5.73586793,9.14468179,1.28388443,0.67642478,0.02994019,2.25729567,0.11607013,3.29478213,4.59522654,2.08468797
