energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,2.82354210,0.41298016,0.80405625,0.06606256,0.04612183,0.43870198,0.08345350,1.03598259
-5.99399700,2.79655883,0.40675713,0.80331889,0.06388787,0.04616326,0.41520862,0.08294364,1.02172234
-5.98799400,2.77337960,0.40125734,0.80297702,0.06196769,0.04627638,0.39254472,0.08269386,1.00932247
-5.98199100,2.75371515,0.39647068,0.80285637,0.06032505,0.04645091,0.37092288,0.08268666,0.99873333
-5.97598799,2.73712900,0.39235962,0.80276416,0.05897257,0.04667428,0.35050654,0.08289716,0.98983584
-5.96998499,2.72306343,0.38886213,0.80249840,0.05791246,0.04693218,0.33140957,0.08329418,0.98244992
-5.96398199,2.71086866,0.38589538,0.80185714,0.05713705,0.04720912,0.31369768,0.08384134,0.97634474
-5.95797899,2.69983410,0.38335993,0.80064725,0.05662948,0.04748903,0.29739134,0.08449844,0.97125028
-5.95197599,2.68922066,0.38114437,0.79869268,0.05636488,0.04775592,0.28247005,0.08522282,0.96686995
-5.94597299,2.67829308,0.37913025,0.79584169,0.05631167,0.04799450,0.26887767,0.08597089,0.96289378
-5.93996998,2.66635139,0.37719710,0.79197307,0.05643315,0.04819074,0.25652854,0.08669963,0.95901179
-5.93396698,2.65276034,0.37522748,0.78700105,0.05668920,0.04833251,0.24531412,0.08736806,0.95492712
-5.92796398,2.63697595,0.37311173,0.78087886,0.05703803,0.04840999,0.23510974,0.08793874,0.95036846
-5.92196098,2.61856834,0.37075248,0.77360082,0.05743793,0.04841608,0.22578142,0.08837905,0.94510129
-5.91595798,2.59723990,0.36806855,0.76520295,0.05784896,0.04834671,0.21719221,0.08866243,0.93893763
-5.90995498,2.57283823,0.36499814,0.75576204,0.05823445,0.04820100,0.20920805,0.08876931,0.93174388
-5.90395198,2.54536320,0.36150129,0.74539317,0.05856230,0.04798125,0.20170296,0.08868791,0.92344627
-5.89794897,2.51496771,0.35756134,0.73424587,0.05880607,0.04769289,0.19456321,0.08841467,0.91403397
-5.89194597,2.48195207,0.35318539,0.72249889,0.05894571,0.04734420,0.18769072,0.08795440,0.90355935
