energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,P_s_up,P_s_down,P_p_up,P_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.41489424,-0.36241786,0.12075828,-0.10965418,0.11343170,-0.09565514,0.00149971,-0.00038826,0.18724746,-0.16566307,0.00867450,-0.00679393,0.03053295,-0.02624762
-5.99399700,0.41914919,-0.37407722,0.12141991,-0.11294420,0.11505621,-0.09906998,0.00184386,-0.00047220,0.18897819,-0.17114574,0.00887290,-0.00715028,0.03084565,-0.02683348
-5.98799400,0.42214185,-0.38453949,0.12169214,-0.11573378,0.11640817,-0.10216443,0.00225481,-0.00058363,0.19010982,-0.17599257,0.00903562,-0.00750435,0.03107665,-0.02739566
-5.98199100,0.42412690,-0.39362210,0.12166189,-0.11798981,0.11756713,-0.10490015,0.00274105,-0.00072675,0.19076107,-0.18013176,0.00916371,-0.00784777,0.03124139,-0.02791160
-5.97598799,0.42542600,-0.40121370,0.12143415,-0.11970079,0.11863084,-0.10725764,0.00331137,-0.00090656,0.19108019,-0.18352339,0.00925994,-0.00817318,0.03136079,-0.02836453
-5.96998499,0.42641875,-0.40727864,0.12112913,-0.12087785,0.11971266,-0.10923755,0.00397467,-0.00112893,0.19124074,-0.18616143,0.00932863,-0.00847433,0.03146061,-0.02874385
-5.96398199,0.42753133,-0.41185949,0.12087867,-0.12155519,0.12093828,-0.11086142,0.00473974,-0.00140047,0.19143657,-0.18807482,0.00937562,-0.00874635,0.03157056,-0.02904525
-5.95797899,0.42922313,-0.41507733,0.12082217,-0.12178971,0.12244189,-0.11217185,0.00561496,-0.00172856,0.19187581,-0.18932753,0.00940807,-0.00898583,0.03172326,-0.02927071
-5.95197599,0.43197184,-0.41712959,0.12110214,-0.12165995,0.12436184,-0.11323194,0.00660797,-0.00212126,0.19277416,-0.19001756,0.00943421,-0.00919097,0.03195320,-0.02942837
-5.94597299,0.43625743,-0.41828552,0.12185940,-0.12126431,0.12683599,-0.11412410,0.00772531,-0.00258714,0.19434776,-0.19027477,0.00946313,-0.00936164,0.03229543,-0.02953214
-5.93996998,0.44254546,-0.41887910,0.12322829,-0.12071852,0.12999677,-0.11494810,0.00897208,-0.00313520,0.19680576,-0.19025758,0.00950450,-0.00949941,0.03278438,-0.02960122
-5.93396698,0.45127040,-0.41929961,0.12533177,-0.12015239,0.13396635,-0.11581847,0.01035157,-0.00377460,0.20034289,-0.19014864,0.00956821,-0.00960752,0.03345254,-0.02965942
-5.92796398,0.46281946,-0.41998005,0.12827689,-0.11970605,0.13885182,-0.11686122,0.01186487,-0.00451450,0.20513230,-0.19014948,0.00966416,-0.00969079,0.03432927,-0.02973433
-5.92196098,0.47751757,-0.42138368,0.13215046,-0.11952567,0.14474077,-0.11821006,0.01351053,-0.00536375,0.21131889,-0.19047440,0.00980186,-0.00975547,0.03543960,-0.02985637
-5.91595798,0.49561405,-0.42398905,0.13701539,-0.11975879,0.15169736,-0.12000212,0.01528431,-0.00633056,0.21901346,-0.19134359,0.00999024,-0.00980907,0.03680326,-0.03005770
-5.90995498,0.51727144,-0.42827397,0.14290757,-0.12054948,0.15975899,-0.12237339,0.01717890,-0.00742219,0.22828774,-0.19297590,0.01023736,-0.00986009,0.03843377,-0.03037110
