energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,4.10699541,0.01402036,0.65871000,1.02144361,0.58775800,1.11664871,1.03260148,0.04575205,1.89303245
-5.99399700,3.98774862,0.01410804,0.64834294,0.98147007,0.56705715,1.09578991,1.01832632,0.04410032,1.82176328
-5.98799400,3.86862713,0.01429526,0.63773861,0.94148906,0.54539742,1.07537841,1.00454620,0.04239917,1.74985057
-5.98199100,3.75097848,0.01457780,0.62705845,0.90192207,0.52301006,1.05584220,0.99160174,0.04066641,1.67801239
-5.97598799,3.63626955,0.01495020,0.61648891,0.86322631,0.50015540,1.03764031,0.97986250,0.03892217,1.60702924
-5.96998499,3.52604307,0.01540586,0.60623228,0.82588547,0.47711706,1.02124474,0.96971182,0.03718841,1.53772619
-5.96398199,3.42186921,0.01593703,0.59649685,0.79039857,0.45419507,1.00712204,0.96153072,0.03548842,1.47095240
-5.95797899,3.32529528,0.01653493,0.58748702,0.75726770,0.43169820,0.99571553,0.95568160,0.03384629,1.40755911
-5.95197599,3.23779582,0.01718988,0.57939391,0.72698503,0.40993592,0.98742907,0.95249288,0.03228622,1.34837709
-5.94597299,3.16072603,0.01789153,0.57238707,0.70001961,0.38921026,0.98261325,0.95224524,0.03083189,1.29419456
-5.93996998,3.09528084,0.01862903,0.56660773,0.67680468,0.36980814,0.98155477,0.95516040,0.02950584,1.24573669
-5.93396698,3.04246150,0.01939134,0.56216401,0.65772577,0.35199426,0.98446952,0.96139306,0.02832883,1.20364735
-5.92796398,3.00305138,0.02016753,0.55912829,0.64311014,0.33600501,0.99149970,0.97102640,0.02731933,1.16847401
-5.92196098,2.97760193,0.02094705,0.55753690,0.63321798,0.32204358,1.00271521,0.98407142,0.02649302,1.14065610
-5.91595798,2.96642914,0.02172010,0.55739211,0.62823539,0.31027633,1.01811912,1.00047026,0.02586245,1.12051748
-5.90995498,2.96962040,0.02247789,0.55866616,0.62826962,0.30083059,1.03765703,1.02010314,0.02543675,1.10826278
-5.90395198,2.98705105,0.02321297,0.56130724,0.63334642,0.29379389,1.06122969,1.04279869,0.02522151,1.10397792
-5.89794897,3.01840945,0.02391944,0.56524680,0.64340961,0.28921444,1.08870821,1.06834711,0.02521874,1.10763434
-5.89194597,3.06322887,0.02459324,0.57040788,0.65832273,0.28710292,1.11995106,1.09651527,0.02542697,1.11909672
-5.88594297,3.12092446,0.02523223,0.57671391,0.67787277,0.28743514,1.15482171,1.12706309,0.02584138,1.13813365
-5.87993997,3.19083305,0.02583633,0.58409734,0.70177564,0.29015574,1.19320608,1.15976018,0.02645416,1.16443062
-5.87393697,3.27225356,0.02640754,0.59250762,0.72968324,0.29518235,1.23502842,1.19440183,0.02725481,1.19760478
-5.86793397,3.36448591,0.02694989,0.60191807,0.76119189,0.30241018,1.28026478,1.23082332,0.02823059,1.23722068
-5.86193097,3.46686605,0.02746930,0.61233098,0.79585187,0.31171683,1.32895289,1.26891174,0.02936699,1.28280628
-5.85592796,3.57879531,0.02797339,0.62378083,0.83317767,0.32296693,1.38119774,1.30861449,0.03064816,1.33386857
-5.84992496,3.69976236,0.02847120,0.63633508,0.87265880,0.33601665,1.43717190,1.34994378,0.03205748,1.38990805
-5.84392196,3.82935621,0.02897282,0.65009258,0.91377077,0.35071774,1.49711033,1.39297673,0.03357793,1.45043140
-5.83791896,3.96726953,0.02948906,0.66517941,0.95598588,0.36692096,1.56129932,1.43785068,0.03519258,1.51496190
-5.83191596,4.11329148,0.03003093,0.68174234,0.99878363,0.38447894,1.63005959,1.48475372,0.03688494,1.58304691
-5.82591296,4.26729024,0.03060920,0.69993998,1.04166033,0.40324815,1.70372396,1.53391073,0.03863920,1.65426229
-5.81990995,4.42918563,0.03123388,0.71993214,1.08413764,0.42309020,1.78261034,1.58556514,0.04044051,1.72821334
-5.81390695,4.59891281,0.03191379,0.74186771,1.12576989,0.44387220,1.86699085,1.63995738,0.04227504,1.80453237
-5.80790395,4.77637871,0.03265599,0.76587160,1.16614972,0.46546642,1.95705857,1.69730068,0.04413002,1.88287287
-5.80190095,4.96141317,0.03346543,0.79203144,1.20491219,0.48774917,2.05289329,1.75775551,0.04599368,1.96290080
-5.79589795,5.15371735,0.03434454,0.82038458,1.24173694,0.51059908,2.15442818,1.82140384,0.04785509,2.04428338
-5.78989495,5.35281220,0.03529291,0.85090625,1.27634872,0.53389489,2.26141911,1.88822457,0.04970394,2.12667611
-5.78389195,5.55799024,0.03630712,0.88349934,1.30851609,0.55751285,2.37341848,1.95807170,0.05153028,2.20970903
-5.77788894,5.76827365,0.03738060,0.91798661,1.33804863,0.58132411,2.48975568,2.03065637,0.05332424,2.29297307
-5.77188594,5.98238213,0.03850366,0.95410579,1.36479289,0.60519211,2.60952548,2.10553435,0.05507571,2.37600771
-5.76588294,6.19871312,0.03966364,0.99150809,1.38862739,0.62897029,2.73158605,2.18209990,0.05677411,2.45829106
-5.75987994,6.41533729,0.04084515,1.02976044,1.40945716,0.65250041,2.85456745,2.25958692,0.05840815,2.53923338
-5.75387694,6.63001083,0.04203048,1.06835148,1.42720814,0.67561160,2.97689136,2.33707802,0.05996569,2.61817515
-5.74787394,6.84020608,0.04320011,1.10670159,1.44182206,0.69812037,3.09680178,2.41352156,0.06143371,2.69439033
-5.74187094,7.04316045,0.04433334,1.14417639,1.45325211,0.71983175,3.21240655,2.48775659,0.06279834,2.76709542
-5.73586793,7.23594318,0.04540893,1.18010366,1.46145983,0.74054169,3.32172827,2.55854501,0.06404508,2.83546449
-5.72986493,7.41553799,0.04640595,1.21379291,1.46641356,0.76004064,3.42276306,2.62460982,0.06515907,2.89865007
-5.72386193,7.57893908,0.04730451,1.24455696,1.46808856,0.77811841,3.51354504,2.68467823,0.06612551,2.95580925
