energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,W_p_up,W_d_up
-6.00000000,3.10862052,0.00799780,0.77064442,0.00935772,1.35055726,0.36872777,0.08538177,1.71963857,0.96037077
-5.99399700,2.97779898,0.00733952,0.74414569,0.00860707,1.29950074,0.35272210,0.08038873,1.63919565,0.92272105
-5.98799400,2.86514548,0.00678841,0.71850482,0.00795382,1.26003012,0.34267251,0.07666142,1.56527395,0.89037356
-5.98199100,2.77184070,0.00634957,0.69414145,0.00740469,1.23253427,0.33841175,0.07416489,1.49891639,0.86370842
-5.97598799,2.69888990,0.00602777,0.67147707,0.00696573,1.21728413,0.33973736,0.07287337,1.44105245,0.84303011
-5.96998499,2.64709463,0.00582748,0.65092379,0.00664226,1.21442246,0.34641651,0.07277001,1.39247642,0.82855783
-5.96398199,2.61702771,0.00575284,0.63287307,0.00643889,1.22395567,0.35819028,0.07384623,1.35382909,0.82041785
-5.95797899,2.60901282,0.00580766,0.61768510,0.00635948,1.24574849,0.37477743,0.07610054,1.32558364,0.81863839
-5.95197599,2.62310976,0.00599529,0.60567895,0.00640712,1.27952174,0.39587792,0.07953709,1.30803612,0.82314715
-5.94597299,2.65910640,0.00631853,0.59712425,0.00658404,1.32485373,0.42117653,0.08416392,1.30130087,0.83377185
-5.93996998,2.71651787,0.00677950,0.59223442,0.00689155,1.38118546,0.45034664,0.08999110,1.30531117,0.85024370
-5.93396698,2.79459334,0.00737947,0.59116177,0.00732997,1.44782972,0.48305438,0.09702875,1.31982485,0.87220378
-5.92796398,2.89233047,0.00811866,0.59399474,0.00789854,1.52398407,0.51896343,0.10528506,1.34443502,0.89921230
-5.92196098,3.00849721,0.00899605,0.60075706,0.00859531,1.60874743,0.55774031,0.11476446,1.37858531,0.93076022
-5.91595798,3.14166029,0.01000918,0.61140902,0.00941701,1.70113991,0.59906028,0.12546588,1.42158930,0.96628305
-5.90995498,3.29021957,0.01115397,0.62585062,0.01035901,1.80012536,0.64261365,0.13738130,1.47265344,1.00517628
-5.90395198,3.45244712,0.01242453,0.64392626,0.01141523,1.90463597,0.68811239,0.15049449,1.53090274,1.04681186
-5.89794897,3.62652956,0.01381305,0.66543098,0.01257806,2.01359799,0.73529668,0.16478014,1.59540834,1.09055517
-5.89194597,3.81061218,0.01530972,0.69011755,0.01383839,2.12595795,0.78394110,0.18020332,1.66521608,1.13578188
-5.88594297,4.00284319,0.01690269,0.71770443,0.01518558,2.24070805,0.83386020,0.19671926,1.73937502,1.18189402
-5.87993997,4.20141642,0.01857814,0.74788392,0.01660756,2.35691009,0.88491283,0.21427347,1.81696490,1.22833469
-5.87393697,4.40461073,0.02032041,0.78033031,0.01809097,2.47371665,0.93700509,0.23280226,1.89712155,1.27460085
-5.86793397,4.61082453,0.02211215,0.81470763,0.01962129,2.59038877,0.99009141,0.25223342,1.97905928,1.32025366
-5.86193097,4.81860398,0.02393464,0.85067665,0.02118306,2.70630918,1.04417346,0.27248721,2.06208926,1.36492601
-5.85592796,5.02666372,0.02576808,0.88790096,0.02276018,2.82099046,1.09929677,0.29347753,2.14563326,1.40832694
-5.84992496,5.23389899,0.02759202,0.92605182,0.02433619,2.93407747,1.15554482,0.31511310,2.22923201,1.45024273
-5.84392196,5.43938868,0.02938574,0.96481174,0.02589461,3.04534381,1.21303063,0.33729875,2.31254779,1.49053470
-5.83791896,5.64238908,0.03112871,1.00387671,0.02741926,3.15468218,1.27188606,0.35993662,2.39536105,1.52913372
-5.83191596,5.84231848,0.03280104,1.04295700,0.02889467,3.26208893,1.33224893,0.38292722,2.47756103,1.56603183
-5.82591296,6.03873335,0.03438391,1.08177687,0.03030635,3.36764312,1.39424848,0.40617039,2.55913087,1.60127114
-5.81990995,6.23129709,0.03585994,1.12007308,0.03164116,3.47148098,1.45798955,0.42956594,2.64012749,1.63493068
-5.81390695,6.41974307,0.03721355,1.15759268,0.03288756,3.57376673,1.52353627,0.45301423,2.72065733,1.66711181
-5.80790395,6.60383359,0.03843120,1.19409021,0.03403586,3.67466109,1.59089579,0.47641634,2.80084891,1.69792276
-5.80190095,6.78331722,0.03950158,1.22932477,0.03507840,3.77428886,1.66000297,0.49967417,2.88082345,1.72746323
-5.79589795,6.95788678,0.04041575,1.26305717,0.03600967,3.87270725,1.73070668,0.52269035,2.96066507,1.75580973
-5.78989495,7.12714044,0.04116712,1.29504764,0.03682637,3.96987658,1.80275858,0.54536795,3.04039197,1.78300247
-5.78389195,7.29054841,0.04175141,1.32505431,0.03752740,4.06563501,1.87580514,0.56761025,3.11993020,1.80903456
-5.77788894,7.44742755,0.04216657,1.35283281,0.03811385,4.15967877,1.94938333,0.58932044,3.19909152,1.83384406
