energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.09331914,0.00158837,0.00000000,0.01772361,0.04121581,0.01195554,0.67553043,0.47649026,0.21028200
-5.99399700,1.10913217,0.00151167,0.00000000,0.01755817,0.03810624,0.01097802,0.68613489,0.46336950,0.22837235
-5.98799400,1.13619880,0.00144917,0.00000000,0.01753455,0.03575651,0.01017277,0.70333120,0.45688618,0.24874962
-5.98199100,1.17546345,0.00140267,0.00000000,0.01767088,0.03422066,0.00955264,0.72768802,0.45764826,0.27155240
-5.97598799,1.22780919,0.00137385,0.00000000,0.01798360,0.03355581,0.00913011,0.75972833,0.46625041,0.29691597
-5.96998499,1.29406272,0.00136425,0.00000000,0.01848743,0.03382365,0.00891747,0.79993088,0.48327431,0.32497486
-5.96398199,1.37500023,0.00137528,0.00000000,0.01919524,0.03509179,0.00892690,0.84873240,0.50928735,0.35586580
-5.95797899,1.47135274,0.00140823,0.00000000,0.02011806,0.03743495,0.00917059,0.90652952,0.54483907,0.38973063
-5.95197599,1.58380936,0.00146430,0.00000000,0.02126505,0.04093594,0.00966069,0.97367955,0.59045492,0.42671901
-5.94597299,1.71301728,0.00154454,0.00000000,0.02264336,0.04568637,0.01040925,1.05049937,0.64662689,0.46699037
-5.93996998,1.85957721,0.00164992,0.00000000,0.02425808,0.05178719,0.01142808,1.13726153,0.71380084,0.51071500
-5.93396698,2.02403341,0.00178123,0.00000000,0.02611200,0.05934880,0.01272844,1.23418731,0.79236071,0.55807375
-5.92796398,2.20685788,0.00193917,0.00000000,0.02820537,0.06849107,0.01432077,1.34143612,0.88260984,0.60925634
-5.92196098,2.40842869,0.00212420,0.00000000,0.03053562,0.07934296,0.01621424,1.45909159,0.98475017,0.66445794
-5.91595798,2.62900301,0.00233661,0.00000000,0.03309695,0.09204192,0.01841630,1.58714450,1.09886003,0.72387409
-5.90995498,2.86868574,0.00257642,0.00000000,0.03587996,0.10673308,0.02093221,1.72547335,1.22487180,0.78769408
-5.90395198,3.12739545,0.00284337,0.00000000,0.03887123,0.12356811,0.02376454,1.87382357,1.36255067,0.85609277
-5.89794897,3.40482944,0.00313687,0.00000000,0.04205296,0.14270388,0.02691262,2.03178668,1.51147596,0.92922144
-5.89194597,3.70043018,0.00345596,0.00000000,0.04540261,0.16430079,0.03037218,2.19878087,1.67102637,1.00719781
-5.88594297,4.01335563,0.00379929,0.00000000,0.04889275,0.18852082,0.03413491,2.37403462,1.84037066,1.09009588
-5.87993997,4.34245569,0.00416508,0.00000000,0.05249093,0.21552517,0.03818819,2.55657506,2.01846490,1.17793598
-5.87393697,4.68625712,0.00455114,0.00000000,0.05615983,0.24547153,0.04251492,2.74522238,2.20405720,1.27067556
-5.86793397,5.04295864,0.00495484,0.00000000,0.05985751,0.27851075,0.04709350,2.93859175,2.39570058,1.36820119
-5.86193097,5.41043763,0.00537317,0.00000000,0.06353800,0.31478303,0.05189788,3.13510337,2.59177403,1.47032222
-5.85592796,5.78626894,0.00580275,0.00000000,0.06715202,0.35441335,0.05689780,3.33300146,2.79051148,1.57676627
-5.84992496,6.16775584,0.00623989,0.00000000,0.07064794,0.39750627,0.06205921,3.53038172,2.99003773,1.68717681
-5.84392196,6.55197206,0.00668068,0.00000000,0.07397296,0.44413993,0.06734467,3.72522697,3.18841014,1.80111287
-5.83791896,6.93581343,0.00712104,0.00000000,0.07707443,0.49435939,0.07271400,3.91544965,3.38366415,1.91805077
-5.83191596,7.31605684,0.00755682,0.00000000,0.07990129,0.54816918,0.07812492,4.09893961,3.57386078,2.03738761
