energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.22921115,0.01325825,0.06956376,0.01382592,0.66907344,0.45863875,0.16306936
-5.99399700,1.26098525,0.01386368,0.07174836,0.01435763,0.68688925,0.47443757,0.16761804
-5.98799400,1.30178438,0.01458263,0.07400190,0.01509656,0.71032766,0.49464856,0.17308846
-5.98199100,1.35006872,0.01540104,0.07625586,0.01603171,0.73853977,0.51870778,0.17929425
-5.97598799,1.40442221,0.01630457,0.07844996,0.01715207,0.77073911,0.54608305,0.18606505
-5.96998499,1.46355579,0.01727867,0.08053337,0.01844646,0.80620149,0.57627125,0.19324764
-5.96398199,1.52630490,0.01830848,0.08246556,0.01990327,0.84426173,0.60879395,0.20070641
-5.95797899,1.59162186,0.01937887,0.08421674,0.02151015,0.88430805,0.64319184,0.20832288
-5.95197599,1.65856428,0.02047444,0.08576784,0.02325368,0.92577455,0.67901857,0.21599470
-5.94597299,1.72628048,0.02157949,0.08711004,0.02511913,0.96813263,0.71583447,0.22363404
-5.93996998,1.79399338,0.02267813,0.08824403,0.02709009,1.01088216,0.75320088,0.23116563
-5.93396698,1.86098421,0.02375438,0.08917882,0.02914839,1.05354308,0.79067552,0.23852455
-5.92796398,1.92657741,0.02479231,0.08993037,0.03127392,1.09564833,0.82780954,0.24565405
-5.92196098,1.99012825,0.02577632,0.09052006,0.03344474,1.13673884,0.86414665,0.25250353
-5.91595798,2.05101418,0.02669144,0.09097304,0.03563717,1.17636120,0.89922473,0.25902693
-5.90995498,2.10863123,0.02752364,0.09131667,0.03782619,1.21406845,0.93258008,0.26518156
-5.90395198,2.16239594,0.02826036,0.09157908,0.03998591,1.24942439,0.96375436,0.27092774
-5.89794897,2.21175337,0.02889088,0.09178795,0.04209015,1.28201136,0.99230421,0.27622903
-5.89194597,2.25619096,0.02940685,0.09196959,0.04411328,1.31144147,1.01781310,0.28105341
-5.88594297,2.29525804,0.02980278,0.09214840,0.04603105,1.33737070,1.03990512,0.28537513
-5.87993997,2.32858982,0.03007649,0.09234668,0.04782154,1.35951534,1.05825991,0.28917731
-5.87393697,2.35593472,0.03022950,0.09258485,0.04946616,1.37766990,1.07262825,0.29245500
-5.86793397,2.37718331,0.03026741,0.09288206,0.05095057,1.39172538,1.08284721,0.29521872
-5.86193097,2.39239710,0.03020009,0.09325700,0.05226560,1.40168682,1.08885425,0.29749798
-5.85592796,2.40183492,0.03004179,0.09372907,0.05340798,1.40768897,1.09069928,0.29934470
-5.84992496,2.40597512,0.02981111,0.09431957,0.05438094,1.41000871,1.08855398,0.30083623
-5.84392196,2.40553135,0.02953084,0.09505295,0.05519455,1.40907343,1.08271767,0.30207753
-5.83791896,2.40146039,0.02922754,0.09595797,0.05586585,1.40546418,1.07361919,0.30320251
-5.83191596,2.39496052,0.02893112,0.09706855,0.05641859,1.39991299,1.06181452,0.30437401
-5.82591296,2.38745955,0.02867415,0.09842440,0.05688278,1.39329396,1.04797993,0.30578257
-5.81990995,2.38059206,0.02849107,0.10007116,0.05729380,1.38660794,1.03290074,0.30764362
-5.81390695,2.37616594,0.02841729,0.10206008,0.05769136,1.38096105,1.01745603,0.31019321
-5.80790395,2.37611898,0.02848821,0.10444719,0.05811805,1.37753743,1.00259972,0.31368236
-5.80190095,2.38246677,0.02873816,0.10729193,0.05861775,1.37756728,0.98933874,0.31837009
-5.79589795,2.39724359,0.02919934,0.11065535,0.05923382,1.38229106,0.97870888,0.32451539
-5.78989495,2.42243859,0.02990071,0.11459782,0.06000728,1.39292129,0.97174950,0.33236849
-5.78389195,2.45992971,0.03086699,0.11917656,0.06097484,1.41060345,0.96947771,0.34216170
-5.77788894,2.51141807,0.03211769,0.12444284,0.06216710,1.43637742,0.97286304,0.35410017
-5.77188594,2.57836558,0.03366628,0.13043924,0.06360688,1.47114118,0.98280355,0.36835318
-5.76588294,2.66193846,0.03551946,0.13719703,0.06530771,1.51561813,1.00010395,0.38504611
-5.75987994,2.76295921,0.03767664,0.14473373,0.06727273,1.57032954,1.02545656,0.40425370
-5.75387694,2.88186906,0.04012957,0.15305119,0.06949390,1.63557308,1.05942541,0.42599478
-5.74787394,3.01870265,0.04286221,0.16213414,0.07195162,1.71140852,1.10243401,0.45022885
-5.74187094,3.17307591,0.04585081,0.17194944,0.07461483,1.79765096,1.15475669,0.47685464
-5.73586793,3.34418786,0.04906415,0.18244591,0.07744159,1.89387198,1.21651374,0.50571078
-5.72986493,3.53083589,0.05246413,0.19355502,0.08038007,1.99940838,1.28767000,0.53657859
-5.72386193,3.73144399,0.05600642,0.20519219,0.08336998,2.11337820,1.36803652,0.56918682
-5.71785893,3.94410241,0.05964138,0.21725874,0.08634441,2.23470315,1.45727515,0.60321824
-5.71185593,4.16661688,0.06331517,0.22964442,0.08923190,2.36213634,1.55490524,0.63831768
-5.70585293,4.39656508,0.06697092,0.24223024,0.09195882,2.49429409,1.66031214,0.67410123
