energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
4.40920460,0.28203546,0.01054060,0.04439699,0.10849139,0.02768331,0.00848917,0.02026705,0.00580064,0.11577718
4.41520760,0.24889848,0.00930948,0.03907787,0.09571838,0.02439274,0.00749712,0.01787523,0.00511699,0.10225004
4.42121061,0.21808017,0.00816315,0.03414924,0.08384361,0.02133911,0.00657360,0.01565265,0.00448176,0.08965631
4.42721361,0.18970750,0.00710659,0.02962807,0.07291526,0.01853382,0.00572255,0.01360813,0.00389737,0.07805009
4.43321661,0.16384242,0.00614237,0.02552100,0.06295643,0.01598182,0.00494597,0.01174581,0.00336495,0.06745899
4.43921961,0.14048864,0.00527086,0.02182548,0.05396778,0.01368232,0.00424411,0.01006562,0.00288448,0.05788676
4.44522261,0.11959927,0.00449053,0.01853111,0.04593052,0.01162962,0.00361573,0.00856388,0.00245491,0.04931634
4.45122561,0.10108530,0.00379825,0.01562106,0.03880970,0.00981395,0.00305828,0.00723391,0.00207434,0.04171327
4.45722861,0.08482412,0.00318963,0.01307347,0.03255751,0.00822231,0.00256821,0.00606664,0.00174021,0.03502909
4.46323162,0.07066793,0.00265930,0.01086281,0.02711652,0.00683936,0.00214119,0.00505121,0.00144943,0.02920481
4.46923462,0.05845167,0.00220122,0.00896117,0.02242272,0.00564819,0.00177235,0.00417555,0.00119858,0.02417412
4.47523762,0.04800018,0.00180897,0.00733937,0.01840832,0.00463100,0.00145652,0.00342693,0.00098403,0.01986632
4.48124062,0.03913452,0.00147594,0.00596793,0.01500416,0.00376975,0.00118837,0.00279233,0.00080209,0.01620894
4.48724362,0.03167733,0.00119557,0.00481792,0.01214173,0.00304664,0.00096263,0.00225892,0.00064910,0.01312992
4.49324662,0.02545705,0.00096151,0.00386159,0.00975486,0.00244457,0.00077417,0.00181429,0.00052152,0.01055942
4.49924962,0.02031136,0.00076772,0.00307287,0.00778095,0.00194740,0.00061814,0.00144672,0.00041601,0.00843117
4.50525263,0.01608943,0.00060858,0.00242769,0.00616192,0.00154021,0.00049001,0.00114534,0.00032947,0.00668353
4.51125563,0.01265359,0.00047897,0.00190420,0.00484474,0.00120942,0.00038565,0.00090023,0.00025905,0.00526010
4.51725863,0.00988002,0.00037425,0.00148287,0.00378178,0.00094285,0.00030133,0.00070250,0.00020222,0.00411010
4.52326163,0.00765901,0.00029033,0.00114647,0.00293085,0.00072977,0.00023376,0.00054427,0.00015673,0.00318845
4.52926463,0.00589466,0.00022361,0.00088003,0.00225508,0.00056078,0.00018004,0.00041864,0.00012060,0.00245572
4.53526763,0.00450418,0.00017098,0.00067066,0.00172267,0.00042784,0.00013767,0.00031971,0.00009213,0.00187779
4.54127064,0.00341699,0.00012980,0.00050743,0.00130651,0.00032407,0.00010452,0.00024240,0.00006988,0.00142556
4.54727364,0.00257361,0.00009784,0.00038117,0.00098377,0.00024370,0.00007878,0.00018247,0.00005262,0.00107447
4.55327664,0.00192448,0.00007321,0.00028427,0.00073544,0.00018195,0.00005895,0.00013636,0.00003934,0.00080403
4.55927964,0.00142874,0.00005439,0.00021049,0.00054585,0.00013487,0.00004379,0.00010118,0.00002920,0.00059734
4.56528264,0.00105309,0.00004012,0.00015473,0.00040222,0.00009926,0.00003230,0.00007453,0.00002152,0.00044059
4.57128564,0.00077064,0.00002938,0.00011293,0.00029426,0.00007252,0.00002365,0.00005451,0.00001574,0.00032264
4.57728864,0.00055989,0.00002136,0.00008183,0.00021373,0.00005261,0.00001720,0.00003958,0.00001143,0.00023458
4.58329165,0.00040386,0.00001542,0.00005887,0.00015413,0.00003789,0.00001241,0.00002854,0.00000825,0.00016932
4.58929465,0.00028922,0.00001105,0.00004205,0.00011035,0.00002709,0.00000890,0.00002042,0.00000590,0.00012134
4.59529765,0.00020563,0.00000786,0.00002982,0.00007844,0.00001923,0.00000633,0.00001451,0.00000420,0.00008633
4.60130065,0.00014515,0.00000555,0.00002099,0.00005535,0.00001356,0.00000447,0.00001024,0.00000296,0.00006098
4.60730365,0.00010173,0.00000389,0.00001467,0.00003878,0.00000949,0.00000314,0.00000717,0.00000208,0.00004277
4.61330665,0.00007078,0.00000271,0.00001018,0.00002698,0.00000659,0.00000218,0.00000499,0.00000144,0.00002978
4.61930965,0.00004890,0.00000187,0.00000701,0.00001863,0.00000455,0.00000151,0.00000344,0.00000100,0.00002058
4.62531266,0.00003353,0.00000129,0.00000480,0.00001277,0.00000311,0.00000104,0.00000236,0.00000068,0.00001413
4.63131566,0.00002283,0.00000088,0.00000326,0.00000870,0.00000212,0.00000071,0.00000161,0.00000047,0.00000963
4.63731866,0.00001544,0.00000059,0.00000220,0.00000588,0.00000143,0.00000048,0.00000109,0.00000031,0.00000651
4.64332166,0.00001036,0.00000040,0.00000147,0.00000394,0.00000096,0.00000032,0.00000073,0.00000021,0.00000437
4.64932466,0.00000690,0.00000027,0.00000098,0.00000263,0.00000064,0.00000021,0.00000048,0.00000014,0.00000292
4.65532766,0.00000457,0.00000018,0.00000064,0.00000174,0.00000042,0.00000014,0.00000032,0.00000009,0.00000193
4.66133067,0.00000300,0.00000012,0.00000042,0.00000114,0.00000028,0.00000009,0.00000021,0.00000006,0.00000127
4.66733367,0.00000196,0.00000008,0.00000027,0.00000074,0.00000018,0.00000006,0.00000014,0.00000004,0.00000083
4.67333667,0.00000127,0.00000005,0.00000018,0.00000048,0.00000012,0.00000004,0.00000009,0.00000003,0.00000054
4.67933967,0.00000081,0.00000003,0.00000011,0.00000031,0.00000007,0.00000003,0.00000006,0.00000002,0.00000035
4.68534267,0.00000052,0.00000002,0.00000007,0.00000020,0.00000005,0.00000002,0.00000004,0.00000001,0.00000022
4.69134567,0.00000033,0.00000001,0.00000005,0.00000013,0.00000003,0.00000001,0.00000002,0.00000001,0.00000014
4.69734867,0.00000021,0.00000001,0.00000003,0.00000008,0.00000002,0.00000001,0.00000001,0.00000000,0.00000009
4.70335168,0.00000013,0.00000001,0.00000002,0.00000005,0.00000001,0.00000000,0.00000001,0.00000000,0.00000005
4.70935468,0.00000008,0.00000000,0.00000001,0.00000003,0.00000001,0.00000000,0.00000001,0.00000000,0.00000003
4.71535768,0.00000005,0.00000000,0.00000001,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002
4.72136068,0.00000003,0.00000000,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001
4.72736368,0.00000002,0.00000000,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001
4.73336668,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.73936968,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.74537269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.75137569,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.75737869,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.76338169,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.76938469,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.77538769,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.78139070,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.78739370,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.79339670,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.79939970,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.80540270,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.81140570,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.81740870,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.82341171,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.82941471,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.83541771,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.84142071,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.84742371,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.85342671,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.85942971,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.86543272,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.87143572,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.87743872,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.88344172,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.88944472,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.89544772,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.90145073,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.90745373,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.91345673,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.91945973,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.92546273,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.93146573,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.93746873,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.94347174,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.94947474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.95547774,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
