energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,7.01087939,0.00834078,0.89717487,2.98560891,3.92116673,0.04012438,1.93796427
-5.99399700,6.97694886,0.00846264,0.85585020,2.93331073,3.88329224,0.04132263,1.96345163
-5.98799400,6.94554891,0.00860012,0.81501146,2.88477733,3.84550324,0.04249935,1.99021390
-5.98199100,6.91817012,0.00875595,0.77507469,2.84072167,3.80889251,0.04364390,2.01844225
-5.97598799,6.89610541,0.00893262,0.73640756,2.80172696,3.77443895,0.04474616,2.04829125
-5.96998499,6.88040287,0.00913224,0.69932339,2.76823021,3.74297514,0.04579682,2.07986650
-5.96398199,6.87182898,0.00935653,0.66407721,2.74051039,3.71516170,0.04678753,2.11321424
-5.95797899,6.87084388,0.00960665,0.63086394,2.71868157,3.69146964,0.04771116,2.14831349
-5.95197599,6.87758972,0.00988319,0.59981858,2.70269140,3.67217138,0.04856191,2.18507125
-5.94597299,6.89189300,0.01018611,0.57101822,2.69232513,3.65734077,0.04933554,2.22332132
-5.93996998,6.91328051,0.01051476,0.54448574,2.68721487,3.64686208,0.05002948,2.26282664
-5.93396698,6.94100857,0.01086785,0.52019488,2.68685428,3.64044732,0.05064292,2.30328557
-5.92796398,6.97410406,0.01124348,0.49807649,2.69061784,3.63766100,0.05117691,2.34434165
-5.92196098,7.01141541,0.01163928,0.47802555,2.69778440,3.63795107,0.05163441,2.38559653
-5.91595798,7.05167119,0.01205242,0.45990875,2.70756395,3.64068442,0.05202028,2.42662556
-5.90995498,7.09354334,0.01247973,0.44357230,2.71912675,3.64518498,0.05234129,2.46699521
-5.90395198,7.13571197,0.01291787,0.42884962,2.73163365,3.65077261,0.05260601,2.50628134
-5.89794897,7.17692828,0.01336337,0.41556875,2.74426629,3.65680054,0.05282473,2.54408739
-5.89194597,7.21607233,0.01381285,0.40355915,2.75625594,3.66268959,0.05300928,2.58006139
-5.88594297,7.25220262,0.01426307,0.39265765,2.76690966,3.66795715,0.05317281,2.61391059
-5.87993997,7.28459460,0.01471104,0.38271347,2.77563271,3.67223955,0.05332954,2.64541306
-5.87393697,7.31276608,0.01515414,0.37359216,2.78194597,3.67530666,0.05349439,2.67442503
-5.86793397,7.33648799,0.01559014,0.36517827,2.78549785,3.67706788,0.05368262,2.70088382
-5.86193097,7.35577998,0.01601724,0.35737694,2.78606993,3.67756944,0.05390937,2.72480565
-5.85592796,7.37089112,0.01643404,0.35011424,2.78357633,3.67698327,0.05418920,2.74627866
-5.84992496,7.38226679,0.01683952,0.34333641,2.77805691,3.67558821,0.05453554,2.76545127
-5.84392196,7.39050407,0.01723297,0.33700822,2.76966487,3.67374481,0.05496021,2.78251665
-5.83791896,7.39629824,0.01761388,0.33111046,2.75864950,3.67186549,0.05547287,2.79769418
-5.83191596,7.40038393,0.01798183,0.32563690,2.74533539,3.67038181,0.05608052,2.81120917
-5.82591296,7.40347471,0.01833637,0.32059085,2.73009928,3.66971101,0.05678711,2.82327215
-5.81990995,7.40620498,0.01867694,0.31598163,2.71334609,3.67022404,0.05759315,2.83405921
-5.81390695,7.40907806,0.01900268,0.31182106,2.69548562,3.67221686,0.05849550,2.84369472
-5.80790395,7.41242382,0.01931241,0.30812033,2.67691129,3.67588688,0.05948725,2.85223783
-5.80190095,7.41636863,0.01960456,0.30488734,2.65798219,3.68131602,0.06055774,2.85967370
-5.79589795,7.42081967,0.01987711,0.30212456,2.63900946,3.68846107,0.06169274,2.86591029
-5.78989495,7.42546450,0.02012765,0.29982774,2.62024754,3.69715209,0.06287484,2.87078102
-5.78389195,7.42978603,0.02035338,0.29798526,2.60189078,3.70709860,0.06408392,2.87405335
-5.77788894,7.43309167,0.02055126,0.29657825,2.58407513,3.71790296,0.06529780,2.87544278
-5.77188594,7.43455481,0.02071809,0.29558138,2.56688462,3.72908008,0.06649298,2.87463150
-5.76588294,7.43326592,0.02085068,0.29496420,2.55036174,3.74008190,0.06764552,2.87129046
-5.75987994,7.42828972,0.02094602,0.29469287,2.53452080,3.75032514,0.06873190,2.86510359
-5.75387694,7.41872490,0.02100144,0.29473223,2.51936291,3.75922044,0.06972993,2.85579245
-5.74787394,7.40376247,0.02101479,0.29504785,2.50489147,3.76620121,0.07061965,2.84313981
-5.74187094,7.38273924,0.02098459,0.29560807,2.49112658,3.77075049,0.07138409,2.82701053
-5.73586793,7.35518308,0.02091014,0.29638573,2.47811756,3.77242445,0.07200995,2.80736847
-5.72986493,7.32084749,0.02079164,0.29735957,2.46595221,3.77087129,0.07248818,2.78428824
-5.72386193,7.27973360,0.02063021,0.29851516,2.45476233,3.76584497,0.07281426,2.75796106
