energy_ev,total_up,Ru_p_up,Ru_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,5.35399599,2.39659274,2.13729226,1.26965396,0.01951090,2.19561874,0.00000000
-5.99399700,5.57657700,2.50711977,2.22403051,1.31977766,0.02042300,2.28969456,0.00000000
-5.98799400,5.78383587,2.61060563,2.30530056,1.36604775,0.02127808,2.37698673,0.00000000
-5.98199100,5.97397256,2.70592286,2.38060123,1.40808654,0.02206664,2.45660420,0.00000000
-5.97598799,6.14564403,2.79213302,2.44961469,1.44561343,0.02278038,2.52786100,0.00000000
-5.96998499,6.29797740,2.86850499,2.51220377,1.47844585,0.02341243,2.59028886,0.00000000
-5.96398199,6.43056467,2.93452592,2.56840145,1.50649653,0.02395739,2.64364118,0.00000000
-5.95797899,6.54343915,2.98990441,2.61839301,1.52976771,0.02441147,2.68788793,0.00000000
-5.95197599,6.63703473,3.03456554,2.66249151,1.54834236,0.02477242,2.72320161,0.00000000
-5.94597299,6.71213002,3.06863831,2.70110800,1.56237323,0.02503960,2.74993482,0.00000000
-5.93996998,6.76978021,3.09243584,2.73471784,1.57207022,0.02521386,2.76859038,0.00000000
-5.93396698,6.81124028,3.10642957,2.76382508,1.57768686,0.02529745,2.77978564,0.00000000
-5.92796398,6.83788347,3.11121879,2.78892657,1.57950663,0.02529393,2.78421253,0.00000000
-5.92196098,6.85111953,3.10749703,2.81047799,1.57782984,0.02520794,2.78259573,0.00000000
-5.91595798,6.85231691,3.09601713,2.82886355,1.57296167,0.02504513,2.77565100,0.00000000
-5.90995498,6.84273317,3.07755688,2.84437109,1.56520200,0.02481192,2.76404606,0.00000000
-5.90395198,6.82345721,3.05288683,2.85717403,1.55483730,0.02451535,2.74836615,0.00000000
-5.89794897,6.79536626,3.02274203,2.86732108,1.54213489,0.02416289,2.72908618,0.00000000
-5.89194597,6.75909963,2.98779889,2.87473443,1.52733960,0.02376231,2.70655100,0.00000000
-5.88594297,6.71505043,2.94865819,2.87921644,1.51067280,0.02332152,2.68096486,0.00000000
-5.87993997,6.66337506,2.90583479,2.88046443,1.49233342,0.02284841,2.65239062,0.00000000
-5.87393697,6.60401952,2.85975420,2.87809280,1.47250073,0.02235074,2.62075850,0.00000000
-5.86793397,6.53676029,2.81075568,2.87166096,1.45133834,0.02183606,2.58588392,0.00000000
-5.86193097,6.46125701,2.75910119,2.86070577,1.42899894,0.02131158,2.54749295,0.00000000
-5.85592796,6.37711332,2.70498923,2.84477627,1.40562929,0.02078409,2.50525403,0.00000000
-5.84992496,6.28394176,2.64857214,2.82346890,1.38137489,0.02025990,2.45881357,0.00000000
-5.84392196,6.18142866,2.58997563,2.79646112,1.35638405,0.01974477,2.40783351,0.00000000
-5.83791896,6.06939498,2.52931886,2.76354151,1.33081087,0.01924381,2.35202822,0.00000000
-5.83191596,5.94784926,2.46673371,2.72463463,1.30481701,0.01876151,2.29119871,0.00000000
-5.82591296,5.81702974,2.40238201,2.67981938,1.27857215,0.01830161,2.22526197,0.00000000
-5.81990995,5.67743307,2.33646952,2.62933971,1.25225308,0.01786712,2.15427368,0.00000000
-5.81390695,5.52982830,2.26925598,2.57360730,1.22604161,0.01746028,2.07844328,0.00000000
