energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.83441135,0.05405397,0.35706352,1.31028782,1.22130077,0.01020524,0.94091186,0.57004165,0.22283066
-5.99399700,2.84265073,0.05685247,0.34895858,1.30008629,1.21538826,0.01029991,0.95146693,0.57399198,0.23012892
-5.98799400,2.84769961,0.05951217,0.34026833,1.28826718,1.20849983,0.01036584,0.96071895,0.57708515,0.23709748
-5.98199100,2.84910017,0.06199464,0.33101229,1.27478843,1.20050279,0.01040169,0.96845302,0.57924383,0.24365345
-5.97598799,2.84649073,0.06426351,0.32122528,1.25963107,1.19131441,0.01040658,0.97448328,0.58041001,0.24972474
-5.96998499,2.83962404,0.06628539,0.31095803,1.24280763,1.18090817,0.01038010,0.97866031,0.58054811,0.25525247
-5.96398199,2.82838168,0.06803071,0.30027691,1.22436934,1.16931796,0.01032240,0.98087740,0.57964739,0.26019293
-5.95797899,2.81278409,0.06947441,0.28926301,1.20441183,1.15664036,0.01023414,0.98107553,0.57772346,0.26451902
-5.95197599,2.79299636,0.07059666,0.27801044,1.18307889,1.14303494,0.01011651,0.97924685,0.57481895,0.26822119
-5.94597299,2.76932933,0.07138333,0.26662404,1.16056431,1.12872282,0.00997123,0.97543664,0.57100326,0.27130771
-5.93996998,2.74223653,0.07182643,0.25521671,1.13711163,1.11398359,0.00980050,0.96974359,0.56637141,0.27380441
-5.93396698,2.71230700,0.07192425,0.24390634,1.11301183,1.09915079,0.00960700,0.96231854,0.56104215,0.27575380
-5.92796398,2.68025427,0.07168148,0.23281267,1.08859917,1.08460608,0.00939380,0.95336163,0.55515525,0.27721371
-5.92196098,2.64690208,0.07110904,0.22205415,1.06424538,1.07077240,0.00916437,0.94311804,0.54886831,0.27825536
-5.91595798,2.61316702,0.07022377,0.21174496,1.04035233,1.05810594,0.00892245,0.93187247,0.54235300,0.27896111
-5.90995498,2.58003864,0.06904799,0.20199225,1.01734363,1.04708741,0.00867208,0.91994243,0.53579091,0.27942181
