energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.97750752,0.03711623,0.00000000,0.02365638,1.23203917,1.24523288,0.40819069
-5.99399700,1.94217103,0.03726764,0.00000000,0.02303068,1.21417030,1.22634709,0.39858370
-5.98799400,1.91081381,0.03746329,0.00000000,0.02246326,1.19853404,1.20886824,0.38998841
-5.98199100,1.88332833,0.03769751,0.00000000,0.02195176,1.18501797,1.19269341,0.38240717
-5.97598799,1.85940346,0.03796154,0.00000000,0.02149148,1.17338702,1.17759456,0.37580268
-5.96998499,1.83855242,0.03824405,0.00000000,0.02107576,1.16330137,1.16323613,0.37010352
-5.96398199,1.82014775,0.03853181,0.00000000,0.02069646,1.15433885,1.14919753,0.36521100
-5.95797899,1.80346125,0.03881042,0.00000000,0.02034448,1.14602024,1.13499920,0.36100670
-5.95197599,1.78770683,0.03906511,0.00000000,0.02001023,1.13783650,1.12013079,0.35736045
-5.94597299,1.77208389,0.03928152,0.00000000,0.01968423,1.12927611,1.10408007,0.35413829
-5.93996998,1.75581910,0.03944645,0.00000000,0.01935755,1.11985147,1.08636083,0.35120991
-5.93396698,1.73820454,0.03954851,0.00000000,0.01902224,1.10912284,1.06653862,0.34845542
-5.92796398,1.71863049,0.03957871,0.00000000,0.01867174,1.09671889,1.04425306,0.34577099
-5.92196098,1.69661156,0.03953086,0.00000000,0.01830115,1.08235298,1.01923567,0.34307324
-5.91595798,1.67180518,0.03940186,0.00000000,0.01790743,1.06583448,0.99132266,0.34030219
-5.90995498,1.64402216,0.03919180,0.00000000,0.01748952,1.04707512,0.96046223,0.33742293
-5.90395198,1.61322935,0.03890395,0.00000000,0.01704834,1.02609011,0.92671632,0.33442574
-5.89794897,1.57954476,0.03854455,0.00000000,0.01658674,1.00299455,0.89025714,0.33132515
-5.89194597,1.54322621,0.03812257,0.00000000,0.01610935,0.97799557,0.85135881,0.32815787
-5.88594297,1.50465448,0.03764929,0.00000000,0.01562236,0.95138096,0.81038499,0.32497991
-5.87993997,1.46431253,0.03713787,0.00000000,0.01513330,0.92350515,0.76777323,0.32186321
-5.87393697,1.42276193,0.03660288,0.00000000,0.01465074,0.89477347,0.72401710,0.31889195
-5.86793397,1.38061831,0.03605977,0.00000000,0.01418395,0.86562560,0.67964714,0.31615871
-5.86193097,1.33852687,0.03552446,0.00000000,0.01374262,0.83651909,0.63521140,0.31376093
-5.85592796,1.29713919,0.03501285,0.00000000,0.01333657,0.80791368,0.59125679,0.31179747
-5.84992496,1.25709236,0.03454050,0.00000000,0.01297538,0.78025704,0.54831175,0.31036569
-5.84392196,1.21899094,0.03412225,0.00000000,0.01266819,0.75397234,0.50687100,0.30955888
-5.83791896,1.18339216,0.03377200,0.00000000,0.01242341,0.72944794,0.46738284,0.30946412
-5.83191596,1.15079454,0.03350248,0.00000000,0.01224853,0.70702932,0.43023919,0.31016048
-5.82591296,1.12162965,0.03332513,0.00000000,0.01214988,0.68701311,0.39576867,0.31171758
-5.81990995,1.09625698,0.03324994,0.00000000,0.01213250,0.66964316,0.36423244,0.31419424
-5.81390695,1.07496116,0.03328541,0.00000000,0.01219998,0.65510836,0.33582284,0.31763735
-5.80790395,1.05795149,0.03343843,0.00000000,0.01235437,0.64354194,0.31066453,0.32208073
-5.80190095,1.04536295,0.03371429,0.00000000,0.01259605,0.63502205,0.28881769,0.32754404
-5.79589795,1.03725865,0.03411658,0.00000000,0.01292372,0.62957319,0.27028309,0.33403174
-5.78989495,1.03363309,0.03464718,0.00000000,0.01333432,0.62716860,0.25500839,0.34153212
-5.78389195,1.03441647,0.03530629,0.00000000,0.01382307,0.62773318,0.24289564,0.35001646
-5.77788894,1.03947951,0.03609236,0.00000000,0.01438349,0.63114716,0.23380930,0.35943855
-5.77188594,1.04863931,0.03700223,0.00000000,0.01500749,0.63725024,0.22758465,0.36973464
-5.76588294,1.06166585,0.03803114,0.00000000,0.01568547,0.64584655,0.22403624,0.38082386
-5.75987994,1.07828968,0.03917298,0.00000000,0.01640649,0.65671022,0.22296623,0.39260943
-5.75387694,1.09821050,0.04042042,0.00000000,0.01715853,0.66959172,0.22417226,0.40498054
-5.74787394,1.12110689,0.04176527,0.00000000,0.01792869,0.68422488,0.22745480,0.41781512
-5.74187094,1.14664694,0.04319876,0.00000000,0.01870351,0.70033466,0.23262377,0.43098322
-5.73586793,1.17449949,0.04471198,0.00000000,0.01946929,0.71764528,0.23950430,0.44435121
-5.72986493,1.20434574,0.04629626,0.00000000,0.02021249,0.73588867,0.24794140,0.45778632
-5.72386193,1.23589040,0.04794358,0.00000000,0.02091999,0.75481271,0.25780356,0.47116150
-5.71785893,1.26887209,0.04964697,0.00000000,0.02157953,0.77418907,0.26898507,0.48436021
-5.71185593,1.30307188,0.05140078,0.00000000,0.02217999,0.79382001,0.28140690,0.49728089
-5.70585293,1.33831956,0.05320093,0.00000000,0.02271168,0.81354376,0.29501624,0.50984081
-5.69984992,1.37449680,0.05504492,0.00000000,0.02316659,0.83323820,0.30978447,0.52197893
-5.69384692,1.41153683,0.05693181,0.00000000,0.02353856,0.85282221,0.32570374,0.53365762
-5.68784392,1.44942012,0.05886192,0.00000000,0.02382336,0.87225477,0.34278209,0.54486304
-5.68184092,1.48816618,0.06083642,0.00000000,0.02401873,0.89153153,0.36103743,0.55560408
-5.67583792,1.52782161,0.06285672,0.00000000,0.02412432,0.91067898,0.38049039,0.56590992
-5.66983492,1.56844485,0.06492378,0.00000000,0.02414155,0.92974647,0.40115655,0.57582624
-5.66383192,1.61008846,0.06703724,0.00000000,0.02407346,0.94879649,0.42303815,0.58541041
-5.65782891,1.65278001,0.06919456,0.00000000,0.02392444,0.96789370,0.44611600,0.59472579
-5.65182591,1.69650260,0.07139017,0.00000000,0.02369994,0.98709344,0.47034167,0.60383564
-5.64582291,1.74117651,0.07361470,0.00000000,0.02340624,1.00643043,0.49563069,0.61279690
-5.63981991,1.78664310,0.07585427,0.00000000,0.02305008,1.02590826,0.52185703,0.62165436
