energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.43592162,0.71357075,0.24490369,0.07882507,0.03712462,0.11053841,1.38760471,0.29103671,4.64230087
-5.99399700,7.44045150,0.75793709,0.25162803,0.07581685,0.03787311,0.11557646,1.43346150,0.29577750,4.57473623
-5.98799400,7.46839325,0.80548926,0.26008052,0.07298623,0.03883242,0.12082493,1.48484994,0.30207629,4.51972418
-5.98199100,7.51895444,0.85585543,0.27023197,0.07038027,0.03999482,0.12624408,1.54140953,0.30988286,4.47700374
-5.97598799,7.59086046,0.90859596,0.28203300,0.06804120,0.04134969,0.13178599,1.60265652,0.31911927,4.44606805
-5.96998499,7.68235333,0.96320934,0.29541423,0.06600543,0.04288346,0.13739511,1.66798925,0.32968000,4.42615734
-5.96398199,7.79120930,1.01913982,0.31028688,0.06430276,0.04457953,0.14300937,1.73669751,0.34143291,4.41626288
-5.95797899,7.91477473,1.07578677,0.32654396,0.06295565,0.04641834,0.14856149,1.80797558,0.35422100,4.41514174
-5.95197599,8.05001876,1.13251546,0.34406193,0.06197872,0.04837760,0.15398068,1.88093870,0.36786487,4.42134154
-5.94597299,8.19360059,1.18866881,0.36270265,0.06137843,0.05043261,0.15919462,1.95464221,0.38216597,4.43323393
-5.93996998,8.34194837,1.24357985,0.38231577,0.06115298,0.05255663,0.16413152,2.02810277,0.39691031,4.44905515
-5.93396698,8.49134639,1.29658444,0.40274110,0.06129228,0.05472147,0.16872232,2.10032080,0.41187275,4.46695191
-5.92796398,8.63802649,1.34703378,0.42381105,0.06177830,0.05689798,0.17290288,2.17030310,0.42682155,4.48503031
-5.92196098,8.77826020,1.39430648,0.44535293,0.06258541,0.05905676,0.17661596,2.23708484,0.44152302,4.50140591
-5.91595798,8.90844747,1.43781965,0.46719090,0.06368108,0.06116871,0.17981300,2.29975014,0.45574623,4.51425262
-5.90995498,9.02519871,1.47703888,0.48914761,0.06502660,0.06320566,0.18245559,2.35745016,0.46926746,4.52184869
-5.90395198,9.12540727,1.51148670,0.51104529,0.06657805,0.06514092,0.18451643,2.40941842,0.48187433,4.52261803
-5.89794897,9.20630989,1.54074965,0.53270647,0.06828737,0.06694977,0.18597997,2.45498269,0.49336949,4.51516551
-5.89194597,9.26553371,1.56448358,0.55395420,0.07010348,0.06860983,0.18684237,2.49357330,0.50357370,4.49830536
-5.88594297,9.30112921,1.58241747,0.57461193,0.07197364,0.07010136,0.18711115,2.52472783,0.51232836,4.47108199
-5.87993997,9.31158898,1.59435562,0.59450315,0.07384464,0.07140741,0.18680420,2.54809244,0.51949736,4.43278313
-5.87393697,9.29585318,1.60017851,0.61345105,0.07566427,0.07251394,0.18594853,2.56342008,0.52496835,4.38294547
-5.86793397,9.25330321,1.59984239,0.63127820,0.07738255,0.07340975,0.18457856,2.57056628,0.52865341,4.32135326
-5.86193097,9.18374524,1.59337786,0.64780664,0.07895308,0.07408644,0.18273427,2.56948299,0.53048921,4.24803065
-5.85592796,9.08738584,1.58088750,0.66285842,0.08033418,0.07453822,0.18045918,2.56021124,0.53043677,4.16322870
-5.84992496,8.96480189,1.56254285,0.67625683,0.08149007,0.07476175,0.17779838,2.54287322,0.52848089,4.06740805
-5.84392196,8.81690688,1.53858069,0.68782834,0.08239170,0.07475592,0.17479658,2.51766438,0.52462929,3.96121831
-5.83791896,8.64491539,1.50929888,0.69740539,0.08301754,0.07452172,0.17149648,2.48484609,0.51891164,3.84547508
-5.83191596,8.45030748,1.47505167,0.70482990,0.08335411,0.07406199,0.16793739,2.44473908,0.51137844,3.72113550
-5.82591296,8.23479379,1.43624450,0.70995750,0.08339618,0.07338138,0.16415422,2.39771797,0.50209987,3.58927318
-5.81990995,8.00028219,1.39332826,0.71266221,0.08314684,0.07248618,0.16017688,2.34420683,0.49116453,3.45105284
-5.81390695,7.74884617,1.34679303,0.71284149,0.08261720,0.07138434,0.15603016,2.28467570,0.47867820,3.30770533
-5.80790395,7.48269469,1.29716111,0.71042121,0.08182583,0.07008538,0.15173393,2.21963778,0.46476246,3.16050320
-5.80190095,7.20414325,1.24497944,0.70536045,0.08079793,0.06860042,0.14730381,2.14964694,0.44955324,3.01073711
-5.79589795,6.91558553,1.19081138,0.69765567,0.07956435,0.06694219,0.14275208,2.07529524,0.43319921,2.85969304
-5.78989495,6.61946511,1.13522782,0.68734406,0.07816026,0.06512499,0.13808888,1.99721006,0.41586002,2.70863070
-5.78389195,6.31824681,1.07879796,0.67450582,0.07662378,0.06316466,0.13332358,1.91605052,0.39770428,2.55876300
-5.77788894,6.01438754,1.02207964,0.65926526,0.07499448,0.06107852,0.12846614,1.83250295,0.37890742,2.41123695
-5.77188594,5.71030657,0.96560973,0.64179044,0.07331186,0.05888519,0.12352855,1.74727539,0.35964931,2.26711610
-5.76588294,5.40835583,0.90989481,0.62229157,0.07161381,0.05660448,0.11852612,1.66109099,0.34011174,2.12736495
-5.75987994,5.11079085,0.85540229,0.60101804,0.06993528,0.05425707,0.11347863,1.57468072,0.32047580,1.99283556
-5.75387694,4.81974335,0.80255268,0.57825440,0.06830704,0.05186429,0.10841125,1.48877536,0.30091929,1.86425692
-5.74787394,4.53719677,0.75171296,0.55431536,0.06675472,0.04944776,0.10335528,1.40409745,0.28161421,1.74222728
-5.74187094,4.26496577,0.70319171,0.52954011,0.06529808,0.04702902,0.09834854,1.32135346,0.26272441,1.62720999
-5.73586793,4.00468122,0.65723594,0.50428638,0.06395072,0.04462926,0.09343555,1.24122667,0.24440354,1.51953302
-5.72986493,3.75778132,0.61403008,0.47892432,0.06271998,0.04226888,0.08866755,1.16437124,0.22679343,1.41939233
-5.72386193,3.52550983,0.57369697,0.45383068,0.06160728,0.03996727,0.08410214,1.09140771,0.21002284,1.32685911
-5.71785893,3.30892158,0.53630097,0.42938344,0.06060878,0.03774247,0.07980287,1.02292027,0.19420678,1.24189068
-5.71185593,3.10889496,0.50185298,0.40595709,0.05971628,0.03561104,0.07583859,0.95945579,0.17944634,1.16434467
-5.70585293,2.92615080,0.47031716,0.38391859,0.05891841,0.03358786,0.07228269,0.90152456,0.16582895,1.09399599
-5.69984992,2.76127630,0.44161894,0.36362420,0.05820195,0.03168608,0.06921221,0.84960247,0.15342921,1.03055571
-5.69384692,2.61475230,0.41565402,0.34541694,0.05755330,0.02991710,0.06670688,0.80413423,0.14230996,0.97369114
-5.68784392,2.48698184,0.39229780,0.32962466,0.05695987,0.02829061,0.06484794,0.76553700,0.13252373,0.92304603
-5.68184092,2.37831773,0.37141476,0.31655842,0.05641150,0.02681465,0.06371697,0.73420383,0.12411419,0.87825997
-5.67583792,2.28908669,0.35286730,0.30651101,0.05590164,0.02549572,0.06339448,0.71050625,0.11711777,0.83898597
-5.66983492,2.21960780,0.33652371,0.29975530,0.05542835,0.02433890,0.06395840,0.69479515,0.11156493,0.80490530
-5.66383192,2.17020326,0.32226464,0.29654212,0.05499499,0.02334790,0.06548232,0.68739950,0.10748130,0.77573899
-5.65782891,2.14119978,0.30998797,0.29709747,0.05461054,0.02252518,0.06803363,0.68862223,0.10488837,0.75125518
-5.65182591,2.13291968,0.29961182,0.30161884,0.05428960,0.02187197,0.07167139,0.69873312,0.10380369,0.73127221
