energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,2.58837136,-2.58837143,0.00407110,-0.00407110,0.60715792,-0.60715796,0.85471279,-0.85471281,1.78955832,-1.78955838,0.63197761,-0.63197759,0.00000000,-0.00000000,0.35213601,-0.35213600,0.08196086,-0.08196086
-5.99399700,2.62189724,-2.62189731,0.00363017,-0.00363016,0.62813493,-0.62813496,0.86558112,-0.86558113,1.82646683,-1.82646689,0.62156549,-0.62156548,0.00000000,-0.00000000,0.35026223,-0.35026223,0.08020830,-0.08020830
-5.98799400,2.65549670,-2.65549676,0.00327649,-0.00327649,0.64751834,-0.64751837,0.87483581,-0.87483582,1.86115736,-1.86115742,0.61365253,-0.61365252,0.00000000,-0.00000000,0.34953772,-0.34953772,0.07885178,-0.07885178
-5.98199100,2.68807467,-2.68807473,0.00300559,-0.00300559,0.66493837,-0.66493839,0.88219843,-0.88219844,1.89284228,-1.89284233,0.60810559,-0.60810559,0.00000000,-0.00000000,0.34989160,-0.34989161,0.07786999,-0.07786999
-5.97598799,2.71852142,-2.71852147,0.00281326,-0.00281326,0.68004948,-0.68004950,0.88744436,-0.88744436,1.92073169,-1.92073173,0.60475535,-0.60475535,0.00000000,-0.00000000,0.35123652,-0.35123652,0.07723582,-0.07723582
-5.96998499,2.74574375,-2.74574379,0.00269564,-0.00269564,0.69254056,-0.69254058,0.89040793,-0.89040793,1.94405825,-1.94405829,0.60339962,-0.60339962,0.00000000,-0.00000000,0.35346905,-0.35346906,0.07691670,-0.07691670
-5.96398199,2.76869449,-2.76869453,0.00264928,-0.00264928,0.70214386,-0.70214388,0.89098526,-0.89098526,1.96210107,-1.96210109,0.60380714,-0.60380714,0.00000000,-0.00000000,0.35647048,-0.35647049,0.07687511,-0.07687511
-5.95797899,2.78639944,-2.78639947,0.00267107,-0.00267107,0.70864250,-0.70864251,0.88913438,-0.88913438,1.97420776,-1.97420778,0.60572160,-0.60572161,0.00000000,-0.00000000,0.36010785,-0.36010786,0.07706911,-0.07706911
-5.95197599,2.79798093,-2.79798095,0.00275821,-0.00275821,0.71187609,-0.71187610,0.88487300,-0.88487299,1.97981409,-1.97981410,0.60886610,-0.60886611,0.00000000,-0.00000000,0.36423549,-0.36423550,0.07745305,-0.07745305
-5.94597299,2.80267756,-2.80267757,0.00290810,-0.00290810,0.71174452,-0.71174452,0.87827386,-0.87827385,1.97846037,-1.97846036,0.61294784,-0.61294784,0.00000000,-0.00000000,0.36869693,-0.36869694,0.07797837,-0.07797837
-5.93996998,2.79985959,-2.79985959,0.00311819,-0.00311819,0.70820968,-0.70820967,0.86945813,-0.86945811,1.96980433,-1.96980431,0.61766314,-0.61766315,0.00000000,-0.00000000,0.37332729,-0.37332730,0.07859451,-0.07859451
