energy_ev,total_up,Hg_p_up,Hg_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,2.25193612,0.79037776,0.21824918,0.29011243,0.00834190,1.89837919,0.00000000
-5.99399700,2.30289159,0.80599287,0.22155848,0.29023926,0.00818210,1.96150243,0.00000000
-5.98799400,2.35362653,0.82598378,0.22505095,0.29305749,0.00807531,2.01788484,0.00000000
-5.98199100,2.40214418,0.84956533,0.22852406,0.29823631,0.00801345,2.06602958,0.00000000
-5.97598799,2.44655696,0.87590088,0.23178650,0.30541613,0.00798822,2.10461984,0.00000000
-5.96998499,2.48513675,0.90412036,0.23466319,0.31421566,0.00799141,2.13255869,0.00000000
-5.96398199,2.51635787,0.93333811,0.23699959,0.32423915,0.00801514,2.14900082,0.00000000
-5.95797899,2.53893189,0.96267034,0.23866517,0.33508361,0.00805203,2.15337489,0.00000000
-5.95197599,2.55183335,0.99125215,0.23955601,0.34634610,0.00809541,2.14539602,0.00000000
-5.94597299,2.55431619,1.01825392,0.23959653,0.35763100,0.00813944,2.12506792,0.00000000
-5.93996998,2.54592113,1.04289705,0.23874026,0.36855717,0.00817925,2.09267515,0.00000000
-5.93396698,2.52647428,1.06446894,0.23696978,0.37876517,0.00821098,2.04876615,0.00000000
-5.92796398,2.49607794,1.08233689,0.23429584,0.38792406,0.00823189,1.99412812,0.00000000
-5.92196098,2.45509454,1.09596088,0.23075581,0.39573807,0.00824033,1.92975517,0.00000000
-5.91595798,2.40412478,1.10490486,0.22641155,0.40195261,0.00823575,1.85681155,0.00000000
-5.90995498,2.34398131,1.10884617,0.22134671,0.40635975,0.00821868,1.77659146,0.00000000
-5.90395198,2.27565912,1.10758295,0.21566372,0.40880271,0.00819068,1.69047754,0.00000000
-5.89794897,2.20030381,1.10103892,0.20948049,0.40917935,0.00815424,1.59989952,0.00000000
-5.89194597,2.11917877,1.08926550,0.20292696,0.40744439,0.00811268,1.50629480,0.00000000
