energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.77369073,0.13433836,0.00384892,0.00667135,1.19028274,0.82029835,0.52524285
-5.99399700,1.68408755,0.12741191,0.00365444,0.00677289,1.13370841,0.77433343,0.50252067
-5.98799400,1.59458379,0.12053647,0.00345633,0.00682690,1.07663136,0.72825276,0.48003776
-5.98199100,1.50646717,0.11379496,0.00325741,0.00683228,1.02008473,0.68262507,0.45821029
-5.97598799,1.42100765,0.10727039,0.00306047,0.00678900,0.96508300,0.63801378,0.43745195
-5.96998499,1.33943528,0.10104438,0.00286816,0.00669805,0.91260376,0.59496705,0.41816713
-5.96398199,1.26292025,0.09519564,0.00268300,0.00656149,0.86357166,0.55400904,0.40074465
-5.95797899,1.19255567,0.08979869,0.00250729,0.00638228,0.81884494,0.51563263,0.38555201
-5.95197599,1.12934323,0.08492263,0.00234309,0.00616426,0.77920457,0.48029381,0.37293041
-5.94597299,1.07418193,0.08063011,0.00219221,0.00591195,0.74534600,0.44840771,0.36319031
-5.93996998,1.02785977,0.07697646,0.00205616,0.00563045,0.71787345,0.42034633,0.35660773
-5.93396698,0.99104835,0.07400897,0.00193616,0.00532524,0.69729651,0.39643787,0.35342123
-5.92796398,0.96430012,0.07176641,0.00183315,0.00500204,0.68402890,0.37696739,0.35382958
-5.92196098,0.94804821,0.07027867,0.00174777,0.00466659,0.67838921,0.36217873,0.35799004
-5.91595798,0.94260840,0.06956658,0.00168041,0.00432453,0.68060321,0.35227727,0.36601746
-5.90995498,0.94818321,0.06964194,0.00163119,0.00398123,0.69080783,0.34743349,0.37798404
-5.90395198,0.96486772,0.07050765,0.00160003,0.00364167,0.70905638,0.34778678,0.39391992
-5.89794897,0.99265704,0.07215806,0.00158664,0.00331033,0.73532492,0.35344952,0.41381455
-5.89194597,1.03145513,0.07457940,0.00159062,0.00299111,0.76951968,0.36451094,0.43761888
-5.88594297,1.08108465,0.07775046,0.00161141,0.00268729,0.81148528,0.38104072,0.46524839
-5.87993997,1.14129775,0.08164329,0.00164841,0.00240149,0.86101353,0.40309194,0.49658688
-5.87393697,1.21178724,0.08622402,0.00170097,0.00213570,0.91785267,0.43070336,0.53149090
-5.86793397,1.29219785,0.09145386,0.00176845,0.00189126,0.98171660,0.46390073,0.56979473
-5.86193097,1.38213710,0.09728998,0.00185023,0.00166894,1.05229388,0.50269705,0.61131560
-5.85592796,1.48118520,0.10368654,0.00194575,0.00146900,1.12925602,0.54709165,0.65585909
-5.84992496,1.58890354,0.11059557,0.00205456,0.00129123,1.21226464,0.59706803,0.70322408
-5.84392196,1.70484104,0.11796784,0.00217626,0.00113507,1.30097706,0.65259046,0.75320731
-5.83791896,1.82853808,0.12575357,0.00231059,0.00099965,1.39504990,0.71359927,0.80560694
-5.83191596,1.95952733,0.13390292,0.00245734,0.00088389,1.49414025,0.78000503,0.86022495
-5.82591296,2.09733140,0.14236636,0.00261642,0.00078658,1.59790428,0.85168173,0.91686807
-5.81990995,2.24145721,0.15109472,0.00278777,0.00070645,1.70599308,0.92845921,0.97534716
-5.81390695,2.39138703,0.16003908,0.00297135,0.00064220,1.81804576,1.01011516,1.03547486
-5.80790395,2.54656686,0.16915039,0.00316712,0.00059264,1.93368016,1.09636710,1.09706170
-5.80190095,2.70639262,0.17837888,0.00337498,0.00055662,2.05248161,1.18686493,1.15991080
-5.79589795,2.87019517,0.18767343,0.00359473,0.00053318,2.17399043,1.28118434,1.22381143
-5.78989495,3.03722537,0.19698068,0.00382603,0.00052149,2.29768912,1.37882203,1.28853207
-5.78389195,3.20664036,0.20624432,0.00406837,0.00052094,2.42299015,1.47919295,1.35381334
-5.77788894,3.37749277,0.21540436,0.00432103,0.00053108,2.54922575,1.58163048,1.41936159
-5.77188594,3.54872398,0.22439658,0.00458304,0.00055172,2.67564057,1.68538976,1.48484370
-5.76588294,3.71916302,0.23315232,0.00485324,0.00058285,2.80138857,1.78965472,1.54988383
-5.75987994,3.88753208,0.24159852,0.00513019,0.00062469,2.92553493,1.89354900,1.61406270
-5.75387694,4.05245947,0.24965820,0.00541227,0.00067764,3.04706381,1.99615075,1.67691975
-5.74787394,4.21250031,0.25725141,0.00569769,0.00074234,3.16489227,2.09651115,1.73795866
-5.74187094,4.36616489,0.26429656,0.00598453,0.00081957,3.27789036,2.19367614,1.79665608
-5.73586793,4.51195390,0.27071223,0.00627079,0.00091031,3.38490707,2.28671077,1.85247365
-5.72986493,4.64839932,0.27641929,0.00655451,0.00101565,3.48480108,2.37472518,1.90487275
-5.72386193,4.77410922,0.28134335,0.00683379,0.00113682,3.57647523,2.45690098,1.95333133
-5.71785893,4.88781419,0.28541732,0.00710686,0.00127513,3.65891294,2.53251693,1.99736216
-5.71185593,4.98841299,0.28858401,0.00737219,0.00143192,3.73121470,2.60097244,2.03653126
-5.70585293,5.07501462,0.29079867,0.00762851,0.00160856,3.79263261,2.66180749,2.07047550
-5.69984992,5.14697428,0.29203120,0.00787488,0.00180636,3.84260073,2.71471782,2.09891833
-5.69384692,5.20392071,0.29226796,0.00811065,0.00202652,3.88075943,2.75956422,2.12168240
-5.68784392,5.24577281,0.29151307,0.00833555,0.00227012,3.90697190,2.79637510,2.13869818
-5.68184092,5.27274428,0.28978908,0.00854959,0.00253800,3.92133158,2.82534196,2.15000798
-5.67583792,5.28533527,0.28713698,0.00875306,0.00283075,3.92415981,2.84680767,2.15576476
-5.66983492,5.28431126,0.28361544,0.00894647,0.00314866,3.91599331,2.86124790,2.15622571
-5.66383192,5.27066996,0.27929942,0.00913044,0.00349163,3.89756223,2.86924667,2.15174083
-5.65782891,5.24559794,0.27427815,0.00930566,0.00385918,3.86975966,2.87146712,2.14273704
-5.65182591,5.21041933,0.26865259,0.00947275,0.00425040,3.83360430,2.86861912,2.12969882
-5.64582291,5.16653960,0.26253246,0.00963221,0.00466394,3.79019852,2.86142563,2.11314633
-5.63981991,5.11538764,0.25603311,0.00978431,0.00509800,3.74068411,2.85058963,2.09361261
-5.63381691,5.05835967,0.24927223,0.00992905,0.00555036,3.68619843,2.83676368,2.07162101
-5.62781391,4.99676825,0.24236668,0.01006610,0.00601842,3.62783350,2.82052393,2.04766439
-5.62181091,4.93179934,0.23542962,0.01019480,0.00649920,3.56660040,2.80235005,2.02218740
-5.61580790,4.86447991,0.22856785,0.01031415,0.00698943,3.50340087,2.78261235,1.99557273
-5.60980490,4.79565757,0.22187973,0.01042285,0.00748562,3.43900767,2.76156676,1.96813227
-5.60380190,4.72599318,0.21545358,0.01051938,0.00798408,3.37405437,2.73935779,1.94010347
-5.59779890,4.65596617,0.20936652,0.01060208,0.00848106,3.30903481,2.71602919,1.91165105
-5.59179590,4.58589155,0.20368398,0.01066927,0.00897278,3.24431158,2.69154137,1.88287353
