energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-5.30365183,7.09047024,0.01739533,1.03687878,3.90701876,2.44862135,0.08246297,3.04873555,0.21613483,0.25445554
-5.29764882,7.03416041,0.01719102,1.03204189,3.86205425,2.42764437,0.08359691,3.02421020,0.21561484,0.25071980
-5.29164582,6.96019997,0.01700289,1.02442280,3.80850723,2.40137391,0.08447903,2.99252906,0.21454724,0.24612176
-5.28564282,6.86845427,0.01681860,1.01397598,3.74645577,2.36973792,0.08507938,2.95364108,0.21289230,0.24069934
-5.27963982,6.75903190,0.01662665,1.00068768,3.67605472,2.33273980,0.08537208,2.90758843,0.21062183,0.23450348
-5.27363682,6.63230284,0.01641664,0.98457933,3.59754657,2.29046631,0.08533617,2.85451539,0.20772059,0.22759700
-5.26763382,6.48891166,0.01617951,0.96571058,3.51127125,2.24309383,0.08495636,2.79467552,0.20418732,0.22005325
-5.26163082,6.32978502,0.01590775,0.94418179,3.41767456,2.19089287,0.08422362,2.72843644,0.20003522,0.21195451
-5.25562781,6.15613245,0.01559554,0.92013565,3.31731411,2.13423024,0.08313568,2.65628186,0.19529207,0.20339033
-5.24962481,5.96943985,0.01523884,0.89375790,3.21086233,2.07356879,0.08169725,2.57881048,0.18999972,0.19445570
-5.24362181,5.77145512,0.01483544,0.86527682,3.09910584,2.00946428,0.07992011,2.49673139,0.18421319,0.18524923
-5.23761881,5.56416579,0.01438495,0.83496153,2.98294081,1.94255929,0.07782299,2.41085582,0.17799929,0.17587134
-5.23161581,5.34976853,0.01388871,0.80311885,2.86336400,1.87357411,0.07543113,2.32208520,0.17143487,0.16642242
-5.22561281,5.13063110,0.01334968,0.77008887,2.74145952,1.80329454,0.07277580,2.23139565,0.16460474,0.15700117
-5.21960980,4.90924731,0.01277229,0.73623918,2.61838130,1.73255690,0.06989344,2.13981920,0.15759934,0.14770295
-5.21360680,4.68818612,0.01216224,0.70195795,2.49533194,1.66223047,0.06682484,2.04842215,0.15051228,0.13861828
-5.20760380,4.47003627,0.01152623,0.66764602,2.37353832,1.59319774,0.06361399,1.95828126,0.14343781,0.12983151
-5.20160080,4.25734800,0.01087176,0.63370828,2.25422496,1.52633322,0.06030697,1.87045848,0.13646836,0.12141962
-5.19559780,4.05257405,0.01020688,0.60054463,2.13858609,1.46248130,0.05695080,1.78597507,0.12969216,0.11345114
-5.18959480,3.85801165,0.00953986,0.56854088,2.02775744,1.40243402,0.05359219,1.70578609,0.12319108,0.10598539
-5.18359180,3.67574797,0.00887905,0.53805990,1.92278906,1.34690964,0.05027641,1.63075634,0.11703883,0.09907173
-5.17758879,3.50761086,0.00823258,0.50943348,1.82462018,1.29653269,0.04704628,1.56163847,0.11129934,0.09274913
-5.17158579,3.35512708,0.00760820,0.48295508,1.73405733,1.25181658,0.04394121,1.49905442,0.10602572,0.08704592
-5.16558279,3.21948952,0.00701311,0.45887389,1.65175647,1.21314934,0.04099644,1.44348088,0.10125945,0.08197972
