energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.86014830,0.92601760,0.00000000,0.00956211,0.11491863,0.93252385,0.12883311,0.02788967,1.22514860
-5.99399700,1.91478873,0.95447776,0.00000000,0.01012744,0.11770970,0.96454974,0.13233024,0.02835713,1.26280942
-5.98799400,1.96812467,0.98214103,0.00000000,0.01069622,0.12035728,0.99465031,0.13573485,0.02895659,1.29965759
-5.98199100,2.01913752,1.00858977,0.00000000,0.01126149,0.12278031,1.02224004,0.13899784,0.02966869,1.33504355
-5.97598799,2.06688317,1.03345891,0.00000000,0.01181610,0.12490152,1.04678298,0.14207748,0.03047269,1.36836805
-5.96998499,2.11052458,1.05644962,0.00000000,0.01235287,0.12664996,1.06781011,0.14494133,0.03134716,1.39910313
-5.96398199,2.14936111,1.07734105,0.00000000,0.01286475,0.12796336,1.08493489,0.14756785,0.03227073,1.42681090
-5.95797899,2.18285336,1.09599924,0.00000000,0.01334503,0.12879023,1.09786638,0.14994768,0.03322278,1.45115938
-5.95197599,2.21064219,1.11238283,0.00000000,0.01378749,0.12909154,1.10641913,0.15208437,0.03418407,1.47193451
-5.94597299,2.23256067,1.12654509,0.00000000,0.01418654,0.12884201,1.11051955,0.15399469,0.03513727,1.48904753
-5.93996998,2.24863835,1.13863189,0.00000000,0.01453744,0.12803081,1.11020805,0.15570829,0.03606728,1.50253720
-5.93396698,2.25909709,1.14887546,0.00000000,0.01483632,0.12666178,1.10563700,0.15726676,0.03696156,1.51256659
-5.92796398,2.26433850,1.15758404,0.00000000,0.01508035,0.12475301,1.09706434,0.15872208,0.03781013,1.51941425
-5.92196098,2.26492323,1.16512772,0.00000000,0.01526773,0.12233597,1.08484304,0.16013450,0.03860554,1.52345996
-5.91595798,2.26154281,1.17192082,0.00000000,0.01539773,0.11945407,1.06940683,0.16156990,0.03934265,1.52516566
-5.90995498,2.25498529,1.17840153,0.00000000,0.01547065,0.11616085,1.05125283,0.16309671,0.04001827,1.52505220
-5.90395198,2.24609610,1.18500980,0.00000000,0.01548770,0.11251774,1.03092177,0.16478253,0.04063069,1.52367301
-5.89794897,2.23573606,1.19216432,0.00000000,0.01545097,0.10859172,1.00897666,0.16669062,0.04117923,1.52158588
-5.89194597,2.22473844,1.20023971,0.00000000,0.01536319,0.10445268,0.98598105,0.16887635,0.04166365,1.51932419
-5.88594297,2.21386740,1.20954518,0.00000000,0.01522764,0.10017098,0.96247771,0.17138384,0.04208364,1.51736913
-5.87993997,2.20377965,1.22030557,0.00000000,0.01504797,0.09581492,0.93896874,0.17424290,0.04243833,1.51612418
-5.87393697,2.19499153,1.23264595,0.00000000,0.01482799,0.09144858,0.91589807,0.17746656,0.04272594,1.51589334
-5.86793397,2.18785305,1.24658052,0.00000000,0.01457153,0.08712988,0.89363711,0.18104913,0.04294344,1.51686407
-5.86193097,2.18253024,1.26200658,0.00000000,0.01428232,0.08290906,0.87247403,0.18496512,0.04308646,1.51909605
-5.85592796,2.17899683,1.27870383,0.00000000,0.01396382,0.07882757,0.85260719,0.18916889,0.04314928,1.52251622
-5.84992496,2.17703542,1.29633931,0.00000000,0.01361919,0.07491741,0.83414288,0.19359533,0.04312494,1.52692048
-5.84392196,2.17624827,1.31447768,0.00000000,0.01325121,0.07120090,0.81709722,0.19816124,0.04300559,1.53198183
-5.83791896,2.17607693,1.33259650,0.00000000,0.01286229,0.06769095,0.80140212,0.20276775,0.04278282,1.53726473
-5.83191596,2.17582968,1.35010580,0.00000000,0.01245447,0.06439162,0.78691465,0.20730330,0.04244821,1.54224472
-5.82591296,2.17471527,1.36637095,0.00000000,0.01202946,0.06129911,0.77342945,0.21164741,0.04199386,1.54633240
-5.81990995,2.17188113,1.38073785,0.00000000,0.01158877,0.05840287,0.76069316,0.21567481,0.04141291,1.54890046
-5.81390695,2.16645419,1.39255910,0.00000000,0.01113374,0.05568705,0.74842034,0.21925993,0.04070016,1.54931242
-5.80790395,2.15758198,1.40122007,0.00000000,0.01066566,0.05313189,0.73630983,0.22228139,0.03985250,1.54695156
-5.80190095,2.14447212,1.40616334,0.00000000,0.01018587,0.05071522,0.72406080,0.22462650,0.03886934,1.54124861
-5.79589795,2.12642827,1.40691072,0.00000000,0.00969584,0.04841391,0.71138775,0.22619530,0.03775289,1.53170691
-5.78989495,2.10288080,1.40308149,0.00000000,0.00919720,0.04620510,0.69803377,0.22690423,0.03650829,1.51792377
-5.78389195,2.07341082,1.39440633,0.00000000,0.00869188,0.04406742,0.68378148,0.22668903,0.03514369,1.49960713
-5.77788894,2.03776678,1.38073624,0.00000000,0.00818203,0.04198184,0.66846137,0.22550692,0.03367003,1.47658693
-5.77188594,1.99587291,1.36204613,0.00000000,0.00767009,0.03993239,0.65195721,0.22333791,0.03210085,1.44882065
-5.76588294,1.94782962,1.33843326,0.00000000,0.00715873,0.03790665,0.63420850,0.22018519,0.03045188,1.41639310
-5.75987994,1.89390601,1.31011054,0.00000000,0.00665084,0.03589596,0.61521009,0.21607458,0.02874058,1.37951070
-5.75387694,1.83452553,1.27739535,0.00000000,0.00614940,0.03389540,0.59500921,0.21105320,0.02698556,1.33849072
-5.74787394,1.77024547,1.24069466,0.00000000,0.00565746,0.03190366,0.57370017,0.20518731,0.02520605,1.29374636
-5.74187094,1.70173201,1.20048715,0.00000000,0.00517805,0.02992270,0.55141733,0.19855956,0.02342131,1.24576843
-5.73586793,1.62973204,1.15730353,0.00000000,0.00471405,0.02795722,0.52832675,0.19126573,0.02165003,1.19510497
-5.72986493,1.55504340,1.11170599,0.00000000,0.00426815,0.02601421,0.50461709,0.18341113,0.01990982,1.14233969
-5.72386193,1.47848518,1.06426787,0.00000000,0.00384275,0.02410228,0.48049029,0.17510693,0.01821681,1.08807045
-5.71785893,1.40086932,1.01555452,0.00000000,0.00343991,0.02223108,0.45615251,0.16646644,0.01658523,1.03288891
-5.71185593,1.32297498,0.96610615,0.00000000,0.00306131,0.02041072,0.43180582,0.15760168,0.01502716,0.97736201
-5.70585293,1.24552659,0.91642337,0.00000000,0.00270818,0.01865119,0.40764101,0.14862019,0.01355236,0.92201631
-5.69984992,1.16917625,0.86695595,0.00000000,0.00238133,0.01696193,0.38383162,0.13962239,0.01216823,0.86732547
-5.69384692,1.09449109,0.81809494,0.00000000,0.00208113,0.01535139,0.36052964,0.13069938,0.01087976,0.81370131
-5.68784392,1.02194557,0.77016836,0.00000000,0.00180753,0.01382676,0.33786266,0.12193140,0.00968973,0.76148850
-5.68184092,0.95191860,0.72344016,0.00000000,0.00156011,0.01239372,0.31593260,0.11338686,0.00859878,0.71096283
