energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.97759339,0.02969481,1.13360070,0.21657333,0.00202796,0.92670999,0.49036352
-5.99399700,1.93989339,0.02874679,1.11479824,0.21125681,0.00195675,0.92704499,0.48201889
-5.98799400,1.90435209,0.02780661,1.09754786,0.20568470,0.00189253,0.92847037,0.47383446
-5.98199100,1.87117564,0.02687797,1.08187995,0.19995756,0.00183575,0.93107427,0.46578567
-5.97598799,1.84050771,0.02596339,1.06778803,0.19417417,0.00178675,0.93492583,0.45784003
-5.96998499,1.81243751,0.02506447,1.05523657,0.18842911,0.00174567,0.94007574,0.44996206
-5.96398199,1.78700729,0.02418213,1.04416846,0.18281048,0.00171253,0.94655630,0.44211794
-5.95797899,1.76421911,0.02331685,1.03451164,0.17739781,0.00168722,0.95438107,0.43427956
-5.95197599,1.74404062,0.02246882,1.02618474,0.17226021,0.00166946,0.96354413,0.42642778
-5.94597299,1.72640983,0.02163822,1.01910153,0.16745491,0.00165890,0.97401919,0.41855480
-5.93996998,1.71123890,0.02082525,1.01317437,0.16302615,0.00165503,0.98575872,0.41066568
-5.93396698,1.69841732,0.02003034,1.00831657,0.15900458,0.00165726,0.99869329,0.40277888
-5.92796398,1.68781455,0.01925411,1.00444394,0.15540719,0.00166493,1.01273147,0.39492593
-5.92196098,1.67928272,0.01849748,1.00147572,0.15223763,0.00167729,1.02776042,0.38715044
-5.91595798,1.67265948,0.01776163,0.99933514,0.14948721,0.00169355,1.04364733,0.37950649
-5.90995498,1.66777139,0.01704797,0.99794987,0.14713621,0.00171290,1.06024183,0.37205650
-5.90395198,1.66443804,0.01635813,0.99725248,0.14515576,0.00173451,1.07737943,0.36486897
-5.89794897,1.66247694,0.01569387,0.99718111,0.14350989,0.00175758,1.09488580,0.35801603
-5.89194597,1.66170909,0.01505710,0.99768042,0.14215798,0.00178135,1.11258176,0.35157104
-5.88594297,1.66196514,0.01444975,0.99870279,0.14105725,0.00180512,1.13028881,0.34560641
-5.87993997,1.66309170,0.01387381,1.00020969,0.14016522,0.00182829,1.14783476,0.34019162
-5.87393697,1.66495762,0.01333126,1.00217311,0.13944219,0.00185034,1.16505918,0.33539156
-5.86793397,1.66745952,0.01282407,1.00457688,0.13885331,0.00187091,1.18181835,0.33126525
-5.86193097,1.67052638,0.01235419,1.00741770,0.13837041,0.00188974,1.19798924,0.32786483
-5.85592796,1.67412264,0.01192351,1.01070556,0.13797339,0.00190674,1.21347249,0.32523494
-5.84992496,1.67824953,0.01153391,1.01446361,0.13765108,0.00192194,1.22819386,0.32341235
-5.84392196,1.68294433,0.01118718,1.01872724,0.13740154,0.00193553,1.24210442,0.32242576
