energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,10.31476621,0.00805591,3.22824244,0.89671996,0.29507246,0.08029933,2.38982848,4.66478912,3.74335781
-5.99399700,10.17445253,0.00874410,3.15216405,0.89405314,0.29925090,0.08203751,2.38683837,4.61073974,3.65993380
-5.98799400,10.03092374,0.00950827,3.06930082,0.89412752,0.30408465,0.08401106,2.38970760,4.55743633,3.56904326
-5.98199100,9.88896608,0.01034506,2.98151007,0.89718343,0.30966281,0.08619578,2.39911447,4.50718560,3.47292566
-5.97598799,9.75316041,0.01125005,2.89066910,0.90337855,0.31606150,0.08856338,2.41558676,4.46218013,3.37384473
-5.96998499,9.62773895,0.01221785,2.79861667,0.91278436,0.32334152,0.09108174,2.43948691,4.42443102,3.27401816
-5.96398199,9.51645658,0.01324217,2.70709779,0.92538523,0.33154639,0.09371516,2.47100219,4.39570567,3.17555143
-5.95797899,9.42248109,0.01431591,2.61771389,0.94107997,0.34070102,0.09642490,2.51013991,4.37747289,3.08037807
-5.95197599,9.34830621,0.01543130,2.53188007,0.95968590,0.35081072,0.09916978,2.55672789,4.37085766,2.99020836
-5.94597299,9.29568987,0.01658002,2.45079066,0.98094532,0.36186081,0.10190686,2.61041993,4.37660712,2.90648799
-5.93996998,9.26561919,0.01775338,2.37539422,1.00453400,0.37381663,0.10459234,2.67070599,4.39506924,2.83036774
-5.93396698,9.25830229,0.01894241,2.30637815,1.03007152,0.38662388,0.10718238,2.73692648,4.42618471,2.76268470
-5.92796398,9.27318617,0.02013809,2.24416332,1.05713308,0.40020945,0.10963404,2.80829002,4.46949259,2.70395503
-5.92196098,9.30899872,0.02133142,2.18890804,1.08526223,0.41448235,0.11190616,2.88389393,4.52414919,2.65437786
-5.91595798,9.36381225,0.02251361,2.14052095,1.11398434,0.42933502,0.11396017,2.96274660,4.58895944,2.61384948
-5.90995498,9.43512517,0.02367614,2.09868166,1.14282011,0.44464471,0.11576085,3.04379107,4.66241954,2.58198661
-5.90395198,9.51995832,0.02481089,2.06286793,1.17129890,0.46027511,0.11727692,3.12592901,4.74276925,2.55815746
-5.89794897,9.61496188,0.02591020,2.03238816,1.19897132,0.47607807,0.11848152,3.20804457,4.82805178,2.54151889
-5.89194597,9.71652920,0.02696689,2.00641748,1.22542096,0.49189550,0.11935253,3.28902755,4.91617926,2.53105799
-5.88594297,9.82091350,0.02797435,1.98403623,1.25027474,0.50756144,0.11987275,3.36779558,5.00500144,2.52563659
-5.87993997,9.92434423,0.02892649,1.96426915,1.27321186,0.52290430,0.12002992,3.44331502,5.09237533,2.52403680
-5.87393697,10.02313961,0.02981776,1.94612397,1.29397109,0.53774933,0.11981668,3.51462039,5.17623352,2.52500625
-5.86793397,10.11381261,0.03064312,1.92862829,1.31235631,0.55192135,0.11923033,3.58083232,5.25464891,2.52730153
-5.86193097,10.19316775,0.03139806,1.91086339,1.32824027,0.56524763,0.11827262,3.64117383,5.32589398,2.52972865
-5.85592796,10.25838670,0.03207851,1.89199426,1.34156659,0.57756111,0.11694947,3.69498489,5.38849256,2.53117923
-5.84992496,10.30710047,0.03268090,1.87129490,1.35234994,0.58870363,0.11527060,3.74173519,5.44126273,2.53066193
-5.84392196,10.33744709,0.03320207,1.84816850,1.36067442,0.59852942,0.11324929,3.78103472,5.48334942,2.52732790
-5.83791896,10.34811306,0.03363935,1.82216193,1.36669034,0.60690851,0.11090201,3.81264210,5.51424567,2.52049026
-5.83191596,10.33835806,0.03399049,1.79297447,1.37060926,0.61373006,0.10824822,3.83647004,5.53380207,2.50963693
-5.82591296,10.30802201,0.03425375,1.76046075,1.37269744,0.61890541,0.10531003,3.85258780,5.54222381,2.49443691
-5.81990995,10.25751447,0.03442786,1.72462804,1.37326775,0.62237083,0.10211202,3.86121988,5.54005555,2.47474000
-5.81390695,10.18778655,0.03451213,1.68562827,1.37267027,0.62408971,0.09868095,3.86274081,5.52815458,2.45057038
-5.80790395,10.10028613,0.03450641,1.64374533,1.37128142,0.62405402,0.09504557,3.85766563,5.50765294,2.42211441
-5.80190095,9.99689754,0.03441118,1.59937825,1.36949216,0.62228518,0.09123628,3.84663575,5.47990983,2.38970336
-5.79589795,9.87986758,0.03422755,1.55302099,1.36769521,0.61883391,0.08728488,3.83040047,5.44645586,2.35379196
-5.78989495,9.75172030,0.03395732,1.50523991,1.36627175,0.61377932,0.08322421,3.80979415,5.40893094,2.31493357
-5.78389195,9.61516331,0.03360294,1.45664959,1.36557792,0.60722702,0.07908774,3.78570975,5.36901820,2.27375323
-5.77788894,9.47298907,0.03316753,1.40788814,1.36593151,0.59930651,0.07490915,3.75906934,5.32837611,2.23091952
-5.77188594,9.32797477,0.03265485,1.35959287,1.36759941,0.59016770,0.07072181,3.73079286,5.28857152,2.18711649
-5.76588294,9.18278481,0.03206929,1.31237724,1.37078620,0.57997688,0.06655831,3.70176613,5.25101609,2.14301671
-5.75987994,9.03987973,0.03141578,1.26680993,1.37562452,0.56891225,0.06244994,3.67280972,5.21690889,2.09925662
-5.75387694,8.90143558,0.03069976,1.22339663,1.38216760,0.55715923,0.05842611,3.64465021,5.18718726,2.05641490
-5.74787394,8.76927707,0.02992706,1.18256536,1.39038456,0.54490569,0.05451396,3.61789520,5.16248845,2.01499487
