energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.04392929,0.03029791,0.03701680,0.48434175,0.29457960,0.64870408,0.00000000,0.26820411,0.08933077
-5.99399700,1.09241275,0.03328225,0.03823106,0.50365067,0.31457856,0.67729982,0.00000000,0.27927161,0.09332812
-5.98799400,1.13999540,0.03634132,0.03935144,0.52216879,0.33496980,0.70518285,0.00000000,0.29025339,0.09713556
-5.98199100,1.18618442,0.03944246,0.04036535,0.53974945,0.35548445,0.73207503,0.00000000,0.30106684,0.10071067
-5.97598799,1.23049515,0.04254986,0.04126144,0.55625703,0.37584196,0.75770688,0.00000000,0.31163331,0.10401215
-5.96998499,1.27245597,0.04562531,0.04202969,0.57156699,0.39575477,0.78181990,0.00000000,0.32187754,0.10700062
-5.96398199,1.31161381,0.04862907,0.04266152,0.58556585,0.41493360,0.80416914,0.00000000,0.33172698,0.10963948
-5.95797899,1.34754021,0.05152086,0.04314982,0.59815115,0.43309333,0.82452608,0.00000000,0.34111118,0.11189576
-5.95197599,1.37983808,0.05426088,0.04348905,0.60923158,0.44995923,0.84268181,0.00000000,0.34996136,0.11374118
-5.94597299,1.40814887,0.05681090,0.04367534,0.61872727,0.46527336,0.85845059,0.00000000,0.35821021,0.11515314
-5.93996998,1.43216015,0.05913524,0.04370661,0.62657035,0.47880091,0.87167361,0.00000000,0.36579192,0.11611572
-5.93396698,1.45161323,0.06120178,0.04358261,0.63270570,0.49033625,0.88222288,0.00000000,0.37264257,0.11662068
-5.92796398,1.46631057,0.06298275,0.04330508,0.63709202,0.49970845,0.89000516,0.00000000,0.37870085,0.11666835
-5.92196098,1.47612272,0.06445549,0.04287779,0.63970302,0.50678596,0.89496572,0.00000000,0.38390903,0.11626833
-5.91595798,1.48099431,0.06560293,0.04230663,0.64052885,0.51148039,0.89709169,0.00000000,0.38821431,0.11544006
-5.90995498,1.48094897,0.06641391,0.04159963,0.63957749,0.51374910,0.89641491,0.00000000,0.39157030,0.11421316
-5.90395198,1.47609267,0.06688337,0.04076692,0.63687623,0.51359661,0.89301405,0.00000000,0.39393873,0.11262747
-5.89794897,1.46661539,0.06701217,0.03982074,0.63247291,0.51107457,0.88701580,0.00000000,0.39529120,0.11073278
-5.89194597,1.45279076,0.06680694,0.03877524,0.62643700,0.50628058,0.87859503,0.00000000,0.39561099,0.10858830
-5.88594297,1.43497373,0.06627956,0.03764639,0.61886033,0.49935558,0.86797372,0.00000000,0.39489464,0.10626177
-5.87993997,1.41359590,0.06544666,0.03645169,0.60985732,0.49048018,0.85541863,0.00000000,0.39315348,0.10382827
-5.87393697,1.38915876,0.06432891,0.03520990,0.59956465,0.47986985,0.84123763,0.00000000,0.39041470,0.10136871
-5.86793397,1.36222473,0.06295032,0.03394072,0.58814036,0.46776931,0.82577467,0.00000000,0.38672216,0.09896803
-5.86193097,1.33340608,0.06133742,0.03266436,0.57576214,0.45444618,0.80940338,0.00000000,0.38213657,0.09671323
-5.85592796,1.30335207,0.05951858,0.03140116,0.56262494,0.44018413,0.79251940,0.00000000,0.37673531,0.09469115
-5.84992496,1.27273436,0.05752320,0.03017110,0.54893772,0.42527582,0.77553164,0.00000000,0.37061144,0.09298609
-5.84392196,1.24223116,0.05538106,0.02899336,0.53491954,0.41001571,0.75885242,0.00000000,0.36387227,0.09167745
-5.83791896,1.21251042,0.05312173,0.02788584,0.52079490,0.39469306,0.74288703,0.00000000,0.35663723,0.09083729
-5.83191596,1.18421257,0.05077401,0.02686469,0.50678855,0.37958526,0.72802279,0.00000000,0.34903525,0.09052797
-5.82591296,1.15793338,0.04836552,0.02594391,0.49311986,0.36495168,0.71461801,0.00000000,0.34120162,0.09079996
-5.81990995,1.13420744,0.04592234,0.02513493,0.47999698,0.35102827,0.70299136,0.00000000,0.33327452,0.09168992
-5.81390695,1.11349301,0.04346870,0.02444632,0.46761106,0.33802304,0.69341193,0.00000000,0.32539137,0.09321902
-5.80790395,1.09615896,0.04102684,0.02388348,0.45613075,0.32611248,0.68609064,0.00000000,0.31768516,0.09539172
-5.80190095,1.08247433,0.03861680,0.02344849,0.44569734,0.31543928,0.68117334,0.00000000,0.31028094,0.09819505
-5.79589795,1.07260132,0.03625637,0.02314005,0.43642074,0.30611111,0.67873612,0.00000000,0.30329271,0.10159836
-5.78989495,1.06659219,0.03396105,0.02295344,0.42837672,0.29820087,0.67878320,0.00000000,0.29682092,0.10555375
-5.78389195,1.06439055,0.03174400,0.02288070,0.42160542,0.29174816,0.68124778,0.00000000,0.29095067,0.10999706
-5.77788894,1.06583732,0.02961610,0.02291086,0.41611162,0.28676212,0.68599597,0.00000000,0.28575091,0.11484962
-5.77188594,1.07068140,0.02758602,0.02303027,0.41186657,0.28322552,0.69283396,0.00000000,0.28127455,0.12002048
-5.76588294,1.07859495,0.02566025,0.02322308,0.40881157,0.28109987,0.70151816,0.00000000,0.27755962,0.12540936
-5.75987994,1.08919279,0.02384324,0.02347175,0.40686319,0.28033161,0.71176832,0.00000000,0.27463151,0.13091007
-5.75387694,1.10205525,0.02213754,0.02375768,0.40591990,0.28085882,0.72328285,0.00000000,0.27250602,0.13641428
-5.74787394,1.11675359,0.02054396,0.02406190,0.40586986,0.28261840,0.73575589,0.00000000,0.27119321,0.14181564
-5.74187094,1.13287678,0.01906178,0.02436573,0.40659945,0.28555324,0.74889541,0.00000000,0.27070171,0.14701397
-5.73586793,1.15005829,0.01768892,0.02465151,0.40800219,0.28961912,0.76244128,0.00000000,0.27104324,0.15191937
-5.72986493,1.16800160,0.01642226,0.02490324,0.40998738,0.29479077,0.77618249,0.00000000,0.27223712,0.15645612
-5.72386193,1.18650285,0.01525782,0.02510724,0.41248814,0.30106694,0.78997248,0.00000000,0.27431424,0.16056606
-5.71785893,1.20546930,0.01419105,0.02525266,0.41546825,0.30847395,0.80374172,0.00000000,0.27732037,0.16421139
-5.71185593,1.22493248,0.01321712,0.02533190,0.41892732,0.31706749,0.81750667,0.00000000,0.28131833,0.16737674
-5.70585293,1.24505477,0.01233115,0.02534092,0.42290393,0.32693254,0.83137435,0.00000000,0.28638894,0.17007024
-5.69984992,1.26612906,0.01152849,0.02527941,0.42747653,0.33818104,0.84554234,0.00000000,0.29263047,0.17232367
-5.69384692,1.28857086,0.01080489,0.02515076,0.43276182,0.35094762,0.86029362,0.00000000,0.30015656,0.17419156
-5.68784392,1.31290319,0.01015676,0.02496196,0.43891070,0.36538321,0.87598656,0.00000000,0.30909251,0.17574932
-5.68184092,1.33973453,0.00958131,0.02472332,0.44610181,0.38164695,0.89304032,0.00000000,0.31957025,0.17709032
-5.67583792,1.36973095,0.00907666,0.02444801,0.45453309,0.39989660,0.91191615,0.00000000,0.33172199,0.17832227
-5.66983492,1.40358344,0.00864199,0.02415160,0.46441155,0.42027805,0.93309554,0.00000000,0.34567298,0.17956278
-5.66383192,1.44197223,0.00827755,0.02385143,0.47594192,0.44291432,0.95705616,0.00000000,0.36153372,0.18093455
