energy_ev,total_up,As_p_up,As_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,6.84410336,1.05988518,0.00000000,0.55838351,5.31794003,0.04458637,1.14244436
-5.99399700,6.60350150,1.02086674,0.00000000,0.54257393,5.13272800,0.04568431,1.09060091
-5.98799400,6.38070143,0.98324370,0.00000000,0.53397709,4.95667013,0.04702911,1.04357235
-5.98199100,6.17724652,0.94753064,0.00000000,0.53246394,4.79134848,0.04859779,1.00134217
-5.97598799,5.99457176,0.91424041,0.00000000,0.53786831,4.63828656,0.05036357,0.96387321
-5.96998499,5.83394336,0.88386613,0.00000000,0.54997994,4.49889792,0.05229619,0.93110415
-5.96398199,5.69639493,0.85686263,0.00000000,0.56853633,4.37443248,0.05436221,0.90294481
-5.95797899,5.58266366,0.83362804,0.00000000,0.59321420,4.26592309,0.05652551,0.87927082
-5.95197599,5.49312991,0.81448616,0.00000000,0.62362122,4.17413484,0.05874789,0.85991829
-5.94597299,5.42776374,0.79967036,0.00000000,0.65928877,4.09951965,0.06098970,0.84467897
-5.93996998,5.38608167,0.78930993,0.00000000,0.69966654,4.04217866,0.06321071,0.83329651
-5.93396698,5.36711684,0.78341934,0.00000000,0.74411965,4.00183470,0.06537086,0.82546436
-5.92796398,5.36940497,0.78189119,0.00000000,0.79192892,3.97781664,0.06743126,0.82082551
-5.92196098,5.39098797,0.78449331,0.00000000,0.84229479,3.96905707,0.06935501,0.81897465
-5.91595798,5.42943643,0.79087031,0.00000000,0.89434512,3.97410423,0.07110813,0.81946263
-5.90995498,5.48189116,0.80054977,0.00000000,0.94714718,3.99114840,0.07266039,0.82180338
-5.90395198,5.54512315,0.81295306,0.00000000,0.99972347,4.01806237,0.07398600,0.82548311
-5.89794897,5.61561049,0.82741051,0.00000000,1.05107136,4.05245499,0.07506426,0.82997161
-5.89194597,5.68962984,0.84318040,0.00000000,1.10018572,4.09173607,0.07588000,0.83473516
-5.88594297,5.76335938,0.85947129,0.00000000,1.14608402,4.13319053,0.07642391,0.83925071
-5.87993997,5.83298962,0.87546667,0.00000000,1.18783295,4.17405904,0.07669264,0.84302070
-5.87393697,5.89483779,0.89035107,0.00000000,1.22457551,4.21162219,0.07668882,0.84558804
-5.86793397,5.94546164,0.90333657,0.00000000,1.25555750,4.24328502,0.07642082,0.84655064
-5.86193097,5.98176809,0.91368851,0.00000000,1.28015234,4.26665861,0.07590244,0.84557486
-5.85592796,6.00111270,0.92074956,0.00000000,1.29788320,4.27963563,0.07515247,0.84240759
-5.84992496,6.00138606,0.92396078,0.00000000,1.30844141,4.28045701,0.07419414,0.83688629
-5.84392196,5.98108398,0.92287924,0.00000000,1.31170040,4.26776717,0.07305455,0.82894679
-5.83791896,5.93935887,0.91719106,0.00000000,1.30772468,4.24065597,0.07176404,0.81862867
-5.83191596,5.87605083,0.90671968,0.00000000,1.29677332,4.19868591,0.07035559,0.80607797
-5.82591296,5.79169750,0.89142902,0.00000000,1.27929800,4.14190396,0.06886426,0.79154721
