energy_ev,total_up,As_p_up,As_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,2.76124927,1.21099516,0.00000000,2.18474117,1.09599225,0.02570137,0.70662417
-5.99399700,2.66962837,1.16858645,0.00000000,2.11666936,1.06142145,0.02460116,0.68443019
-5.98799400,2.57590249,1.12514997,0.00000000,2.04471923,1.02669231,0.02343762,0.66180765
-5.98199100,2.48118026,1.08115807,0.00000000,1.96983112,0.99221989,0.02222078,0.63905947
-5.97598799,2.38658936,1.03710187,0.00000000,1.89302016,0.95842020,0.02096152,0.61648355
-5.96998499,2.29326389,0.99348882,0.00000000,1.81536051,0.92570840,0.01967139,0.59436705
-5.96398199,2.20233026,0.95083902,0.00000000,1.73796685,0.89449630,0.01836247,0.57298091
-5.95797899,2.11489176,0.90967986,0.00000000,1.66197359,0.86518903,0.01704701,0.55257492
-5.95197599,2.03201190,0.87053905,0.00000000,1.58851239,0.83818054,0.01573725,0.53337343
-5.94597299,1.95469696,0.83393610,0.00000000,1.51868870,0.81384804,0.01444509,0.51557176
-5.93996998,1.88387829,0.80037237,0.00000000,1.45355805,0.79254553,0.01318184,0.49933368
-5.93396698,1.82039482,0.77032022,0.00000000,1.39410316,0.77459646,0.01195797,0.48478974
-5.92796398,1.76497673,0.74421157,0.00000000,1.34121249,0.76028607,0.01078287,0.47203664
-5.92196098,1.71823076,0.72242661,0.00000000,1.29566134,0.74985358,0.00966471,0.46113757
-5.91595798,1.68062812,0.70528326,0.00000000,1.25809619,0.74348492,0.00861028,0.45212345
-5.90995498,1.65249553,0.69302792,0.00000000,1.22902297,0.74130639,0.00762493,0.44499501
-5.90395198,1.63401019,0.68582832,0.00000000,1.20879986,0.74337979,0.00671258,0.43972550
-5.89794897,1.62519904,0.68376880,0.00000000,1.19763503,0.74969939,0.00587570,0.43626406
-5.89194597,1.62594266,0.68684861,0.00000000,1.19558943,0.76019134,0.00511540,0.43453948
-5.88594297,1.63598404,0.69498337,0.00000000,1.20258470,0.77471544,0.00443159,0.43446426
-5.87993997,1.65494198,0.70800986,0.00000000,1.21841587,0.79306968,0.00382305,0.43593895
-5.87393697,1.68232879,0.72569391,0.00000000,1.24276838,0.81499744,0.00328765,0.43885638
-5.86793397,1.71757172,0.74774117,0.00000000,1.27523872,0.84019695,0.00282251,0.44310606
-5.86193097,1.76003726,0.77381016,0.00000000,1.31535768,0.86833285,0.00242417,0.44857818
-5.85592796,1.80905711,0.80352704,0.00000000,1.36261511,0.89904922,0.00208877,0.45516751
-5.84992496,1.86395463,0.83650107,0.00000000,1.41648498,0.93198331,0.00181220,0.46277680
-5.84392196,1.92407032,0.87234006,0.00000000,1.47644921,0.96677927,0.00159025,0.47131961
-5.83791896,1.98878489,0.91066478,0.00000000,1.54201907,1.00310107,0.00141871,0.48072252
-5.83191596,2.05753840,0.95112134,0.00000000,1.61275264,1.04064368,0.00129347,0.49092654
-5.82591296,2.12984435,0.99339090,0.00000000,1.68826726,1.07914175,0.00121061,0.50188754
-5.81990995,2.20529744,1.03719585,0.00000000,1.76824595,1.11837529,0.00116640,0.51357575
-5.81390695,2.28357442,1.08230209,0.00000000,1.85243714,1.15817159,0.00115735,0.52597410
-5.80790395,2.36442762,1.12851719,0.00000000,1.94064751,1.19840338,0.00118020,0.53907560
-5.80190095,2.44767130,1.17568450,0.00000000,2.03272801,1.23898308,0.00123190,0.55287953
-5.79589795,2.53316147,1.22367354,0.00000000,2.12855380,1.27985350,0.00130960,0.56738691
-5.78989495,2.62077038,1.27236729,0.00000000,2.22799912,1.32097535,0.00141062,0.58259512
-5.78389195,2.71035709,1.32164741,0.00000000,2.33090879,1.36231270,0.00153238,0.59849222
-5.77788894,2.80173643,1.37137830,0.00000000,2.43706811,1.40381699,0.00167241,0.61505107
-5.77188594,2.89464828,1.42139146,0.00000000,2.54617345,1.44541111,0.00182830,0.63222377
-5.76588294,2.98872986,1.47147124,0.00000000,2.65780586,1.48697453,0.00199769,0.64993690
-5.75987994,3.08349331,1.52134350,0.00000000,2.77141002,1.52833087,0.00217829,0.66808771
-5.75387694,3.17831074,1.57066811,0.00000000,2.88628069,1.56923902,0.00236784,0.68654198
-5.74787394,3.27240872,1.61903637,0.00000000,3.00155854,1.60938877,0.00256418,0.70513359
-5.74187094,3.36487340,1.66597406,0.00000000,3.11623664,1.64840160,0.00276526,0.72366619
-5.73586793,3.45466700,1.71095024,0.00000000,3.22917841,1.68583714,0.00296922,0.74191706
-5.72986493,3.54065570,1.75339193,0.00000000,3.33914694,1.72120518,0.00317441,0.75964307
-5.72386193,3.62164797,1.79270410,0.00000000,3.44484502,1.75398299,0.00337950,0.77658870
-5.71785893,3.69644179,1.82829401,0.00000000,3.54496431,1.78363714,0.00358353,0.79249566
-5.71185593,3.76387858,1.85959887,0.00000000,3.63824132,1.80964865,0.00378597,0.80711379
