energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,5.44673518,0.00495158,1.05963123,0.13190566,2.09443401,2.40725964,0.02933761,1.55272835
-5.99399700,5.36414346,0.00491678,1.08700289,0.12509136,2.08796062,2.44286256,0.02666445,1.47275853
-5.98799400,5.30348022,0.00488768,1.11932423,0.11873617,2.08999257,2.49002756,0.02414029,1.39717059
-5.98199100,5.26570289,0.00487047,1.15600128,0.11299995,2.10074314,2.54819325,0.02178547,1.32721597
-5.97598799,5.25122843,0.00487168,1.19629345,0.10803671,2.12024922,2.61648417,0.01961639,1.26405677
-5.96998499,5.25996151,0.00489805,1.23933403,0.10399260,2.14838074,2.69374289,0.01764563,1.20875436
-5.96398199,5.29133781,0.00495628,1.28415608,0.10100389,2.18485527,2.77857187,0.01588219,1.16225932
-5.95797899,5.34437878,0.00505291,1.32972241,0.09919503,2.22925666,2.86938296,0.01433179,1.12540224
-5.95197599,5.41775418,0.00519408,1.37495857,0.09867667,2.28105641,2.96445224,0.01299722,1.09888476
-5.94597299,5.50984859,0.00538529,1.41878757,0.09954364,2.33963650,3.06197757,0.01187872,1.08327093
-5.93996998,5.61882815,0.00563123,1.46016475,0.10187293,2.40431227,3.16013661,0.01097438,1.07897835
-5.93396698,5.74270445,0.00593551,1.49811156,0.10572160,2.47435432,3.25714258,0.01028044,1.08626941
-5.92796398,5.87939278,0.00630054,1.53174694,0.11112478,2.54900840,3.35129589,0.00979169,1.10524268
-5.92196098,6.02676282,0.00672728,1.56031497,0.11809373,2.62751266,3.44102970,0.00950175,1.13582488
-5.91595798,6.18268076,0.00721517,1.58320805,0.12661410,2.70911189,3.52494805,0.00940332,1.17776407
-5.90995498,6.34504247,0.00776198,1.59998464,0.13664456,2.79306877,3.60185568,0.00948843,1.23062473
-5.90395198,6.51179827,0.00836382,1.61038124,0.14811574,2.87867226,3.67077900,0.00974862,1.29378548
-5.89794897,6.68097051,0.00901507,1.61431822,0.16092988,2.96524387,3.73097847,0.01017512,1.36644044
-5.89194597,6.85066581,0.00970851,1.61189968,0.17496106,3.05214238,3.78195270,0.01075900,1.44760484
-5.88594297,7.01908385,0.01043543,1.60340754,0.19005628,3.13876792,3.82343511,0.01149128,1.53612576
-5.87993997,7.18452511,0.01118578,1.58929031,0.20603745,3.22456628,3.85538445,0.01236310,1.63069843
-5.87393697,7.34539957,0.01194844,1.57014737,0.22270418,3.30903415,3.87797017,0.01336580,1.72988827
