energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Ta_p_up,Ta_d_up
-6.00000000,4.38765595,0.03754385,2.65731726,0.58060618,0.00638553,2.03329232,1.77436223
-5.99399700,4.43134982,0.03787838,2.67442484,0.59160054,0.00661138,2.05851627,1.78176928
-5.98799400,4.48191216,0.03840056,2.69539367,0.60344814,0.00685572,2.08647414,1.79149372
-5.98199100,4.53842898,0.03912205,2.71951181,0.61620253,0.00711678,2.11667086,1.80316436
-5.97598799,4.60007969,0.04005262,2.74614431,0.62991501,0.00739288,2.14867681,1.81643865
-5.96998499,4.66614992,0.04119947,2.77475054,0.64462798,0.00768244,2.18213317,1.83101382
-5.96398199,4.73603740,0.04256667,2.80489554,0.66036870,0.00798398,2.21675316,1.84663492
-5.95797899,4.80925095,0.04415460,2.83625530,0.67714369,0.00829610,2.25231923,1.86309935
-5.95197599,4.88540307,0.04595949,2.86861599,0.69493408,0.00861748,2.28867659,1.88025816
-5.94597299,4.96419709,0.04797308,2.90186733,0.71369221,0.00894685,2.32572346,1.89801403
-5.93996998,5.04540972,0.05018231,2.93599094,0.73333962,0.00928300,2.36339883,1.91631652
-5.93396698,5.12887039,0.05256926,2.97104422,0.75376660,0.00962471,2.40166831,1.93515483
-5.92796398,5.21443869,0.05511110,3.00714104,0.77483327,0.00997076,2.44050898,1.95454882
-5.92196098,5.30198115,0.05778034,3.04443008,0.79637222,0.01031991,2.47989419,1.97453878
-5.91595798,5.39134885,0.06054514,3.08307221,0.81819243,0.01067085,2.51977889,1.99517463
-5.90995498,5.48235691,0.06336982,3.12321791,0.84008455,0.01102223,2.56008655,2.01650519
-5.90395198,5.57476679,0.06621556,3.16498591,0.86182691,0.01137258,2.60069817,2.03856793
-5.89794897,5.66827237,0.06904117,3.20844392,0.88319224,0.01172039,2.64144387,2.06137994
-5.89194597,5.76249015,0.07180409,3.25359238,0.90395468,0.01206405,2.68209765,2.08493017
-5.88594297,5.85695392,0.07446139,3.30035181,0.92389659,0.01240186,2.72237532,2.10917353
-5.87993997,5.95111394,0.07697088,3.34855414,0.94281509,0.01273210,2.76193578,2.13402676
-5.87393697,6.04434042,0.07929226,3.39793843,0.96052778,0.01305296,2.80038551,2.15936638
-5.86793397,6.13593096,0.08138819,3.44815078,0.97687752,0.01336263,2.83728591,2.18502846
-5.86193097,6.22512153,0.08322534,3.49874860,0.99173600,0.01365931,2.87216329,2.21081030
-5.85592796,6.31110035,0.08477532,3.54920867,1.00500614,0.01394124,2.90452093,2.23647371
-5.84992496,6.39302404,0.08601544,3.59893881,1.01662302,0.01420673,2.93385263,2.26174985
-5.84392196,6.47003556,0.08692934,3.64729246,1.02655362,0.01445417,2.95965729,2.28634523
-5.83791896,6.54128319,0.08750730,3.69358579,1.03479535,0.01468211,2.98145392,2.30994871
-5.83191596,6.60594009,0.08774646,3.73711648,1.04137351,0.01488928,2.99879639,2.33223925
-5.82591296,6.66322387,0.08765073,3.77718367,1.04633804,0.01507457,3.01128764,2.35289419
-5.81990995,6.71241568,0.08723047,3.81310834,1.04975959,0.01523711,3.01859267,2.37159767
-5.81390695,6.75287845,0.08650200,3.84425352,1.05172530,0.01537628,3.02044998,2.38804913
-5.80790395,6.78407369,0.08548693,3.87004351,1.05233451,0.01549169,3.01668123,2.40197161
-5.80190095,6.80557657,0.08421133,3.88998171,1.05169452,0.01558323,3.00719864,2.41311950
-5.79589795,6.81708871,0.08270478,3.90366634,1.04991661,0.01565104,2.99201015,2.42128567
-5.78989495,6.81844833,0.08099939,3.91080356,1.04711255,0.01569554,2.97122210,2.42630767
-5.78389195,6.80963726,0.07912881,3.91121757,1.04339145,0.01571735,2.94503936,2.42807278
-5.77788894,6.79078449,0.07712722,3.90485726,1.03885718,0.01571735,2.91376304,2.42652179
-5.77188594,6.76216580,0.07502840,3.89179916,1.03360625,0.01569658,2.87778568,2.42165121
-5.76588294,6.72419941,0.07286493,3.87224667,1.02772611,0.01565626,2.83758422,2.41351386
-5.75987994,6.67743736,0.07066744,3.84652530,1.02129381,0.01559769,2.79371086,2.40221781
-5.75387694,6.62255288,0.06846406,3.81507428,1.01437500,0.01552227,2.74678210,2.38792350
-5.74787394,6.56032395,0.06627994,3.77843481,1.00702318,0.01543139,2.69746632,2.37083927
-5.74187094,6.49161354,0.06413699,3.73723529,0.99927909,0.01532641,2.64647027,2.35121541
-5.73586793,6.41734742,0.06205368,3.69217415,0.99117045,0.01520862,2.59452487,2.32933684
-5.72986493,6.33849023,0.06004505,3.64400112,0.98271177,0.01507919,2.54237086,2.30551499
-5.72386193,6.25602115,0.05812273,3.59349755,0.97390463,0.01493910,2.49074468,2.28007902
-5.71785893,6.17091011,0.05629520,3.54145674,0.96473810,0.01478920,2.44036518,2.25336691
-5.71185593,6.08409592,0.05456796,3.48866509,0.95518975,0.01463011,2.39192141,2.22571690
-5.70585293,5.99646726,0.05294392,3.43588482,0.94522707,0.01446227,2.34606206,2.19745961
-5.69984992,5.90884761,0.05142373,3.38383902,0.93480945,0.01428594,2.30338674,2.16891131
-5.69384692,5.82198466,0.05000619,3.33319944,0.92389073,0.01410123,2.26443920,2.14036851
-5.68784392,5.73654480,0.04868866,3.28457758,0.91242225,0.01390815,2.22970285,2.11210423
-5.68184092,5.65311251,0.04746746,3.23851890,0.90035639,0.01370664,2.19959818,2.08436598
-5.67583792,5.57219452,0.04633830,3.19550044,0.88765040,0.01349668,2.17448224,2.05737525
-5.66983492,5.49422785,0.04529661,3.15593125,0.87427039,0.01327829,2.15464964,2.03132862
-5.66383192,5.41959106,0.04433794,3.12015539,0.86019519,0.01305164,2.14033491,2.00639998
-5.65782891,5.34861717,0.04345819,3.08845671,0.84542000,0.01281713,2.13171575,1.98274358
-5.65182591,5.28160715,0.04265391,3.06106491,0.82995927,0.01257538,2.12891664,1.96049755
-5.64582291,5.21884255,0.04192242,3.03816186,0.81384897,0.01232732,2.13201252,1.93978727
-5.63981991,5.16059590,0.04126197,3.01988779,0.79714767,0.01207419,2.14103201,1.92072835
-5.63381691,5.10713794,0.04067172,3.00634644,0.77993653,0.01181758,2.15596002,1.90342880
-5.62781391,5.05874074,0.04015170,2.99760879,0.76231803,0.01155933,2.17673931,1.88799000
-5.62181091,5.01567628,0.03970267,2.99371504,0.74441341,0.01130160,2.20327112,1.87450642
-5.61580790,4.97821053,0.03932593,2.99467461,0.72635901,0.01104672,2.23541469,1.86306406
-5.60980490,4.94659319,0.03902302,3.00046440,0.70830152,0.01079716,2.27298595,1.85373753
-5.60380190,4.92104395,0.03879539,3.01102526,0.69039258,0.01055544,2.31575558,1.84658619
-5.59779890,4.90173623,0.03864408,3.02625744,0.67278283,0.01032401,2.36344668,1.84164954
-5.59179590,4.88877976,0.03856926,3.04601528,0.65561595,0.01010518,2.41573260,1.83894231
-5.58579290,4.88220327,0.03856994,3.07010194,0.63902288,0.00990099,2.47223515,1.83844967
-5.57978989,4.88193906,0.03864361,3.09826480,0.62311672,0.00971315,2.53252386,1.84012301
-5.57378689,4.88781051,0.03878594,3.13019217,0.60798849,0.00954299,2.59611634,1.84387681
-5.56778389,4.89952407,0.03899065,3.16551188,0.59370420,0.00939132,2.66248039,1.84958691
-5.56178089,4.91666650,0.03924938,3.20379233,0.58030321,0.00925851,2.73103789,1.85709043
-5.55577789,4.93870822,0.03955176,3.24454620,0.56779817,0.00914441,2.80117064,1.86618767
-5.54977489,4.96501280,0.03988556,3.28723710,0.55617644,0.00904840,2.87222825,1.87664596
-5.54377189,4.99485285,0.04023701,3.33128914,0.54540304,0.00896945,2.94353800,1.88820534
-5.53776888,5.02743145,0.04059124,3.37609922,0.53542478,0.00890616,3.01441644,1.90058613
-5.53176588,5.06190871,0.04093277,3.42105174,0.52617547,0.00885688,3.08418251,1.91349783
-5.52576288,5.09743201,0.04124620,3.46553527,0.51758189,0.00881977,3.15217189,1.92664918
-5.51975988,5.13316884,0.04151690,3.50896057,0.50957006,0.00879298,3.21775210,1.93975890
-5.51375688,5.16834062,0.04173170,3.55077936,0.50207158,0.00877471,3.28033794,1.95256661
-5.50775388,5.20225606,0.04187967,3.59050298,0.49502957,0.00876334,3.33940682,1.96484342
-5.50175088,5.23434232,0.04195275,3.62772037,0.48840384,0.00875753,3.39451344,1.97640188
-5.49574787,5.26417279,0.04194641,3.66211445,0.48217514,0.00875631,3.44530328,1.98710461
-5.48974487,5.29148977,0.04186013,3.69347632,0.47634798,0.00875916,3.49152450,1.99687137
-5.48374187,5.31622127,0.04169772,3.72171656,0.47095211,0.00876602,3.53303763,2.00568423
-5.47773887,5.33849074,0.04146757,3.74687304,0.46604235,0.00877733,3.56982263,2.01359049
-5.47173587,5.35861923,0.04118264,3.76911471,0.46169690,0.00879402,3.60198298,2.02070330
-5.46573287,5.37711954,0.04086028,3.78874113,0.45801406,0.00881750,3.62974625,2.02719965
-5.45972986,5.39468245,0.04052192,3.80617738,0.45510762,0.00884955,3.65346105,2.03331609
-5.45372686,5.41215510,0.04019254,3.82196426,0.45310108,0.00889226,3.67359007,2.03934183
-5.44772386,5.43051233,0.03989997,3.83674406,0.45212100,0.00894794,3.69069918,2.04560976
-5.44172086,5.45082173,0.03967412,3.85124193,0.45228974,0.00901902,3.70544274,2.05248541
-5.43571786,5.47420362,0.03954609,3.86624351,0.45371800,0.00910788,3.71854532,2.06035435
-5.42971486,5.50178755,0.03954717,3.88256949,0.45649750,0.00921676,3.73078036,2.06960833
-5.42371186,5.53466676,0.03970786,3.90104786,0.46069418,0.00934761,3.74294633,2.08063080
-5.41770885,5.57385265,0.04005687,3.92248503,0.46634217,0.00950201,3.75584132,2.09378232
-5.41170585,5.62023106,0.04062020,3.94763683,0.47343894,0.00968102,3.77023691,2.10938643
-5.40570285,5.67452240,0.04142018,3.97718079,0.48194186,0.00988514,3.78685247,2.12771669
-5.39969985,5.73724742,0.04247475,4.01169087,0.49176626,0.01011420,3.80633109,2.14898541
-5.39369685,5.80870044,0.04379675,4.05161599,0.50278524,0.01036733,3.82921815,2.17333474
-5.38769385,5.88893125,0.04539341,4.09726325,0.51483124,0.01064298,3.85594373,2.20083052
-5.38169085,5.97773708,0.04726595,4.14878703,0.52769929,0.01093887,3.88680971,2.23145934
-5.37568784,6.07466488,0.04940940,4.20618443,0.54115182,0.01125209,3.92198229,2.26512895
-5.36968484,6.17902434,0.05181250,4.26929742,0.55492500,0.01157913,3.96149048,2.30167214
-5.36368184,6.28991107,0.05445784,4.33782172,0.56873618,0.01191597,4.00523046,2.34085392
-5.35767884,6.40623895,0.05732211,4.41132192,0.58229221,0.01225822,4.05297580,2.38238172
-5.35167584,6.52678035,0.06037653,4.48925209,0.59529830,0.01260120,4.10439284,2.42591802
-5.34567284,6.65021202,0.06358740,4.57098079,0.60746712,0.01294012,4.15906039,2.47109481
-5.33966983,6.77516462,0.06691681,4.65581893,0.61852763,0.01327021,4.21649252,2.51752900
-5.33366683,6.90027323,0.07032337,4.74304902,0.62823340,0.01358685,4.27616309,2.56483797
-5.32766383,7.02422626,0.07376319,4.83195398,0.63637003,0.01388574,4.33753050,2.61265431
-5.32166083,7.14581024,0.07719075,4.92184391,0.64276148,0.01416300,4.40006109,2.66063881
-5.31565783,7.26394815,0.08056001,5.01207908,0.64727485,0.01441532,4.46324979,2.70849106
-5.30965483,7.37772933,0.08382543,5.10208794,0.64982373,0.01464000,4.52663672,2.75595681
-5.30365183,7.48642957,0.08694303,5.19137912,0.65036978,0.01483507,4.58981875,2.80283184
-5.29764882,7.58952036,0.08987152,5.27954665,0.64892266,0.01499932,4.65245542,2.84896199
-5.29164582,7.68666719,0.09257325,5.36626845,0.64553828,0.01513228,4.71426895,2.89423948
-5.28564282,7.77771731,0.09501523,5.45129828,0.64031556,0.01523428,4.77503853,2.93859572
-5.27963982,7.86267792,0.09717002,5.53445186,0.63339175,0.01530633,4.83458952,2.98199125
-5.27363682,7.94168648,0.09901645,5.61558851,0.62493675,0.01535013,4.89277853,3.02440344
-5.26763382,8.01497532,0.10054030,5.69458960,0.61514648,0.01536792,4.94947564,3.06581301
-5.26163082,8.08283271,0.10173469,5.77133562,0.60423576,0.01536242,5.00454532,3.10619014
-5.25562781,8.14556326,0.10260041,5.84568374,0.59243089,0.01533671,5.05782765,3.14548146
-5.24962481,8.20345006,0.10314589,5.91744751,0.57996235,0.01529408,5.10912142,3.18359871
-5.24362181,8.25672101,0.10338712,5.98638048,0.56705777,0.01523791,5.15817063,3.22041004
-5.23761881,8.30552146,0.10334717,6.05216505,0.55393559,0.01517158,5.20465571,3.25573470
-5.23161581,8.34989481,0.10305559,6.11440751,0.54079947,0.01509832,5.24819024,3.28934148
-5.22561281,8.38977206,0.10254758,6.17263998,0.52783369,0.01502110,5.28832392,3.32095127
-5.21960980,8.42497103,0.10186289,6.22632917,0.51519972,0.01494257,5.32455170,3.35024361
-5.21360680,8.45520473,0.10104461,6.27489172,0.50303387,0.01486499,5.35632883,3.37686695
-5.20760380,8.48009852,0.10013783,6.31771516,0.49144620,0.01479016,5.38309117,3.40045204
-5.20160080,8.49921446,0.09918814,6.35418331,0.48052049,0.01471943,5.40427932,3.42062768
-5.19559780,8.51208132,0.09824017,6.38370454,0.47031531,0.01465367,5.41936551,3.43703791
-5.18959480,8.51822805,0.09733607,6.40574120,0.46086595,0.01459331,5.42788138,3.44935960
-5.18359180,8.51721868,0.09651410,6.41983831,0.45218714,0.01453836,5.42944503,3.45731937
-5.17758879,8.50868634,0.09580735,6.42564989,0.44427632,0.01448850,5.42378568,3.46070892
-5.17158579,8.49236434,0.09524261,6.42296119,0.43711725,0.01444312,5.41076444,3.45939771
-5.16558279,8.46811256,0.09483953,6.41170566,0.43068390,0.01440139,5.39038986,3.45334256
-5.15957979,8.43593778,0.09460997,6.39197557,0.42494419,0.01436239,5.36282744,3.44259326
-5.15357679,8.39600687,0.09455773,6.36402592,0.41986368,0.01432512,5.32840243,3.42729438
-5.14757379,8.34865253,0.09467853,6.32827131,0.41540890,0.01428868,5.28759585,3.40768280
-5.14157079,8.29437149,0.09496040,6.28527641,0.41155022,0.01425224,5.24103402,3.38408162
-5.13556778,8.23381578,0.09538427,6.23574037,0.40826425,0.01421521,5.18947224,3.35689050
-5.12956478,8.16777774,0.09592494,6.18047652,0.40553566,0.01417721,5.13377361,3.32657334
-5.12356178,8.09717023,0.09655225,6.12038840,0.40335838,0.01413818,5.07488417,3.29364383
-5.11755878,8.02300312,0.09723243,6.05644364,0.40173630,0.01409838,5.01380582,3.25864985
-5.11155578,7.94635760,0.09792961,5.98964691,0.40068340,0.01405840,4.95156837,3.22215741
-5.10555278,7.86835970,0.09860740,5.92101352,0.40022339,0.01401920,4.88920215,3.18473494
-5.09954977,7.79015418,0.09923040,5.85154454,0.40038893,0.01398207,4.82771234,3.14693868
-5.09354677,7.71287988,0.09976567,5.78220463,0.40122059,0.01394862,4.76805612,3.10929969
-5.08754377,7.63764714,0.10018406,5.71390306,0.40276543,0.01392074,4.71112344,3.07231282
-5.08154077,7.56551793,0.10046129,5.64747834,0.40507543,0.01390057,4.65772165,3.03642799
-5.07553777,7.49748863,0.10057880,5.58368654,0.40820582,0.01389042,4.60856443,3.00204371
-5.06953477,7.43447542,0.10052429,5.52319306,0.41221320,0.01389274,4.56426459,2.96950290
-5.06353177,7.37730198,0.10029193,5.46656750,0.41715365,0.01391003,4.52533050,2.93909063
-5.05752876,7.32668905,0.09988231,5.41428102,0.42308077,0.01394477,4.49216555,2.91103358
-5.05152576,7.28324516,0.09930200,5.36670555,0.43004359,0.01399936,4.46506980,2.88550082
