energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.94624979,0.41292830,0.00955673,0.00400008,3.53526102,3.05045872,1.71588182
-5.99399700,4.90841458,0.40594537,0.00954613,0.00394577,3.51327773,3.04322461,1.70101439
-5.98799400,4.85322969,0.39691843,0.00949779,0.00386958,3.47946528,3.02510911,1.68057108
-5.98199100,4.78193035,0.38600918,0.00941250,0.00377308,3.43467718,2.99710532,1.65510273
-5.97598799,4.69624323,0.37342460,0.00929201,0.00365830,3.38011703,2.96055308,1.62531932
-5.96998499,4.59836050,0.35941149,0.00913898,0.00352764,3.31732275,2.91711546,1.59207929
-5.96398199,4.49089651,0.34424993,0.00895694,0.00338382,3.24813823,2.86874318,1.55637310
-5.95797899,4.37682836,0.32824572,0.00875016,0.00322983,3.17467296,2.81762817,1.51930168
-5.95197599,4.25942233,0.31172225,0.00852354,0.00306882,3.09925087,2.76614741,1.48205017
-5.94597299,4.14214853,0.29501195,0.00828248,0.00290407,3.02435016,2.71679911,1.44585777
-5.93996998,4.02858671,0.27844773,0.00803268,0.00273885,2.95253593,2.67213301,1.41198473
-5.93396698,3.92232649,0.26235455,0.00778005,0.00257638,2.88638802,2.63467707,1.38167745
-5.92796398,3.82686508,0.24704162,0.00753046,0.00241975,2.82842634,2.60686295,1.35613279
-5.92196098,3.74550612,0.23279507,0.00728965,0.00227181,2.78103622,2.59095244,1.33646281
-5.91595798,3.68126253,0.21987167,0.00706306,0.00213516,2.74639610,2.58896716,1.32366099
-5.90995498,3.63676659,0.20849338,0.00685568,0.00201208,2.72640985,2.60262362,1.31857105
-5.90395198,3.61418985,0.19884305,0.00667196,0.00190445,2.72264588,2.63327567,1.32185937
-5.89794897,3.61517512,0.19106129,0.00651568,0.00181377,2.73628477,2.68186581,1.33399189
-5.89194597,3.64078259,0.18524434,0.00638991,0.00174109,2.76807709,2.74888713,1.35521611
-5.88594297,3.69145157,0.18144327,0.00629688,0.00168703,2.81831259,2.83435677,1.38554904
-5.87993997,3.76697881,0.17966418,0.00623802,0.00165178,2.88680177,2.93780199,1.42477121
-5.87393697,3.86651410,0.17986945,0.00621389,0.00163511,2.97287040,3.05825927,1.47242724
-5.86793397,3.98857334,0.18198006,0.00622419,0.00163635,3.07536721,3.19428672,1.52783287
-5.86193097,4.13106875,0.18587881,0.00626777,0.00165450,3.19268475,3.34398972,1.59008839
-5.85592796,4.29135548,0.19141427,0.00634269,0.00168819,3.32279283,3.50505923,1.65809813
-5.84992496,4.46629356,0.19840561,0.00644626,0.00173577,3.46328397,3.67482198,1.73059557
-5.84392196,4.65232354,0.20664788,0.00657510,0.00179536,3.61142949,3.85030140,1.80617330
-5.83791896,4.84555375,0.21591782,0.00672524,0.00186487,3.76424492,4.02828765,1.88331707
-5.83191596,5.04185696,0.22597995,0.00689220,0.00194211,3.91856296,4.20541486,1.96044300
-5.82591296,5.23697357,0.23659279,0.00707113,0.00202481,4.07111191,4.37824359,2.03593678
-5.81990995,5.42661843,0.24751504,0.00725691,0.00211069,4.21859723,4.54334583,2.10819368
-5.81390695,5.60658802,0.25851145,0.00744428,0.00219751,4.35778403,4.69739024,2.17565833
-5.80790395,5.77286481,0.26935838,0.00762797,0.00228316,4.48557772,4.83722481,2.23686276
-5.80190095,5.92171546,0.27984861,0.00780283,0.00236565,4.59910051,4.95995442,2.29046190
-5.79589795,6.04977984,0.28979543,0.00796395,0.00244320,4.69576122,5.06301077,2.33526502
-5.78989495,6.15414804,0.29903582,0.00810680,0.00251423,4.77331635,5.14421245,2.37026254
-5.78389195,6.23242297,0.30743254,0.00822728,0.00257744,4.82992033,5.20181322,2.39464721
-5.77788894,6.28276671,0.31487520,0.00832186,0.00263176,4.86416357,5.23453715,2.40782909
-5.77188594,6.30392946,0.32128024,0.00838765,0.00267639,4.87509722,5.24159941,2.40944404
-5.76588294,6.29526038,0.32658988,0.00842238,0.00271081,4.86224404,5.22271263,2.39935567
-5.75987994,6.25670066,0.33077014,0.00842452,0.00273471,4.82559541,5.17807871,2.37765069
-5.75387694,6.18875973,0.33380816,0.00839321,0.00274802,4.76559504,5.10836693,2.34462833
-5.74787394,6.09247596,0.33570888,0.00832828,0.00275088,4.68311033,5.01467965,2.30078418
-5.74187094,5.96936423,0.33649147,0.00823019,0.00274356,4.57939296,4.89850725,2.24678944
-5.73586793,5.82135274,0.33618560,0.00810002,0.00272647,4.45603050,4.76167432,2.18346635
-5.72986493,5.65071209,0.33482795,0.00793933,0.00270013,4.31489121,4.60627959,2.11176096
-5.72386193,5.45997965,0.33245894,0.00775017,0.00266510,4.15806436,4.43463186,2.03271428
-5.71785893,5.25188221,0.32912019,0.00753491,0.00262198,3.98779832,4.24918449,1.94743287
-5.71185593,5.02925996,0.32485244,0.00729624,0.00257139,3.80643881,4.05247088,1.85705984
-5.70585293,4.79499416,0.31969447,0.00703700,0.00251391,3.61636943,3.84704289,1.76274732
-5.69984992,4.55194109,0.31368256,0.00676020,0.00245013,3.41995615,3.63541423,1.66563107
-5.69384692,4.30287359,0.30685089,0.00646885,0.00238060,3.21949758,3.42001018,1.56680791
-5.68784392,4.05043172,0.29923246,0.00616598,0.00230582,3.01718191,3.20312476,1.46731641
-5.68184092,3.79708310,0.29086052,0.00585453,0.00222629,2.81505144,2.98688602,1.36812112
-5.67583792,3.54509302,0.28177036,0.00553734,0.00214248,2.61497497,2.77322969,1.27010052
-5.66983492,3.29650412,0.27200122,0.00521713,0.00205487,2.41862818,2.56388102,1.17403855
-5.66383192,3.05312491,0.26159810,0.00489644,0.00196390,2.22748151,2.36034445,1.08061951
-5.65782891,2.81652612,0.25061331,0.00457765,0.00187008,2.04279512,2.16390028,0.99042618
-5.65182591,2.58804371,0.23910771,0.00426294,0.00177390,1.86561993,1.97560765,0.90394066
-5.64582291,2.36878725,0.22715124,0.00395432,0.00167590,1.69680396,1.79631249,0.82154746
-5.63981991,2.15965236,0.21482303,0.00365362,0.00157665,1.53700296,1.62665971,0.74353857
-5.63381691,1.96133595,0.20221072,0.00336249,0.00147674,1.38669409,1.46710836,0.67011983
-5.62781391,1.77435312,0.18940931,0.00308240,0.00137680,1.24619199,1.31794875,0.60141838
-5.62181091,1.59905484,0.17651936,0.00281464,0.00127748,1.11566598,1.17932076,0.53749065
-5.61580790,1.43564553,0.16364480,0.00256035,0.00117942,0.99515796,1.05123250,0.47833060
-5.60980490,1.28420004,0.15089045,0.00232049,0.00108328,0.88459997,0.93357862,0.42387804
-5.60380190,1.14467962,0.13835937,0.00209587,0.00098967,0.78383118,0.82615784,0.37402662
-5.59779890,1.01694659,0.12615018,0.00188712,0.00089918,0.69261371,0.72868935,0.32863151
-5.59179590,0.90077766,0.11435458,0.00169472,0.00081235,0.61064707,0.64082779,0.28751652
-5.58579290,0.79587587,0.10305511,0.00151901,0.00072965,0.53758105,0.56217669,0.25048068
-5.57978989,0.70188121,0.09232326,0.00136016,0.00065150,0.47302691,0.49230034,0.21730425
-5.57378689,0.61838004,0.08221812,0.00121817,0.00057820,0.41656694,0.43073403,0.18775408
-5.56778389,0.54491340,0.07278545,0.00109292,0.00050999,0.36776235,0.37699280,0.16158841
-5.56178089,0.48098438,0.06405731,0.00098414,0.00044701,0.32615969,0.33057881,0.13856108
-5.55577789,0.42606462,0.05605218,0.00089142,0.00038932,0.29129579,0.29098728,0.11842524
-5.54977489,0.37960009,0.04877555,0.00081421,0.00033690,0.26270152,0.25771141,0.10093651
-5.54377189,0.34101623,0.04222085,0.00075185,0.00028965,0.23990445,0.23024614,0.08585571
-5.53776888,0.30972256,0.03637082,0.00070356,0.00024739,0.22243066,0.20809111,0.07295113
-5.53176588,0.28511682,0.03119897,0.00066846,0.00020991,0.20980591,0.19075295,0.06200042
-5.52576288,0.26658890,0.02667136,0.00064556,0.00017694,0.20155631,0.17774691,0.05279209
-5.51975988,0.25352441,0.02274831,0.00063380,0.00014817,0.19720890,0.16859825,0.04512670
-5.51375688,0.24530829,0.01938623,0.00063204,0.00012328,0.19629214,0.16284335,0.03881769
-5.50775388,0.24132849,0.01653935,0.00063908,0.00010194,0.19833668,0.16003086,0.03369204
-5.50175088,0.24097980,0.01416136,0.00065369,0.00008380,0.20287656,0.15972287,0.02959064
-5.49574787,0.24366801,0.01220694,0.00067459,0.00006853,0.20945096,0.16149645,0.02636847
