energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,1.50523173,0.00394050,0.14489437,0.30869779,0.51053729,0.40145564,0.35492962,0.00850261,0.54822571
-5.99399700,1.47178199,0.00396375,0.14204952,0.30336082,0.50126697,0.39216337,0.34448419,0.00902141,0.53308018
-5.98799400,1.44148754,0.00399624,0.13988743,0.29864538,0.49266565,0.38416200,0.33501024,0.00962453,0.51858379
-5.98199100,1.41492314,0.00403305,0.13849871,0.29463213,0.48487767,0.37765791,0.32668926,0.01031492,0.50490471
-5.97598799,1.39261515,0.00406968,0.13795797,0.29139979,0.47804313,0.37282639,0.31968267,0.01109347,0.49220653
-5.96998499,1.37502937,0.00410207,0.13832064,0.28902417,0.47229637,0.36980563,0.31412697,0.01195881,0.48064596
-5.96398199,1.36256231,0.00412673,0.13962042,0.28757753,0.46776502,0.36869216,0.31013023,0.01290710,0.47037144
-5.95797899,1.35553559,0.00414071,0.14186749,0.28712824,0.46456964,0.36953775,0.30776976,0.01393189,0.46152248
-5.95197599,1.35419300,0.00414168,0.14504761,0.28774060,0.46282360,0.37234770,0.30709098,0.01502416,0.45422938
-5.94597299,1.35869972,0.00412791,0.14912204,0.28947443,0.46263300,0.37708059,0.30810736,0.01617235,0.44861310
-5.93996998,1.36914300,0.00409828,0.15402829,0.29238460,0.46409651,0.38364924,0.31080129,0.01736254,0.44478481
-5.93396698,1.38553395,0.00405225,0.15968162,0.29652005,0.46730487,0.39192293,0.31512576,0.01857873,0.44284518
-5.92796398,1.40780980,0.00398986,0.16597731,0.30192246,0.47233994,0.40173066,0.32100663,0.01980319,0.44288298
-5.92196098,1.43583639,0.00391163,0.17279353,0.30862438,0.47927338,0.41286534,0.32834534,0.02101689,0.44497306
-5.91595798,1.46941065,0.00381852,0.17999473,0.31664697,0.48816470,0.42508879,0.33702197,0.02220004,0.44917371
-5.90995498,1.50826297,0.00371187,0.18743546,0.32599727,0.49905899,0.43813752,0.34689842,0.02333263,0.45552340
-5.90395198,1.55205956,0.00359330,0.19496447,0.33666536,0.51198431,0.45172900,0.35782166,0.02439502,0.46403728
-5.89794897,1.60040489,0.00346463,0.20242890,0.34862137,0.52694891,0.46556845,0.36962690,0.02536854,0.47470348
-5.89194597,1.65284447,0.00332781,0.20967854,0.36181268,0.54393844,0.47935597,0.38214072,0.02623606,0.48747969
-5.88594297,1.70886833,0.00318483,0.21656996,0.37616147,0.56291340,0.49279393,0.39518395,0.02698251,0.50229016
-5.87993997,1.76791533,0.00303763,0.22297037,0.39156288,0.58380694,0.50559444,0.40857449,0.02759537,0.51902356
-5.87393697,1.82937872,0.00288809,0.22876113,0.40788395,0.60652326,0.51748678,0.42212989,0.02806500,0.53753184
-5.86793397,1.89261307,0.00273790,0.23384088,0.42496358,0.63093664,0.52822472,0.43566982,0.02838494,0.55763040
-5.86193097,1.95694279,0.00258859,0.23812809,0.44261358,0.65689138,0.53759343,0.44901842,0.02855206,0.57909965
-5.85592796,2.02167227,0.00244147,0.24156312,0.46062094,0.68420257,0.54541598,0.46200666,0.02856662,0.60168809
-5.84992496,2.08609761,0.00229763,0.24410965,0.47875132,0.71265786,0.55155916,0.47447456,0.02843216,0.62511676
-5.84392196,2.14951982,0.00215790,0.24575558,0.49675378,0.74202011,0.55593845,0.48627358,0.02815538,0.64908507
-5.83791896,2.21125921,0.00202293,0.24651332,0.51436653,0.77203104,0.55852215,0.49726897,0.02774581,0.67327780
-5.83191596,2.27067067,0.00189315,0.24641961,0.53132367,0.80241556,0.55933425,0.50734224,0.02721553,0.69737299
-5.82591296,2.32715944,0.00176882,0.24553479,0.54736265,0.83288705,0.55845617,0.51639372,0.02657868,0.72105039
-5.81990995,2.38019678,0.00165006,0.24394162,0.56223208,0.86315306,0.55602707,0.52434505,0.02585109,0.74400019
-5.81390695,2.42933506,0.00153687,0.24174374,0.57569976,0.89292153,0.55224285,0.53114175,0.02504980,0.76593169
-5.80790395,2.47422166,0.00142918,0.23906375,0.58756044,0.92190732,0.54735348,0.53675552,0.02419260,0.78658138
-5.80190095,2.51461089,0.00132686,0.23604091,0.59764302,0.94983871,0.54165891,0.54118634,0.02329761,0.80572031
-5.79589795,2.55037352,0.00122976,0.23282863,0.60581687,0.97646385,0.53550342,0.54446408,0.02238285,0.82316026
-5.78989495,2.58150309,0.00113773,0.22959157,0.61199692,1.00155670,0.52926849,0.54664951,0.02146596,0.83875850
-5.78389195,2.60811850,0.00105064,0.22650252,0.61614721,1.02492248,0.52336420,0.54783452,0.02056381,0.85242085
-5.77788894,2.63046247,0.00096839,0.22373898,0.61828272,1.04640208,0.51821936,0.54814143,0.01969234,0.86410305
-5.77188594,2.64889539,0.00089091,0.22147952,0.61846934,1.06587552,0.51427051,0.54772110,0.01886626,0.87381002
-5.76588294,2.66388444,0.00081817,0.21989982,0.61682178,1.08326402,0.51195000,0.54675002,0.01809898,0.88159341
