energy_ev,total_up,Bi_p_up,Bi_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.75813695,0.74097898,0.01003804,0.81754589,1.44247564,0.80648685,0.00000000
-5.99399700,2.86411868,0.76826521,0.01038420,0.84970478,1.49963837,0.83613656,0.00000000
-5.98799400,2.96726219,0.79593838,0.01074236,0.88227725,1.55472044,0.86376747,0.00000000
-5.98199100,3.06519451,0.82307412,0.01109950,0.91431522,1.60651311,0.88912650,0.00000000
-5.97598799,3.15575568,0.84877823,0.01144299,0.94493124,1.65391151,0.91206362,0.00000000
-5.96998499,3.23706076,0.87221087,0.01176096,0.97332309,1.69594680,0.93253698,0.00000000
-5.96398199,3.30755465,0.89260979,0.01204260,0.99879697,1.73181478,0.95061403,0.00000000
-5.95797899,3.36605761,0.90931193,0.01227842,1.02078836,1.76089985,0.96646865,0.00000000
-5.95197599,3.41179955,0.92177260,0.01246050,1.03887986,1.78279331,0.98037399,0.00000000
-5.94597299,3.44444175,0.92958142,0.01258268,1.05281509,1.79730542,0.99269154,0.00000000
-5.93996998,3.46408513,0.93247449,0.01264069,1.06250823,1.80447063,1.00385642,0.00000000
-5.93396698,3.47126443,0.93034230,0.01263224,1.06804855,1.80454593,1.01435979,0.00000000
-5.92796398,3.46692885,0.92323305,0.01255698,1.06969988,1.79800238,1.02472873,0.00000000
-5.92196098,3.45240980,0.91135131,0.01241645,1.06789480,1.78551024,1.03550468,0.00000000
-5.91595798,3.42937716,0.89505204,0.01221401,1.06322389,1.76791859,1.04722111,0.00000000
-5.90995498,3.39978605,0.87483040,0.01195460,1.05642025,1.74623014,1.06038162,0.00000000
-5.90395198,3.36581625,0.85130761,0.01164455,1.04834004,1.72157263,1.07543925,0.00000000
-5.89794897,3.32980693,0.82521362,0.01129132,1.03993969,1.69516787,1.09277789,0.00000000
-5.89194597,3.29418932,0.79736718,0.01090323,1.03225049,1.66829982,1.11269691,0.00000000
-5.88594297,3.26141983,0.76865422,0.01048917,1.02635171,1.64228293,1.13539925,0.00000000
-5.87993997,3.23391632,0.74000514,0.01005830,1.02334295,1.61843183,1.16098400,0.00000000
