energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
5.20760380,0.54710982,0.11073960,0.00001064,0.03979495,0.09465673,0.31541032,0.20955071
5.21360680,0.56111375,0.12672173,0.00001211,0.04082130,0.09533477,0.33157486,0.21643361
5.21960980,0.58434149,0.14546819,0.00001382,0.04209207,0.09817779,0.35414389,0.22799332
5.22561281,0.61706111,0.16706737,0.00001579,0.04364510,0.10319828,0.38323239,0.24426824
5.23161581,0.65943889,0.19157147,0.00001803,0.04551286,0.11039265,0.41888401,0.26524577
5.23761881,0.71152053,0.21898768,0.00002053,0.04772056,0.11973920,0.46105651,0.29085685
5.24362181,0.77321226,0.24926962,0.00002331,0.05028441,0.13119570,0.50960733,0.32097013
5.24962481,0.84426279,0.28230947,0.00002636,0.05321003,0.14469686,0.56428009,0.35538632
5.25562781,0.92424725,0.31793127,0.00002967,0.05649130,0.16015169,0.62469289,0.39383313
5.26163082,1.01255437,0.35588589,0.00003322,0.06010943,0.17744113,0.69032928,0.43596128
5.26763382,1.10837802,0.39584802,0.00003699,0.06403254,0.19641603,0.76053297,0.48134216
5.27363682,1.21071419,0.43741585,0.00004094,0.06821571,0.21689579,0.83450675,0.52946754
5.27963982,1.31836447,0.48011343,0.00004503,0.07260156,0.23866772,0.91131674,0.57975197
5.28564282,1.42994658,0.52339622,0.00004921,0.07712120,0.26148761,0.98990199,0.63153788
5.29164582,1.54391236,0.56665974,0.00005344,0.08169590,0.28508121,1.06909009,0.68410392
5.29764882,1.65857329,0.60925135,0.00005764,0.08623898,0.30914720,1.14761834,0.73667627
5.30365183,1.77213314,0.65048485,0.00006176,0.09065826,0.33336118,1.22416035,0.78844300
5.30965483,1.88272693,0.68965748,0.00006572,0.09485875,0.35738110,1.29735731,0.83857096
5.31565783,1.98846505,0.72606885,0.00006946,0.09874557,0.38085363,1.36585283,0.88622492
5.32166083,2.08748114,0.75904100,0.00007291,0.10222694,0.40342153,1.42833022,0.93058804
5.32766383,2.17798168,0.78793882,0.00007600,0.10521720,0.42473170,1.48355060,0.97088312
5.33366683,2.25829564,0.81218999,0.00007867,0.10763964,0.44444360,1.53039030,1.00639368
5.33966983,2.32692183,0.83130347,0.00008088,0.10942904,0.46223768,1.56787590,1.03648386
5.34567284,2.38257210,0.84488583,0.00008257,0.11053390,0.47782362,1.59521526,1.06061649
5.35167584,2.42420840,0.85265444,0.00008371,0.11091811,0.49094786,1.61182304,1.07836829
5.35767884,2.45107212,0.85444716,0.00008428,0.11056211,0.50140017,1.61733961,1.08944166
5.36368184,2.46270434,0.85022778,0.00008427,0.10946345,0.50901908,1.61164226,1.09367237
5.36968484,2.45895615,0.84008714,0.00008368,0.10763670,0.51369568,1.59484829,1.09103301
5.37568784,2.43998871,0.82423980,0.00008252,0.10511280,0.51537596,1.56730973,1.08163181
5.38169085,2.40626301,0.80301641,0.00008082,0.10193779,0.51406133,1.52960001,1.06570712
5.38769385,2.35852005,0.77685220,0.00007861,0.09817106,0.50980749,1.48249320,1.04361775
5.39369685,2.29775236,0.74627208,0.00007594,0.09388319,0.50272164,1.42693683,1.01582961
