energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,6.66497310,0.03983801,0.64720431,0.70594082,0.28287283,2.98396338,2.86049375,0.06939616,2.89730438
-5.99399700,6.82346959,0.04073058,0.67013276,0.72336074,0.29045697,3.06877690,2.93619282,0.07095108,2.95703374
-5.98799400,6.98137836,0.04162492,0.69387282,0.73987548,0.29817144,3.15492072,3.01285191,0.07249484,3.01550275
-5.98199100,7.13672869,0.04251574,0.71822338,0.75521842,0.30594705,3.24135731,3.08958268,0.07399980,3.07188041
-5.97598799,7.28760154,0.04339828,0.74298467,0.76914071,0.31371208,3.32705785,3.16551163,0.07543881,3.12536359
-5.96998499,7.43216866,0.04426824,0.76795995,0.78141764,0.32139335,3.41102028,3.23979783,0.07678588,3.17519618
-5.96398199,7.56872641,0.04512160,0.79295622,0.79185430,0.32891737,3.49228507,3.31164783,0.07801683,3.22068664
-5.95797899,7.69572379,0.04595446,0.81778413,0.80029026,0.33621152,3.56994854,3.38032753,0.07910977,3.26122341
-5.95197599,7.81178463,0.04676282,0.84225726,0.80660337,0.34320524,3.64317397,3.44517091,0.08004561,3.29628790
-5.94597299,7.91572405,0.04754244,0.86619096,0.81071250,0.34983127,3.71120061,3.50558605,0.08080844,3.32546498
-5.93996998,8.00655971,0.04828861,0.88940109,0.81257930,0.35602684,3.77335089,3.56105855,0.08138575,3.34845071
-5.93396698,8.08351839,0.04899607,0.91170278,0.81220892,0.36173491,3.82903610,3.61115295,0.08176867,3.36505742
-5.92796398,8.14603864,0.04965888,0.93290972,0.80964977,0.36690537,3.87776102,3.65551257,0.08195204,3.37521605
-5.92196098,8.19377027,0.05027047,0.95283392,0.80499227,0.37149613,3.91912749,3.69385848,0.08193443,3.37897600
-5.91595798,8.22657135,0.05082358,0.97128645,0.79836681,0.37547418,3.95283746,3.72598788,0.08171806,3.37650237
-5.90995498,8.24450317,0.05131044,0.98807895,0.78994077,0.37881649,3.97869531,3.75177241,0.08130864,3.36807093
-5.90395198,8.24782370,0.05172290,1.00302628,0.77991479,0.38151077,3.99660967,3.77115670,0.08071516,3.35406087
-5.89794897,8.23697972,0.05205264,1.01595003,0.76851841,0.38355592,4.00659462,3.78415729,0.07994961,3.33494547
-5.89194597,8.21259752,0.05229145,1.02668288,0.75600497,0.38496240,4.00876992,3.79086181,0.07902662,3.31128089
-5.88594297,8.17547223,0.05243151,1.03507365,0.74264604,0.38575214,4.00336030,3.79142845,0.07796312,3.28369335
-5.87993997,8.12655535,0.05246568,1.04099269,0.72872545,0.38595827,3.99069329,3.78608531,0.07677789,3.25286471
-5.87393697,8.06694021,0.05238782,1.04433735,0.71453292,0.38562445,3.97119540,3.77512931,0.07549114,3.21951690
-5.86793397,7.99784502,0.05219305,1.04503723,0.70035758,0.38480394,3.94538632,3.75892418,0.07412406,3.18439542
-5.86193097,7.92059308,0.05187801,1.04305876,0.68648143,0.38355828,3.91387102,3.73789725,0.07269833,3.14825212
-5.85592796,7.83659015,0.05144106,1.03840888,0.67317293,0.38195571,3.87732944,3.71253440,0.07123567,3.11182775
-5.84992496,7.74729874,0.05088243,1.03113746,0.66068085,0.38006936,3.83650379,3.68337310,0.06975743,3.07583459
-5.84392196,7.65420952,0.05020428,1.02133826,0.64922864,0.37797521,3.79218364,3.65099321,0.06828409,3.04093961
-5.83791896,7.55881025,0.04941072,1.00914823,0.63900928,0.37574985,3.74518880,3.61600550,0.06683493,3.00774854
-5.83191596,7.46255282,0.04850778,0.99474518,0.63018101,0.37346821,3.69635045,3.57903811,0.06542764,2.97679130
-5.82591296,7.36681907,0.04750325,0.97834366,0.62286387,0.37120125,3.64649092,3.54072113,0.06407798,2.94850909
-5.81990995,7.27288645,0.04640653,0.96018932,0.61713716,0.36901370,3.59640264,3.50166978,0.06279953,2.92324372
-5.81390695,7.18189460,0.04522841,0.94055198,0.61303800,0.36696190,3.54682701,3.46246683,0.06160347,2.90122917
-5.80790395,7.09481400,0.04398078,0.91971747,0.61056096,0.36509190,3.49843373,3.42364489,0.06049839,2.88258589
-5.80190095,7.01241792,0.04267637,0.89797886,0.60965860,0.36343775,3.45180146,3.38566932,0.05949017,2.86731790
-5.79589795,6.93525887,0.04132839,0.87562735,0.61024325,0.36202019,3.40740051,3.34892260,0.05858196,2.85531275
-5.78989495,6.86365064,0.03995029,0.85294315,0.61218951,0.36084563,3.36557836,3.31369086,0.05777414,2.84634443
-5.78389195,6.79765695,0.03855540,0.83018697,0.61533778,0.35990569,3.32654858,3.28015339,0.05706444,2.84007920
-5.77788894,6.73708746,0.03715666,0.80759230,0.61949845,0.35917710,3.29038388,3.24837558,0.05644799,2.83608415
-5.77188594,6.68150180,0.03576633,0.78535905,0.62445675,0.35862217,3.25701369,3.21830593,0.05591760,2.83383842
-5.76588294,6.63022194,0.03439581,0.76364858,0.62997811,0.35818974,3.22622669,3.18977740,0.05546394,2.83274685
-5.75987994,6.58235299,0.03305540,0.74258063,0.63581389,0.35781670,3.19767847,3.16251324,0.05507590,2.83215583
-5.75387694,6.53681230,0.03175418,0.72223201,0.64170741,0.35742997,3.17090438,3.13613738,0.05474097,2.83137104
-5.74787394,6.49236625,0.03049988,0.70263729,0.64740012,0.35694900,3.14533728,3.11018903,0.05444566,2.82967692
-5.74187094,6.44767411,0.02929883,0.68379125,0.65263783,0.35628867,3.12032997,3.08414135,0.05417601,2.82635738
-5.73586793,6.40133783,0.02815596,0.66565320,0.65717691,0.35536258,3.09518164,3.05742335,0.05391814,2.82071744
-5.72986493,6.35195631,0.02707484,0.64815266,0.66079033,0.35408658,3.06916754,3.02944459,0.05365880,2.81210542
-5.72386193,6.29818277,0.02605774,0.63119630,0.66327351,0.35238248,3.04157099,2.99962171,0.05338596,2.79993518
-5.71785893,6.23878311,0.02510576,0.61467581,0.66444984,0.35018180,3.01171652,2.96740582,0.05308944,2.78370785
-5.71185593,6.17269347,0.02421902,0.59847617,0.66417572,0.34742942,2.97900306,2.93230986,0.05276145,2.76303248
-5.70585293,6.09907473,0.02339680,0.58248405,0.66234514,0.34408696,2.94293566,2.89393471,0.05239711,2.73764497
-5.69984992,6.01736168,0.02263776,0.56659596,0.65889345,0.34013576,2.90315463,2.85199307,0.05199495,2.70742458
-5.69384692,5.92730492,0.02194020,0.55072573,0.65380048,0.33557934,2.85946065,2.80633009,0.05155720,2.67240724
-5.68784392,5.82900325,0.02130220,0.53481091,0.64709253,0.33044513,2.81183474,2.75693967,0.05109009,2.63279512
-5.68184092,5.72292481,0.02072194,0.51881803,0.63884340,0.32478544,2.76045198,2.70397573,0.05060387,2.58896161
-5.67583792,5.60991559,0.02019779,0.50274624,0.62917412,0.31867746,2.70568825,2.64775782,0.05011279,2.54145128
-5.66983492,5.49119421,0.01972853,0.48662943,0.61825136,0.31222242,2.64811928,2.58877039,0.04963479,2.49097429
-5.66383192,5.36833245,0.01931349,0.47053654,0.60628448,0.30554364,2.58851195,2.52765587,0.04919108,2.43839504
-5.65782891,5.24322163,0.01895259,0.45457027,0.59352111,0.29878373,2.52780768,2.46520131,0.04880550,2.38471504
-5.65182591,5.11802557,0.01864640,0.43886415,0.58024134,0.29210087,2.46709852,2.40231915,0.04850375,2.33105008
-5.64582291,4.99512135,0.01839611,0.42357819,0.56675063,0.28566427,2.40759659,2.34002267,0.04831241,2.27860229
-5.63981991,4.87702993,0.01820345,0.40889335,0.55337155,0.27964901,2.35059793,2.27939694,0.04825789,2.22862774
-5.63381691,4.76633899,0.01807060,0.39500509,0.54043458,0.27423048,2.29744209,2.22156657,0.04836530,2.18240054
-5.62781391,4.66562090,0.01800001,0.38211626,0.52826827,0.26957845,2.24946905,2.16766140,0.04865728,2.14117476
-5.62181091,4.57734922,0.01799421,0.37042978,0.51718910,0.26585126,2.20797504,2.11878161,0.04915281,2.10614540
-5.61580790,4.50381686,0.01805557,0.36014136,0.50749141,0.26319004,2.17416914,2.07596376,0.04986617,2.07841003
-5.60980490,4.44705960,0.01818614,0.35143256,0.49943773,0.26171355,2.14913228,2.04014917,0.05080594,2.05893257
-5.60380190,4.40878810,0.01838737,0.34446454,0.49325002,0.26151355,2.13378033,2.01215599,0.05197425,2.04851089
-5.59779890,4.39033123,0.01865994,0.33937280,0.48910218,0.26265106,2.12883283,1.99265620,0.05336617,2.04774949
-5.59179590,4.39259344,0.01900357,0.33626289,0.48711404,0.26515364,2.13478843,1.98215843,0.05496944,2.05703863
-5.58579290,4.41602769,0.01941691,0.33520753,0.48734732,0.26901380,2.15190811,1.98099728,0.05676443,2.07654089
-5.57978989,4.46062534,0.01989742,0.33624491,0.48980363,0.27418862,2.18020669,1.98932953,0.05872438,2.10618578
-5.57378689,4.52592309,0.02044139,0.33937839,0.49442466,0.28060066,2.21945298,2.00713711,0.06081599,2.14567286
-5.56778389,4.61102672,0.02104391,0.34457745,0.50109460,0.28814000,2.26917827,2.03423660,0.06300026,2.19448319
-5.56178089,4.71465011,0.02169898,0.35177974,0.50964468,0.29666751,2.32869276,2.07029451,0.06523359,2.25189870
-5.55577789,4.83516782,0.02239966,0.36089416,0.51985968,0.30601912,2.39710919,2.11484741,0.06746907,2.31702864
-5.54977489,4.97067834,0.02313820,0.37180465,0.53148606,0.31601093,2.47337225,2.16732566,0.06965800,2.38884196
-5.54377189,5.11907508,0.02390630,0.38437453,0.54424144,0.32644500,2.55629276,2.22707935,0.07175144,2.46620411
-5.53776888,5.27812140,0.02469530,0.39845119,0.55782484,0.33711560,2.64458484,2.29340507,0.07370181,2.54791650
-5.53176588,5.44552630,0.02549650,0.41387072,0.57192743,0.34781555,2.73690453,2.36557194,0.07546450,2.63275690
-5.52576288,5.61901690,0.02630133,0.43046247,0.58624312,0.35834259,2.83188826,2.44284547,0.07699934,2.71951874
-5.51975988,5.79640452,0.02710166,0.44805317,0.60047851,0.36850538,2.92818950,2.52450813,0.07827189,2.80704761
-5.51375688,5.97564132,0.02788995,0.46647059,0.61436193,0.37812894,3.02451225,2.60987542,0.07925453,2.89427316
-5.50775388,6.15486494,0.02865948,0.48554643,0.62765093,0.38705935,3.11964014,2.69830681,0.07992728,2.98023511
-5.50175088,6.33242975,0.02940444,0.50511864,0.64013810,0.39516747,3.21246008,2.78921115,0.08027831,3.06410207
-5.49574787,6.50692349,0.03012007,0.52503289,0.65165500,0.40235167,3.30198001,2.88204635,0.08030411,3.14518263
-5.48974487,6.67716940,0.03080263,0.54514345,0.66207394,0.40853932,3.38734033,2.97631384,0.08000934,3.22292848
-5.48374187,6.84221462,0.03144943,0.56531336,0.67130781,0.41368720,3.46781903,3.07154834,0.07940640,3.29692955
-5.47773887,7.00130647,0.03205874,0.58541419,0.67930807,0.41778072,3.54283109,3.16730396,0.07851466,3.36690206
-5.47173587,7.15385885,0.03262970,0.60532543,0.68606093,0.42083208,3.61192266,3.26313784,0.07735952,3.43267041
-5.46573287,7.29941168,0.03316218,0.62493372,0.69158238,0.42287762,3.67476105,3.35859279,0.07597116,3.49414431
-5.45972986,7.43758677,0.03365663,0.64413203,0.69591210,0.42397427,3.73112166,3.45318045,0.07438331,3.55129301
-5.45372686,7.56804321,0.03411390,0.66281904,0.69910698,0.42419557,3.78087312,3.54636636,0.07263184,3.60411824
-5.44772386,7.69043607,0.03453509,0.68089880,0.70123446,0.42362734,3.82396173,3.63755858,0.07075336,3.65262789
-5.44172086,7.80438123,0.03492139,0.69828076,0.70236625,0.42236330,3.86039668,3.72610081,0.06878398,3.69681228
-5.43571786,7.90942899,0.03527394,0.71488024,0.70257276,0.42050072,3.89023669,3.81127112,0.06675804,3.73662454
