energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.30215816,0.83304028,1.32150917,0.00803791,0.25596348,0.42135973,0.12980397,0.73116054,0.00000000
-5.99399700,2.19065254,0.78957778,1.26018001,0.00747902,0.24221755,0.40421467,0.12365782,0.69626102,0.00000000
-5.98799400,2.07409944,0.74458857,1.19551480,0.00691597,0.22787735,0.38591909,0.11721045,0.65998155,0.00000000
-5.98199100,1.95382857,0.69870461,1.12824497,0.00635599,0.21313479,0.36668071,0.11053622,0.62270586,0.00000000
-5.97598799,1.83120329,0.65255004,1.05913163,0.00580582,0.19818226,0.34671953,0.10371126,0.58482815,0.00000000
-5.96998499,1.70759029,0.60672909,0.98894760,0.00527154,0.18320786,0.32626349,0.09681181,0.54674533,0.00000000
-5.96398199,1.58433102,0.56181587,0.91845989,0.00475850,0.16839106,0.30554417,0.08991274,0.50884975,0.00000000
-5.95797899,1.46271551,0.51834595,0.84841319,0.00427124,0.15389899,0.28479239,0.08308614,0.47152259,0.00000000
-5.95197599,1.34395939,0.47680994,0.77951483,0.00381348,0.13988326,0.26423403,0.07640018,0.43512786,0.00000000
-5.94597299,1.22918430,0.43764873,0.71242164,0.00338816,0.12647760,0.24408603,0.06991811,0.40000732,0.00000000
-5.93996998,1.11940224,0.40125047,0.64772903,0.00299744,0.11379610,0.22455272,0.06369743,0.36647610,0.00000000
-5.93396698,1.01550386,0.36794876,0.58596261,0.00264285,0.10193225,0.20582262,0.05778941,0.33481933,0.00000000
-5.92796398,0.91825084,0.33802215,0.52757230,0.00232531,0.09095856,0.18806560,0.05223866,0.30528953,0.00000000
-5.92196098,0.82827213,0.31169436,0.47292917,0.00204528,0.08092688,0.17143073,0.04708307,0.27810498,0.00000000
-5.91595798,0.74606374,0.28913515,0.42232468,0.00180287,0.07186915,0.15604462,0.04235384,0.25344878,0.00000000
-5.90995498,0.67199189,0.27046163,0.37597230,0.00159796,0.06379866,0.14201028,0.03807572,0.23146878,0.00000000
-5.90395198,0.60629877,0.25573963,0.33401117,0.00143029,0.05671156,0.12940666,0.03426741,0.21227807,0.00000000
-5.89794897,0.54911055,0.24498518,0.29651137,0.00129958,0.05058868,0.11828866,0.03094202,0.19595603,0.00000000
-5.89194597,0.50044707,0.23816593,0.26348060,0.00120563,0.04539741,0.10868756,0.02810766,0.18254986,0.00000000
-5.88594297,0.46023247,0.23520245,0.23487171,0.00114835,0.04109366,0.10061196,0.02576804,0.17207638,0.00000000
-5.87993997,0.42830643,0.23596952,0.21059068,0.00112783,0.03762384,0.09404906,0.02392311,0.16452400,0.00000000
-5.87393697,0.40443534,0.24029739,0.19050481,0.00114441,0.03492664,0.08896612,0.02256957,0.15985484,0.00000000
