energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,V_p_up,V_d_up
0.91545773,4.04571626,0.05317183,0.24469181,0.49233035,0.04115632,0.02179824,0.54072361,0.67752879,2.97414417
0.92146073,4.11865193,0.05392502,0.23801722,0.48833038,0.04102428,0.02186451,0.54577020,0.67867923,3.04672220
0.92746373,4.18937058,0.05457262,0.23106300,0.48316199,0.04079807,0.02191232,0.54974940,0.67911382,3.11880256
0.93346673,4.25658244,0.05510381,0.22392112,0.47683703,0.04047509,0.02193551,0.55252712,0.67875788,3.18917943
0.93946973,4.31902535,0.05550854,0.21668059,0.46938598,0.04005443,0.02192792,0.55399244,0.67755446,3.25664872
0.94547274,4.37547635,0.05577766,0.20942503,0.46085604,0.03953685,0.02188362,0.55405846,0.67546385,3.32002113
0.95147574,4.42476262,0.05590292,0.20223070,0.45130885,0.03892462,0.02179708,0.55266259,0.67246241,3.37813537
0.95747874,4.46577266,0.05587709,0.19516478,0.44081795,0.03822141,0.02166328,0.54976612,0.66854092,3.42987184
0.96348174,4.49746825,0.05569402,0.18828424,0.42946604,0.03743212,0.02147793,0.54535344,0.66370259,3.47416708
0.96948474,4.51889748,0.05534874,0.18163507,0.41734250,0.03656271,0.02123758,0.53943093,0.65796099,3.51002915
0.97548774,4.52920906,0.05483762,0.17525217,0.40454098,0.03562002,0.02093975,0.53202565,0.65133796,3.53655371
0.98149075,4.52766782,0.05415844,0.16915958,0.39115732,0.03461162,0.02058301,0.52318394,0.64386179,3.55294083
0.98749375,4.51367100,0.05331061,0.16337132,0.37728794,0.03354570,0.02016711,0.51297005,0.63556579,3.55851186
0.99349675,4.48676488,0.05229528,0.15789254,0.36302857,0.03243088,0.01969300,0.50146479,0.62648723,3.55272589
0.99949975,4.44666084,0.05111551,0.15272100,0.34847339,0.03127616,0.01916283,0.48876417,0.61666695,3.53519517
1.00550275,4.39325013,0.04977641,0.14784890,0.33371464,0.03009078,0.01858001,0.47497814,0.60614944,3.50569868
1.01150575,4.32661629,0.04828524,0.14326473,0.31884240,0.02888417,0.01794907,0.46022924,0.59498360,3.46419309
1.01750875,4.24704442,0.04665145,0.13895526,0.30394479,0.02766588,0.01727564,0.44465129,0.58322393,3.41082047
1.02351176,4.15502645,0.04488671,0.13490749,0.28910817,0.02644548,0.01656628,0.42838791,0.57093219,3.34591210
1.02951476,4.05126162,0.04300481,0.13111049,0.27441751,0.02523254,0.01582836,0.41159090,0.55817934,3.26998787
1.03551776,3.93665183,0.04102152,0.12755705,0.25995670,0.02403655,0.01506982,0.39441846,0.54504766,3.18375105
1.04152076,3.81229152,0.03895441,0.12424511,0.24580885,0.02286684,0.01429902,0.37703320,0.53163281,3.08807827
1.04752376,3.67945217,0.03682251,0.12117891,0.23205634,0.02173253,0.01352445,0.35959996,0.51804575,2.98400482
1.05352676,3.53956152,0.03464599,0.11836990,0.21878089,0.02064244,0.01275453,0.34228342,0.50441420,2.87270562
1.05952976,3.39417822,0.03244575,0.11583726,0.20606331,0.01960504,0.01199736,0.32524568,0.49088366,2.75547229
1.06553277,3.24496250,0.03024298,0.11360822,0.19398313,0.01862838,0.01126053,0.30864363,0.47761767,2.63368703
1.07153577,3.09364372,0.02805868,0.11171808,0.18261817,0.01771997,0.01055087,0.29262649,0.46479732,2.50879410
1.07753877,2.94198599,0.02591323,0.11020992,0.17204386,0.01688681,0.00987431,0.27733333,0.45261985,2.38226977
1.08354177,2.79175277,0.02382588,0.10913417,0.16233260,0.01613528,0.00923575,0.26289079,0.44129635,2.25559163
1.08954477,2.64467164,0.02181442,0.10854795,0.15355296,0.01547111,0.00863898,0.24941115,0.43104852,2.13020832
1.09554777,2.50240033,0.01989473,0.10851421,0.14576898,0.01489937,0.00808662,0.23699057,0.42210455,2.00751045
1.10155078,2.36649491,0.01808051,0.10910073,0.13903940,0.01442446,0.00758012,0.22570791,0.41469423,1.88880362
1.10755378,2.23838110,0.01638308,0.11037901,0.13341690,0.01405009,0.00711983,0.21562376,0.40904336,1.77528423
1.11355678,2.11932928,0.01481116,0.11242295,0.12894746,0.01377929,0.00670507,0.20678011,0.40536762,1.66801874
1.11955978,2.01043377,0.01337084,0.11530743,0.12566963,0.01361442,0.00633425,0.19920031,0.40386619,1.56792667
1.12556278,1.91259677,0.01206555,0.11910674,0.12361384,0.01355716,0.00600506,0.19288946,0.40471509,1.47576786
1.13156578,1.82651695,0.01089616,0.12389283,0.12280177,0.01360853,0.00571457,0.18783523,0.40806072,1.39213386
1.13756878,1.75268282,0.00986112,0.12973342,0.12324562,0.01376885,0.00545946,0.18400893,0.41401364,1.31744368
1.14357179,1.69137057,0.00895661,0.13668994,0.12494735,0.01403775,0.00523620,0.18136681,0.42264284,1.25194350
1.14957479,1.64264617,0.00817685,0.14481528,0.12789794,0.01441406,0.00504119,0.17985160,0.43397074,1.19571029
1.15557779,1.60637131,0.00751437,0.15415147,0.13207653,0.01489583,0.00487094,0.17939414,0.44796918,1.14865879
1.16158079,1.58221275,0.00696026,0.16472721,0.13744962,0.01548020,0.00472220,0.17991504,0.46455635,1.11055153
1.16758379,1.56965459,0.00650457,0.17655541,0.14397028,0.01616332,0.00459204,0.18132638,0.48359512,1.08101129
1.17358679,1.56801299,0.00613659,0.18963071,0.15157735,0.01694028,0.00447797,0.18353339,0.50489262,1.05953572
1.17958979,1.57645304,0.00584517,0.20392719,0.16019486,0.01780496,0.00437797,0.18643608,0.52820133,1.04551339
1.18559280,1.59400724,0.00561908,0.21939627,0.16973163,0.01875002,0.00429046,0.18993081,0.55322166,1.03824103
1.19159580,1.61959536,0.00544722,0.23596497,0.18008108,0.01976678,0.00421437,0.19391185,0.57960603,1.03694140
1.19759880,1.65204547,0.00531897,0.25353464,0.19112140,0.02084518,0.00414902,0.19827289,0.60696449,1.04078156
1.20360180,1.69011584,0.00522433,0.27198026,0.20271622,0.02197383,0.00409412,0.20290857,0.63487175,1.04889121
1.20960480,1.73251760,0.00515420,0.29115048,0.21471559,0.02314001,0.00404969,0.20771607,0.66287546,1.06038074
1.21560780,1.77793801,0.00510051,0.31086835,0.22695756,0.02432978,0.00401594,0.21259672,0.69050572,1.07435902
1.22161081,1.82506418,0.00505633,0.33093302,0.23927027,0.02552815,0.00399327,0.21745770,0.71728550,1.08995054
1.22761381,1.87260712,0.00501596,0.35112225,0.25147448,0.02671931,0.00398215,0.22221386,0.74274178,1.10631190
1.23361681,1.91932576,0.00497500,0.37119587,0.26338669,0.02788687,0.00398303,0.22678960,0.76641707,1.12264751
1.23961981,1.96405082,0.00493032,0.39090000,0.27482254,0.02901421,0.00399639,0.23112076,0.78788110,1.13822421
1.24562281,2.00570804,0.00488005,0.40997220,0.28560065,0.03008485,0.00402259,0.23515660,0.80674223,1.15238485
1.25162581,2.04334037,0.00482354,0.42814716,0.29554660,0.03108283,0.00406196,0.23886161,0.82265836,1.16456052
1.25762881,2.07612860,0.00476119,0.44516294,0.30449709,0.03199318,0.00411472,0.24221726,0.83534679,1.17428123
1.26363182,2.10340974,0.00469444,0.46076753,0.31230391,0.03280226,0.00418107,0.24522344,0.84459289,1.18118482
1.26963482,2.12469262,0.00462551,0.47472550,0.31883790,0.03349825,0.00426115,0.24789955,0.85025716,1.18502383
1.27563782,2.13967000,0.00455734,0.48682447,0.32399242,0.03407147,0.00435513,0.25028512,0.85228028,1.18566998
1.28164082,2.14822645,0.00449334,0.49688126,0.32768641,0.03451471,0.00446321,0.25243980,0.85068613,1.18311617
1.28764382,2.15044158,0.00443726,0.50474733,0.32986682,0.03482347,0.00458567,0.25444276,0.84558239,1.17747558
1.29364682,2.14658802,0.00439298,0.51031336,0.33051032,0.03499617,0.00472289,0.25639120,0.83715870,1.16897776
1.29964982,2.13712380,0.00436432,0.51351275,0.32962420,0.03503420,0.00487536,0.25839817,0.82568235,1.15796159
1.30565283,2.12267908,0.00435490,0.51432390,0.32724642,0.03494189,0.00504366,0.26058954,0.81149154,1.14486519
1.31165583,2.10403724,0.00436797,0.51277101,0.32344473,0.03472642,0.00522847,0.26310014,0.79498630,1.13021264
1.31765883,2.08211056,0.00440623,0.50892351,0.31831493,0.03439758,0.00543048,0.26606926,0.77661745,1.11459796
1.32366183,2.05791119,0.00447177,0.50289398,0.31197829,0.03396743,0.00565037,0.26963554,0.75687378,1.09866661
1.32966483,2.03251815,0.00456592,0.49483464,0.30457814,0.03344995,0.00588866,0.27393143,0.73626793,1.08309493
1.33566783,2.00704137,0.00468923,0.48493258,0.29627588,0.03286052,0.00614569,0.27907746,0.71532143,1.06856827
1.34167084,1.98258399,0.00484137,0.47340379,0.28724637,0.03221543,0.00642146,0.28517648,0.69454940,1.05575834
1.34767384,1.96020446,0.00502119,0.46048635,0.27767296,0.03153129,0.00671557,0.29230820,0.67444543,1.04530069
1.35367684,1.94087959,0.00522669,0.44643300,0.26774238,0.03082450,0.00702708,0.30052429,0.65546729,1.03777310
1.35967984,1.92547047,0.00545509,0.43150330,0.25763952,0.03011069,0.00735445,0.30984418,0.63802378,1.03367568
1.36568284,1.91469223,0.00570292,0.41595589,0.24754242,0.02940417,0.00769546,0.32025196,0.62246348,1.03341354
1.37168584,1.90908932,0.00596613,0.40004099,0.23761757,0.02871755,0.00804721,0.33169449,0.60906560,1.03728271
1.37768884,1.90901722,0.00624020,0.38399352,0.22801584,0.02806129,0.00840606,0.34408085,0.59803336,1.04545991
1.38369185,1.91463136,0.00652031,0.36802716,0.21886889,0.02744349,0.00876769,0.35728327,0.58949011,1.05799663
1.38969485,1.92588393,0.00680147,0.35232944,0.21028651,0.02686966,0.00912719,0.37113963,0.58347831,1.07481779
1.39569785,1.94252853,0.00707875,0.33705815,0.20235475,0.02634266,0.00947911,0.38545729,0.57996131,1.09572498
1.40170085,1.96413251,0.00734738,0.32233908,0.19513497,0.02586279,0.00981762,0.40001834,0.57882793,1.12040423
1.40770385,1.99009637,0.00760293,0.30826525,0.18866379,0.02542791,0.01013669,0.41458595,0.57989945,1.14843783
1.41370685,2.01967917,0.00784147,0.29489735,0.18295396,0.02503368,0.01043025,0.42891160,0.58293868,1.17931961
1.41970985,2.05202877,0.00805969,0.28226559,0.17799589,0.02467394,0.01069238,0.44274289,0.58766077,1.21247307
1.42571286,2.08621533,0.00825499,0.27037255,0.17376004,0.02434106,0.01091754,0.45583154,0.59374514,1.24727129
1.43171586,2.12126637,0.00842553,0.25919690,0.17019968,0.02402641,0.01110076,0.46794129,0.60084798,1.28305776
1.43771886,2.15620170,0.00857029,0.24869780,0.16725413,0.02372082,0.01123777,0.47885527,0.60861480,1.31916709
1.44372186,2.19006655,0.00868907,0.23881967,0.16485217,0.02341503,0.01132522,0.48838250,0.61669251,1.35494459
1.44972486,2.22196131,0.00878242,0.22949703,0.16291546,0.02310016,0.01136076,0.49636330,0.62474038,1.38976393
1.45572786,2.25106662,0.00885159,0.22065922,0.16136191,0.02276803,0.01134315,0.50267323,0.63243967,1.42304190
1.46173087,2.27666273,0.00889838,0.21223477,0.16010867,0.02241157,0.01127228,0.50722559,0.63950132,1.45425002
1.46773387,2.29814269,0.00892509,0.20415524,0.15907485,0.02202502,0.01114915,0.50997216,0.64567179,1.48292236
1.47373687,2.31501893,0.00893429,0.19635831,0.15818366,0.02160413,0.01097588,0.51090243,0.65073664,1.50865972
1.47973987,2.32692361,0.00892869,0.18879021,0.15736412,0.02114624,0.01075557,0.51004123,0.65452217,1.53113013
1.48574287,2.33360327,0.00891099,0.18140725,0.15655221,0.02065031,0.01049219,0.50744514,0.65689498,1.55006621
1.49174587,2.33490872,0.00888369,0.17417669,0.15569150,0.02011682,0.01019043,0.50319768,0.65775994,1.56525988
1.49774887,2.33078133,0.00884896,0.16707675,0.15473335,0.01954764,0.00985552,0.49740385,0.65705675,1.57655529
1.50375188,2.32123722,0.00880853,0.16009619,0.15363673,0.01894587,0.00949307,0.49018418,0.65475557,1.58384069
1.50975488,2.30635067,0.00876355,0.15323321,0.15236779,0.01831560,0.00910880,0.48166881,0.65085210,1.58704022
1.51575788,2.28623828,0.00871461,0.14649415,0.15089924,0.01766167,0.00870847,0.47199169,0.64536258,1.58610645
1.52176088,2.26104501,0.00866163,0.13989192,0.14920968,0.01698942,0.00829762,0.46128555,0.63831908,1.58101434
1.52776388,2.23093334,0.00860393,0.13344434,0.14728292,0.01630446,0.00788144,0.44967758,0.62976536,1.57175739
1.53376688,2.19607603,0.00854027,0.12717258,0.14510742,0.01561243,0.00746470,0.43728625,0.61975373,1.55834604
1.53976988,2.15665307,0.00846893,0.12109971,0.14267593,0.01491887,0.00705159,0.42421915,0.60834286,1.54080878
1.54577289,2.11285261,0.00838784,0.11524948,0.13998527,0.01422902,0.00664570,0.41057216,0.59559670,1.51919557
1.55177589,2.06487568,0.00829471,0.10964532,0.13703624,0.01354775,0.00625002,0.39642959,0.58158453,1.49358348
1.55777889,2.01294380,0.00818719,0.10430961,0.13383383,0.01287948,0.00586690,0.38186536,0.56638178,1.46408367
1.56378189,1.95730872,0.00806302,0.09926324,0.13038745,0.01222817,0.00549811,0.36694503,0.55007166,1.43084936
1.56978489,1.89826293,0.00792023,0.09452528,0.12671119,0.01159731,0.00514492,0.35172829,0.53274713,1.39408358
1.57578789,1.83614990,0.00775725,0.09011288,0.12282422,0.01098994,0.00480814,0.33627183,0.51451294,1.35404619
1.58179090,1.77137276,0.00757308,0.08604121,0.11875092,0.01040874,0.00448825,0.32063221,0.49548750,1.31105910
1.58779390,1.70440030,0.00736736,0.08232343,0.11452104,0.00985600,0.00418548,0.30486850,0.47580419,1.26550912
1.59379690,1.63576950,0.00714052,0.07897061,0.11016952,0.00933376,0.00389992,0.28904454,0.45561190,1.21784784
1.59979990,1.56608394,0.00689374,0.07599164,0.10573616,0.00884377,0.00363162,0.27323054,0.43507466,1.16858816
1.60580290,1.49600773,0.00662906,0.07339296,0.10126502,0.00838756,0.00338065,0.25750395,0.41437019,1.11829741
1.61180590,1.42625508,0.00634931,0.07117816,0.09680349,0.00796644,0.00314722,0.24194959,0.39368741,1.06758718
1.61780890,1.35757582,0.00605805,0.06934754,0.09240128,0.00758148,0.00293170,0.22665893,0.37322293,1.01710011
