energy_ev,total_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,7.20533984,3.03752851,4.00148270,0.01760206,1.34618922,1.77913677,0.00000000
-5.99399700,7.26610600,3.06858802,4.04998324,0.01730904,1.33184916,1.78981697,0.00000000
-5.98799400,7.30755802,3.09132612,4.08777428,0.01695006,1.31443230,1.79516706,0.00000000
-5.98199100,7.32925459,3.10533961,4.11452659,0.01653057,1.29414253,1.79523960,0.00000000
-5.97598799,7.33086508,3.11027338,4.12998011,0.01605677,1.27118392,1.79013273,0.00000000
-5.96998499,7.31220583,3.10584295,4.13396434,0.01553553,1.24576365,1.77999354,0.00000000
-5.96398199,7.27328119,3.09185885,4.12642129,0.01497424,1.21809642,1.76502215,0.00000000
-5.95797899,7.21432665,3.06825134,4.10742943,0.01438069,1.18841014,1.74547617,0.00000000
-5.95197599,7.13585077,3.03509385,4.07722705,0.01376298,1.15695201,1.72167501,0.00000000
-5.94597299,7.03867262,2.99262352,4.03623301,0.01312939,1.12399442,1.69400342,0.00000000
-5.93996998,6.92395131,2.94125732,3.98506325,0.01248824,1.08984008,1.66291369,0.00000000
-5.93396698,6.79320474,2.88160230,3.92454117,0.01184786,1.05482551,1.62892594,0.00000000
-5.92796398,6.64831481,2.81445891,3.85570058,0.01121639,1.01932270,1.59262607,0.00000000
-5.92196098,6.49151746,2.74081658,3.77978005,0.01060177,0.98373827,1.55466079,0.00000000
-5.91595798,6.32537627,2.66184111,3.69820807,0.01001153,0.94851010,1.51572968,0.00000000
-5.90995498,6.15273967,2.57885404,3.61257880,0.00945278,0.91410127,1.47657415,0.00000000
-5.90395198,5.97668234,2.49330431,3.52461882,0.00893203,0.88099148,1.43796335,0.00000000
-5.89794897,5.80043257,2.40673310,3.43614585,0.00845515,0.84966617,1.40067738,0.00000000
-5.89194597,5.62728801,2.32073315,3.34902057,0.00802723,0.82060381,1.36548825,0.00000000
-5.88594297,5.46052291,2.23690394,3.26509352,0.00765253,0.79426191,1.33313925,0.00000000
-5.87993997,5.30329065,2.15680455,3.18614914,0.00733437,0.77106229,1.30432341,0.00000000
-5.87393697,5.15852543,2.08190608,3.11384908,0.00707508,0.75137636,1.27966200,0.00000000
-5.86793397,5.02884734,2.01354554,3.04967740,0.00687594,0.73551112,1.25968392,0.00000000
-5.86193097,4.91647494,1.95288304,2.99488991,0.00673714,0.72369642,1.24480685,0.00000000
-5.85592796,4.82314910,1.90086416,2.95046995,0.00665778,0.71607425,1.23532111,0.00000000
-5.84992496,4.75007155,1.85818900,2.91709265,0.00663586,0.71269049,1.23137704,0.00000000
-5.84392196,4.69786094,1.82528916,2.89509935,0.00666830,0.71348961,1.23297650,0.00000000
-5.83791896,4.66652865,1.80231375,2.88448346,0.00675103,0.71831266,1.23996910,0.00000000
-5.83191596,4.65547542,1.78912494,2.88488857,0.00687904,0.72689864,1.25205348,0.00000000
-5.82591296,4.66350969,1.78530334,2.89561928,0.00704648,0.73888946,1.26878383,0.00000000
-5.81990995,4.68888683,1.79016306,2.91566433,0.00724683,0.75383830,1.28958153,0.00000000
-5.81390695,4.72936849,1.80277596,2.94373158,0.00747300,0.77122115,1.31375181,0.00000000
-5.80790395,4.78229973,1.82200413,2.97829353,0.00771754,0.79045134,1.34050470,0.00000000
-5.80190095,4.84470136,1.84653953,3.01764183,0.00797280,0.81089640,1.36897993,0.00000000
-5.79589795,4.91337422,1.87494917,3.05994872,0.00823114,0.83189688,1.39827464,0.00000000
-5.78989495,4.98501138,1.90572438,3.10333329,0.00848513,0.85278641,1.42747317,0.00000000
-5.78389195,5.05631430,1.93733215,3.14592985,0.00872775,0.87291239,1.45567776,0.00000000
-5.77788894,5.12410861,1.96826680,3.18595599,0.00895257,0.89165650,1.48203897,0.00000000
-5.77188594,5.18545508,1.99710007,3.22177760,0.00915393,0.90845442,1.50578482,0.00000000
-5.76588294,5.23775179,2.02252797,3.25196841,0.00932712,0.92281398,1.52624747,0.00000000
-5.75987994,5.27882359,2.04341256,3.27536180,0.00946848,0.93433109,1.54288633,0.00000000
-5.75387694,5.30699575,2.05881751,3.29109269,0.00957553,0.94270299,1.55530683,0.00000000
-5.74787394,5.32114884,2.06803613,3.29862820,0.00964703,0.94773811,1.56327409,0.00000000
-5.74187094,5.32075332,2.07061118,3.29778567,0.00968302,0.94936238,1.56672083,0.00000000
-5.73586793,5.30588246,2.06634593,3.28873751,0.00968483,0.94762171,1.56574937,0.00000000
-5.72986493,5.27720344,2.05530629,3.27200289,0.00965505,0.94268045,1.56062749,0.00000000
-5.72386193,5.23594738,2.03781423,3.24842641,0.00959744,0.93481604,1.55177844,0.00000000
-5.71785893,5.18385952,2.01443305,3.21914501,0.00951686,0.92440989,1.53976531,0.00000000
-5.71185593,5.12313186,1.98594505,3.18554425,0.00941916,0.91193497,1.52527059,0.00000000
-5.70585293,5.05632098,1.95332275,3.14920598,0.00931098,0.89794047,1.50907144,0.00000000
-5.69984992,4.98625429,1.91769476,3.11184921,0.00919964,0.88303410,1.49201181,0.00000000
-5.69384692,4.91592825,1.88030745,3.07526676,0.00909292,0.86786265,1.47497229,0.00000000
-5.68784392,4.84840238,1.84248381,3.04125989,0.00899889,0.85309146,1.45883887,0.00000000
-5.68184092,4.78669269,1.80558079,3.01157336,0.00892569,0.83938346,1.44447171,0.00000000
