energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.18761766,-3.26445797,0.09898718,-0.09860826,0.70650986,-0.74013011,0.22223786,-0.17510676,0.12464228,-0.09759266,0.70440852,-0.75738619,1.23729408,-1.26546152,0.02045935,-0.01542818,0.67497389,-0.68667558
-5.99399700,3.25437582,-3.24123236,0.09927761,-0.09870261,0.70848075,-0.74059489,0.23432053,-0.17736961,0.13421253,-0.09854787,0.70937743,-0.75362523,1.24233557,-1.26851258,0.02226266,-0.01603355,0.70727631,-0.67193899
-5.98799400,3.32525101,-3.21747575,0.09931010,-0.09845969,0.70822837,-0.73860729,0.24776243,-0.18026018,0.14505530,-0.10016638,0.71322230,-0.74823140,1.24365501,-1.26726034,0.02424984,-0.01672067,0.74508236,-0.66054199
-5.98199100,3.40106452,-3.19397017,0.09909262,-0.09788315,0.70580585,-0.73414301,0.26262362,-0.18384275,0.15723833,-0.10252234,0.71607717,-0.74126904,1.24132149,-1.26167883,0.02642909,-0.01749540,0.78877736,-0.65296971
-5.97598799,3.48260332,-3.17152308,0.09863814,-0.09698312,0.70131899,-0.72723067,0.27894102,-0.18817530,0.17080862,-0.10567886,0.71811288,-0.73283653,1.23548301,-1.25183269,0.02880601,-0.01836298,0.83865006,-0.64964014
-5.96998499,3.57057436,-3.15095672,0.09796427,-0.09577643,0.69492423,-0.71795543,0.29672299,-0.19330697,0.18578753,-0.10968546,0.71953242,-0.72306820,1.22636234,-1.23788220,0.03138284,-0.01932780,0.89487082,-0.65089279
-5.96398199,3.66555520,-3.13309290,0.09709262,-0.09428663,0.68682445,-0.70646050,0.31594404,-0.19927529,0.20216620,-0.11457547,0.72056445,-0.71213482,1.21424933,-1.22008441,0.03415770,-0.02039297,0.95747132,-0.65697821
-5.95797899,3.76794301,-3.11873297,0.09604790,-0.09254368,0.67726249,-0.69294631,0.33654000,-0.20610314,0.21990150,-0.12036364,0.72145501,-0.70024232,1.19948968,-1.19879018,0.03712389,-0.02155998,1.02632657,-0.66804852
-5.95197599,3.87790442,-3.10863331,0.09485688,-0.09058328,0.66651273,-0.67766726,0.35840403,-0.21379572,0.23891255,-0.12704400,0.72245789,-0.68762885,1.18247084,-1.17443681,0.04026923,-0.02282824,1.10114032,-0.68414929
-5.94597299,3.99532923,-3.10347690,0.09354712,-0.08844596,0.65487123,-0.66092591,0.38138364,-0.22233757,0.25907834,-0.13458798,0.72382404,-0.67456003,1.16360567,-1.14753652,0.04357560,-0.02419472,1.18143468,-0.70521311
-5.93996998,4.11979086,-3.10384242,0.09214574,-0.08617588,0.64264475,-0.64306505,0.40527918,-0.23168992,0.28023645,-0.14294315,0.72579048,-0.66132269,1.14331494,-1.11866101,0.04701866,-0.02565356,1.26654503,-0.73105517
-5.93396698,4.25051655,-3.11017238,0.09067806,-0.08381938,0.63013932,-0.62445775,0.42984396,-0.24178853,0.30218309,-0.15203243,0.72856944,-0.64821730,1.12200948,-1.08842283,0.05056770,-0.02719582,1.35562071,-0.76137124
