energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.50129790,0.00778304,0.21112583,0.03809121,1.41937897,1.44214848,0.79283627
-5.99399700,2.41322010,0.00750963,0.21803023,0.03613579,1.35414653,1.40323669,0.76560568
-5.98799400,2.32257708,0.00720380,0.22605471,0.03409125,1.28589930,1.36316889,0.73784833
-5.98199100,2.23075671,0.00687023,0.23518358,0.03199092,1.21556645,1.32258241,0.71000847
-5.97598799,2.13912455,0.00651389,0.24539412,0.02986713,1.14407177,1.28211837,0.68251694
-5.96998499,2.04899192,0.00613993,0.25665738,0.02775057,1.07231205,1.24240784,0.65578083
-5.96398199,1.96158956,0.00575353,0.26893979,0.02566963,1.00113807,1.20406011,0.63017549
-5.95797899,1.87804750,0.00535979,0.28220580,0.02364991,0.93133862,1.16765314,0.60603884
-5.95197599,1.79938122,0.00496363,0.29642103,0.02171378,0.86362784,1.13372645,0.58366830
-5.94597299,1.72648399,0.00456968,0.31155603,0.01988015,0.79863594,1.10277642,0.56331974
-5.93996998,1.66012472,0.00418221,0.32759017,0.01816432,0.73690339,1.07525375,0.54520855
-5.93396698,1.60095061,0.00380506,0.34451544,0.01657788,0.67887827,1.05156293,0.52951208
-5.92796398,1.54949358,0.00344161,0.36233983,0.01512883,0.62491651,1.03206320,0.51637334
-5.92196098,1.50617934,0.00309473,0.38108998,0.01382170,0.57528473,1.01707079,0.50590512
-5.91595798,1.47133812,0.00276678,0.40081279,0.01265776,0.53016526,1.00686187,0.49819439
-5.90995498,1.44521579,0.00245963,0.42157582,0.01163537,0.48966277,1.00167577,0.49330631
-5.90395198,1.42798463,0.00217466,0.44346634,0.01075023,0.45381224,1.00171827,0.49128756
-5.89794897,1.41975279,0.00191282,0.46658877,0.00999583,0.42258774,1.00716434,0.49216876
-5.89194597,1.42057191,0.00167467,0.49106079,0.00936381,0.39591159,1.01816030,0.49596570
-5.88594297,1.43044242,0.00146043,0.51700798,0.00884437,0.37366360,1.03482491,0.50267946
-5.87993997,1.44931648,0.00127008,0.54455729,0.00842665,0.35569000,1.05724949,0.51229530
-5.87393697,1.47709830,0.00110341,0.57382951,0.00809917,0.34181178,1.08549678,0.52478056
-5.86793397,1.51364235,0.00096007,0.60493118,0.00785012,0.33183221,1.11959860,0.54008176
-5.86193097,1.55874946,0.00083972,0.63794611,0.00766779,0.32554336,1.15955225,0.55812120
-5.85592796,1.61216154,0.00074202,0.67292705,0.00754081,0.32273145,1.20531589,0.57879337
-5.84992496,1.67355525,0.00066676,0.70988784,0.00745842,0.32318096,1.25680282,0.60196154
-5.84392196,1.74253528,0.00061391,0.74879633,0.00741073,0.32667752,1.31387502,0.62745477
-5.83791896,1.81862785,0.00058367,0.78956856,0.00738885,0.33300947,1.37633618,0.65506588
-5.83191596,1.90127491,0.00057651,0.83206434,0.00738505,0.34196836,1.44392441,0.68455034
-5.82591296,1.98982975,0.00059326,0.87608460,0.00739279,0.35334828,1.51630510,0.71562651
-5.81990995,2.08355429,0.00063506,0.92137045,0.00740680,0.36694445,1.59306433,0.74797726
-5.81390695,2.18161872,0.00070343,0.96760438,0.00742305,0.38255111,1.67370323,0.78125307
-5.80790395,2.28310361,0.00080025,1.01441323,0.00743864,0.39995896,1.75763382,0.81507645
-5.80190095,2.38700487,0.00092772,1.06137319,0.00745179,0.41895258,1.84417679,0.84904776
-5.79589795,2.49224172,0.00108833,1.10801659,0.00746163,0.43930794,1.93256182,0.88275213
-5.78989495,2.59766764,0.00128482,1.15384025,0.00746810,0.46079027,2.02193066,0.91576728
-5.78389195,2.70208436,0.00152006,1.19831537,0.00747175,0.48315269,2.11134361,0.94767198
