energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,7.05003258,0.02006386,1.01742526,2.88049256,1.48367128,1.42874937,0.35523594,0.10239367,2.76012209
-5.99399700,6.88605998,0.02055239,0.98990424,2.79106561,1.45721937,1.37783894,0.35100310,0.10286787,2.69652071
-5.98799400,6.72260802,0.02101380,0.96237315,2.69911152,1.43072914,1.32587077,0.34679562,0.10357956,2.63361345
-5.98199100,6.56304606,0.02143977,0.93527673,2.60609339,1.40486020,1.27363263,0.34273267,0.10458746,2.57277921
-5.97598799,6.41045074,0.02182200,0.90901116,2.51337109,1.38022243,1.22185602,0.33892224,0.10594712,2.51527152
-5.96998499,6.26755571,0.02215246,0.88391923,2.42217949,1.35736578,1.17120486,0.33545973,0.10770929,2.46219759
-5.96398199,6.13671357,0.02242368,0.86028770,2.33361237,1.33677216,1.12226702,0.33242702,0.10991822,2.41450228
-5.95797899,6.01986931,0.02262904,0.83834664,2.24861184,1.31884924,1.07554897,0.32989181,0.11260995,2.37295671
-5.95197599,5.91854375,0.02276302,0.81827030,2.16796286,1.30392604,1.03147310,0.32790730,0.11581073,2.33815084
-5.94597299,5.83382564,0.02282145,0.80017938,2.09229212,1.29224996,0.99037752,0.32651205,0.11953539,2.31048964
-5.93996998,5.76637101,0.02280168,0.78414404,2.02207067,1.28398501,0.95251801,0.32572983,0.12378595,2.29019227
-5.93396698,5.71640855,0.02270273,0.77018757,1.95761946,1.27921121,0.91807176,0.32556963,0.12855039,2.27729381
-5.92796398,5.68375012,0.02252531,0.75829022,1.89911719,1.27792496,0.88714240,0.32602556,0.13380164,2.27164928
-5.92196098,5.66780596,0.02227186,0.74839314,1.84660977,1.28004043,0.85976611,0.32707685,0.13949693,2.27293978
-5.91595798,5.66760459,0.02194641,0.74040219,1.80002092,1.28539211,0.83591844,0.32868787,0.14557756,2.28068087
-5.90995498,5.68181776,0.02155445,0.73419169,1.75916367,1.29373865,0.81552153,0.33080833,0.15196912,2.29423330
-5.90395198,5.70879093,0.02110270,0.72960793,1.72375234,1.30476825,0.79845156,0.33337366,0.15858222,2.31281641
-5.89794897,5.74658027,0.02059886,0.72647280,1.69341505,1.31810573,0.78454632,0.33630581,0.16531385,2.33552452
-5.89194597,5.79299647,0.02005130,0.72458743,1.66770673,1.33332152,0.77361267,0.33951441,0.17204925,2.36134655
-5.88594297,5.84565610,0.01946873,0.72373604,1.64612248,1.34994260,0.76543401,0.34289852,0.17866443,2.38918909
-5.87993997,5.90204022,0.01885994,0.72369019,1.62811160,1.36746535,0.75977739,0.34634897,0.18502920,2.41790273
-5.87393697,5.95955970,0.01823343,0.72421332,1.61309190,1.38537006,0.75640058,0.34975120,0.19101062,2.44631154
-5.86793397,6.01562600,0.01759723,0.72506579,1.60046451,1.40313677,0.75505869,0.35298874,0.19647687,2.47324493
-5.86193097,6.06772539,0.01695861,0.72601017,1.58962873,1.42026188,0.75551041,0.35594710,0.20130126,2.49757113
-5.85592796,6.11349405,0.01632398,0.72681682,1.57999682,1.43627481,0.75752370,0.35851798,0.20536634,2.51823116
