energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,0.84577034,0.01004525,0.01187705,0.11889502,0.25432050,0.11679539,0.03147298,0.29019423
-5.99399700,0.90540112,0.00956469,0.01303711,0.12698971,0.26958957,0.12698705,0.03409435,0.31186246
-5.98799400,0.96925019,0.00914033,0.01427330,0.13600071,0.28590988,0.13777548,0.03683168,0.33508641
-5.98199100,1.03697519,0.00878111,0.01557392,0.14590090,0.30324794,0.14910267,0.03964419,0.35972181
-5.97598799,1.10816862,0.00849480,0.01692633,0.15665095,0.32155380,0.16090021,0.04248904,0.38560058
-5.96998499,1.18235946,0.00828794,0.01831712,0.16819887,0.34076020,0.17308859,0.04532222,0.41253165
-5.96398199,1.25901604,0.00816592,0.01973241,0.18047995,0.36078196,0.18557680,0.04809954,0.44030225
-5.95797899,1.33755042,0.00813292,0.02115817,0.19341689,0.38151560,0.19826219,0.05077767,0.46867983
-5.95197599,1.41732427,0.00819207,0.02258057,0.20692027,0.40283938,0.21103088,0.05331529,0.49741442
-5.94597299,1.49765633,0.00834542,0.02398636,0.22088937,0.42461370,0.22375859,0.05567405,0.52624169
-5.93996998,1.57783136,0.00859402,0.02536329,0.23521325,0.44668197,0.23631202,0.05781967,0.55488642
-5.93396698,1.65711065,0.00893801,0.02670047,0.24977206,0.46887209,0.24855085,0.05972280,0.58306660
-5.92796398,1.73474380,0.00937659,0.02798884,0.26443878,0.49099837,0.26033024,0.06135986,0.61049793
-5.92196098,1.80998180,0.00990808,0.02922144,0.27908101,0.51286418,0.27150392,0.06271360,0.63689874
-5.91595798,1.88209106,0.01052991,0.03039382,0.29356315,0.53426508,0.28192766,0.06377360,0.66199521
-5.90995498,1.95036811,0.01123858,0.03150426,0.30774868,0.55499253,0.29146312,0.06453650,0.68552678
-5.90395198,2.01415470,0.01202962,0.03255398,0.32150261,0.57483814,0.29998191,0.06500598,0.70725169
-5.89794897,2.07285285,0.01289758,0.03354727,0.33469406,0.59359818,0.30736968,0.06519266,0.72695240
-5.89194597,2.12593950,0.01383599,0.03449150,0.34719885,0.61107843,0.31353006,0.06511363,0.74444091
-5.88594297,2.17298020,0.01483731,0.03539706,0.35890212,0.62709912,0.31838836,0.06479199,0.75956359
-5.87993997,2.21364142,0.01589296,0.03627718,0.36970090,0.64149977,0.32189474,0.06425603,0.77220564
-5.87393697,2.24770101,0.01699334,0.03714763,0.37950650,0.65414376,0.32402674,0.06353846,0.78229479
-5.86793397,2.27505625,0.01812797,0.03802633,0.38824676,0.66492249,0.32479108,0.06267541,0.78980422
-5.86193097,2.29572924,0.01928560,0.03893287,0.39586790,0.67375882,0.32422453,0.06170542,0.79475444
-5.85592796,2.30986899,0.02045446,0.03988785,0.40233619,0.68060979,0.32239384,0.06066837,0.79721414
-5.84992496,2.31775019,0.02162251,0.04091228,0.40763901,0.68546830,0.31939475,0.05960443,0.79729978
-5.84392196,2.31976826,0.02277784,0.04202676,0.41178554,0.68836375,0.31534999,0.05855293,0.79517393
-5.83791896,2.31643073,0.02390904,0.04325067,0.41480684,0.68936156,0.31040636,0.05755138,0.79104227
-5.83191596,2.30834500,0.02500565,0.04460140,0.41675538,0.68856144,0.30473107,0.05663446,0.78514929
-5.82591296,2.29620261,0.02605866,0.04609345,0.41770393,0.68609460,0.29850737,0.05583312,0.77777271
-5.81990995,2.28076054,0.02706097,0.04773766,0.41774384,0.68211987,0.29192964,0.05517376,0.76921682
-5.81390695,2.26281994,0.02800782,0.04954049,0.41698278,0.67681882,0.28519815,0.05467753,0.75980477
-5.80790395,2.24320293,0.02889718,0.05150338,0.41554183,0.67039022,0.27851366,0.05435969,0.74987007
-5.80190095,2.22272839,0.02973007,0.05362225,0.41355221,0.66304382,0.27207198,0.05422922,0.73974761
-5.79589795,2.20218729,0.03051072,0.05588717,0.41115155,0.65499390,0.26605875,0.05428847,0.72976438
-5.78989495,2.18231882,0.03124661,0.05828226,0.40847991,0.64645271,0.26064451,0.05453304,0.72023023
-5.78389195,2.16378781,0.03194834,0.06078572,0.40567560,0.63762413,0.25598030,0.05495185,0.71142905
-5.77788894,2.14716466,0.03262935,0.06337011,0.40287108,0.62869768,0.25219381,0.05552737,0.70361052
-5.77188594,2.13290818,0.03330543,0.06600294,0.40018884,0.61984330,0.24938615,0.05623606,0.69698294
-5.76588294,2.12135238,0.03399408,0.06864732,0.39773763,0.61120692,0.24762946,0.05704901,0.69170716
-5.75987994,2.11269725,0.03471369,0.07126292,0.39560903,0.60290700,0.24696524,0.05793277,0.68789206
-5.75387694,2.10700423,0.03548269,0.07380703,0.39387454,0.59503221,0.24740343,0.05885035,0.68559150
-5.74787394,2.10419626,0.03631847,0.07623579,0.39258325,0.58764024,0.24892237,0.05976240,0.68480308
-5.74187094,2.10406240,0.03723644,0.07850541,0.39176020,0.58075768,0.25146949,0.06062838,0.68546858
-5.73586793,2.10626676,0.03824895,0.08057350,0.39140555,0.57438105,0.25496273,0.06140797,0.68747612
-5.72986493,2.11036139,0.03936437,0.08240030,0.39149445,0.56847876,0.25929270,0.06206236,0.69066401
-5.72386193,2.11580247,0.04058634,0.08394987,0.39197784,0.56299389,0.26432554,0.06255557,0.69482602
-5.71785893,2.12196936,0.04191311,0.08519108,0.39278402,0.55784770,0.26990633,0.06285562,0.69971812
-5.71185593,2.12818564,0.04333719,0.08609848,0.39382099,0.55294361,0.27586308,0.06293566,0.70506620
-5.70585293,2.13374157,0.04484525,0.08665294,0.39497966,0.54817159,0.28201126,0.06277476,0.71057483
-5.69984992,2.13791725,0.04641827,0.08684204,0.39613761,0.54341272,0.28815870,0.06235861,0.71593662
-5.69384692,2.14000577,0.04803213,0.08666025,0.39716359,0.53854378,0.29411080,0.06167990,0.72084196
-5.68784392,2.13933587,0.04965830,0.08610885,0.39792240,0.53344178,0.29967601,0.06073838,0.72498895
-5.68184092,2.13529350,0.05126498,0.08519562,0.39828023,0.52798840,0.30467139,0.05954077,0.72809325
-5.67583792,2.12734173,0.05281837,0.08393441,0.39811015,0.52207400,0.30892810,0.05810029,0.72989749
-5.66983492,2.11503884,0.05428417,0.08234444,0.39729765,0.51560153,0.31229677,0.05643608,0.73018016
-5.66383192,2.09805393,0.05562915,0.08044960,0.39574606,0.50848987,0.31465246,0.05457226,0.72876365
-5.65782891,2.07617994,0.05682279,0.07827755,0.39338159,0.50067690,0.31589911,0.05253708,0.72552118
-5.65182591,2.04934365,0.05783885,0.07585890,0.39015784,0.49212201,0.31597334,0.05036173,0.72038255
-5.64582291,2.01761247,0.05865682,0.07322631,0.38605955,0.48280817,0.31484730,0.04807930,0.71333834
-5.63981991,1.98119768,0.05926320,0.07041371,0.38110536,0.47274339,0.31253063,0.04572370,0.70444245
-5.63381691,1.94045393,0.05965240,0.06745545,0.37534956,0.46196160,0.30907115,0.04332857,0.69381283
-5.62781391,1.89587474,0.05982744,0.06438570,0.36888241,0.45052279,0.30455443,0.04092641,0.68163032
-5.62181091,1.84808402,0.05980018,0.06123783,0.36182927,0.43851252,0.29910201,0.03854781,0.66813539
-5.61580790,1.79782331,0.05959116,0.05804393,0.35434815,0.42604048,0.29286843,0.03622076,0.65362286
-5.60980490,1.74593502,0.05922908,0.05483439,0.34662595,0.41323837,0.28603686,0.03397026,0.63843464
-5.60380190,1.69334173,0.05874982,0.05163766,0.33887329,0.40025687,0.27881380,0.03181802,0.62295056
-5.59779890,1.64102191,0.05819514,0.04847998,0.33131807,0.38726179,0.27142262,0.02978228,0.60757745
-5.59179590,1.58998260,0.05761107,0.04538522,0.32419812,0.37442947,0.26409640,0.02787785,0.59273685
-5.58579290,1.54122971,0.05704605,0.04237481,0.31775284,0.36194152,0.25707028,0.02611620,0.57885157
-5.57978989,1.49573689,0.05654891,0.03946764,0.31221456,0.34997909,0.25057341,0.02450568,0.56633160
-5.57378689,1.45441382,0.05616679,0.03668001,0.30779959,0.33871676,0.24482102,0.02305174,0.55555978
-5.56778389,1.41807523,0.05594306,0.03402566,0.30469955,0.32831638,0.24000685,0.02175717,0.54687793
-5.56178089,1.38741178,0.05591538,0.03151571,0.30307323,0.31892107,0.23629613,0.02062246,0.54057370
-5.55577789,1.36296408,0.05611397,0.02915870,0.30303953,0.31064962,0.23381954,0.01964599,0.53686900
-5.54977489,1.34510103,0.05656012,0.02696063,0.30467155,0.30359167,0.23266839,0.01882427,0.53591035
-5.54377189,1.33400365,0.05726513,0.02492501,0.30799245,0.29780378,0.23289108,0.01815217,0.53776173
-5.53776888,1.32965531,0.05822959,0.02305295,0.31297308,0.29330676,0.23449130,0.01762303,0.54240031
-5.53176588,1.33183907,0.05944318,0.02134324,0.31953175,0.29008432,0.23742772,0.01722885,0.54971533
-5.52576288,1.34014258,0.06088484,0.01979256,0.32753601,0.28808326,0.24161550,0.01696035,0.55951041
-5.51975988,1.35397060,0.06252350,0.01839562,0.33680670,0.28721517,0.24692949,0.01680712,0.57150915
-5.51375688,1.37256498,0.06431917,0.01714544,0.34712388,0.28735968,0.25320886,0.01675767,0.58536412
-5.50775388,1.39503127,0.06622441,0.01603356,0.35823466,0.28836907,0.26026329,0.01679964,0.60066875
-5.50175088,1.42037124,0.06818621,0.01505040,0.36986249,0.29007416,0.26788019,0.01691986,0.61697180
-5.49574787,1.44751974,0.07014799,0.01418552,0.38171747,0.29229113,0.27583279,0.01710460,0.63379380
-5.48974487,1.47538452,0.07205184,0.01342802,0.39350746,0.29482893,0.28388879,0.01733979,0.65064479
-5.48374187,1.50288703,0.07384076,0.01276682,0.40494916,0.29749707,0.29181901,0.01761123,0.66704245
-5.47773887,1.52900255,0.07546087,0.01219100,0.41577885,0.30011323,0.29940596,0.01790496,0.68252998
-5.47173587,1.55279750,0.07686343,0.01169011,0.42576221,0.30251038,0.30645156,0.01820748,0.69669273
-5.46573287,1.57346231,0.07800668,0.01125441,0.43470271,0.30454311,0.31278403,0.01850612,0.70917283
-5.45972986,1.59033816,0.07885726,0.01087505,0.44244810,0.30609267,0.31826336,0.01878931,0.71968110
-5.45372686,1.60293629,0.07939131,0.01054427,0.44889477,0.30707064,0.32278527,0.01904687,0.72800568
-5.44772386,1.61094892,0.07959507,0.01025545,0.45398967,0.30742099,0.32628333,0.01927023,0.73401687
-5.44172086,1.61425143,0.07946507,0.01000313,0.45772969,0.30712033,0.32872940,0.01945255,0.73766808
-5.43571786,1.61289558,0.07900785,0.00978297,0.46015857,0.30617655,0.33013208,0.01958889,0.73899274
-5.42971486,1.60709437,0.07823917,0.00959164,0.46136152,0.30462577,0.33053354,0.01967614,0.73809746
-5.42371186,1.59719951,0.07718296,0.00942669,0.46145784,0.30252794,0.33000481,0.01971301,0.73515180
-5.41770885,1.58367278,0.07586983,0.00928632,0.46059189,0.29996123,0.32863976,0.01969987,0.73037534
-5.41170585,1.56705289,0.07433542,0.00916921,0.45892313,0.29701569,0.32654827,0.01963849,0.72402266
-5.40570285,1.54792004,0.07261858,0.00907425,0.45661550,0.29378647,0.32384883,0.01953182,0.71636721
-5.39969985,1.52685984,0.07075948,0.00900035,0.45382711,0.29036702,0.32066102,0.01938366,0.70768494
-5.39369685,1.50442899,0.06879783,0.00894622,0.45070048,0.28684269,0.31709843,0.01919829,0.69823865
-5.38769385,1.48112442,0.06677119,0.00891019,0.44735415,0.28328508,0.31326218,0.01898020,0.68826391
-5.38169085,1.45735755,0.06471355,0.00889011,0.44387600,0.27974754,0.30923558,0.01873373,0.67795730
-5.37568784,1.43343523,0.06265418,0.00888323,0.44031865,0.27626187,0.30508010,0.01846279,0.66746766
-5.36968484,1.40954797,0.06061684,0.00888620,0.43669733,0.27283661,0.30083288,0.01817070,0.65689065
-5.36368184,1.38576612,0.05861930,0.00889506,0.43299003,0.26945687,0.29650585,0.01785997,0.64626701
-5.35767884,1.36204398,0.05667335,0.00890538,0.42914022,0.26608566,0.29208655,0.01753231,0.63558438
-5.35167584,1.33823116,0.05478500,0.00891232,0.42506163,0.26266669,0.28754033,0.01718855,0.62478244
-5.34567284,1.31409048,0.05295514,0.00891084,0.42064505,0.25912833,0.28281404,0.01682878,0.61376118
-5.33966983,1.28932093,0.05118039,0.00889583,0.41576648,0.25538854,0.27784070,0.01645246,0.60239136
-5.33366683,1.26358435,0.04945411,0.00886242,0.41029627,0.25136047,0.27254489,0.01605865,0.59052681
-5.32766383,1.23653392,0.04776766,0.00880607,0.40410870,0.24695825,0.26684867,0.01564622,0.57801755
-5.32166083,1.20784281,0.04611156,0.00872286,0.39709132,0.24210279,0.26067737,0.01521410,0.56472297
-5.31565783,1.17723125,0.04447671,0.00860962,0.38915362,0.23672714,0.25396518,0.01476156,0.55052437
-5.30965483,1.14449052,0.04285552,0.00846412,0.38023457,0.23078117,0.24666009,0.01428843,0.53533601
-5.30365183,1.10950247,0.04124281,0.00828511,0.37030847,0.22423530,0.23872786,0.01379531,0.51911415
-5.29764882,1.07225365,0.03963661,0.00807248,0.35938899,0.21708301,0.23015499,0.01328375,0.50186358
-5.29164582,1.03284342,0.03803859,0.00782718,0.34753110,0.20934229,0.22095044,0.01275630,0.48364136
-5.28564282,0.99148566,0.03645437,0.00755127,0.33483089,0.20105561,0.21114607,0.01221661,0.46455759
-5.27963982,0.94850443,0.03489350,0.00724781,0.32142329,0.19228880,0.20079588,0.01166933,0.44477328
-5.27363682,0.90432367,0.03336917,0.00692077,0.30747789,0.18312873,0.18997412,0.01112009,0.42449552
-5.26763382,0.85945200,0.03189776,0.00657485,0.29319308,0.17368004,0.17877248,0.01057531,0.40397030
-5.26163082,0.81446335,0.03049813,0.00621539,0.27878889,0.16406113,0.16729645,0.01004199,0.38347330
-5.25562781,0.76997470,0.02919080,0.00584814,0.26449890,0.15439957,0.15566127,0.00952749,0.36329933
-5.24962481,0.72662194,0.02799702,0.00547912,0.25056156,0.14482725,0.14398751,0.00903927,0.34375088
-5.24362181,0.68503536,0.02693776,0.00511445,0.23721144,0.13547556,0.13239670,0.00858458,0.32512636
-5.23761881,0.64581567,0.02603273,0.00476022,0.22467077,0.12647064,0.12100713,0.00817019,0.30770860
-5.23161581,0.60951183,0.02529939,0.00442237,0.21314165,0.11792919,0.10993006,0.00780216,0.29175420
-5.22561281,0.57660152,0.02475208,0.00410665,0.20279917,0.10995471,0.09926648,0.00748555,0.27748397
-5.21960980,0.54747513,0.02440128,0.00381856,0.19378589,0.10263461,0.08910451,0.00722427,0.26507507
-5.21360680,0.52242366,0.02425298,0.00356340,0.18620764,0.09603801,0.07951760,0.00702089,0.25465503
-5.20760380,0.50163119,0.02430830,0.00334633,0.18013101,0.09021448,0.07056341,0.00687654,0.24629777
