energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,2.04746792,0.50037849,1.28160632,0.02624211,0.02891617,0.24479595,0.16757804,0.07863369,0.26526398
-5.99399700,1.93772858,0.47908058,1.20968349,0.02444428,0.02725928,0.23207506,0.15835401,0.07499678,0.25323342
-5.98799400,1.83171945,0.45844021,1.14140745,0.02273412,0.02575238,0.21948750,0.14919964,0.07129920,0.24126260
-5.98199100,1.73038735,0.43876066,1.07731446,0.02112079,0.02441272,0.20717739,0.14020176,0.06758698,0.22947011
-5.97598799,1.63460936,0.42033162,1.01788605,0.01961177,0.02325422,0.19528084,0.13144238,0.06390486,0.21797467
-5.96998499,1.54517120,0.40341927,0.96353665,0.01821286,0.02228728,0.18392279,0.12299718,0.06029535,0.20689145
-5.96398199,1.46274641,0.38825687,0.91460171,0.01692819,0.02151853,0.17321406,0.11493405,0.05679774,0.19632837
-5.95797899,1.38787704,0.37503599,0.87132663,0.01576026,0.02095066,0.16324870,0.10731179,0.05344733,0.18638252
-5.95197599,1.32095698,0.36389893,0.83385740,0.01470993,0.02058234,0.15410187,0.10017893,0.05027462,0.17713688
-5.94597299,1.26221867,0.35493267,0.80223321,0.01377650,0.02040818,0.14582818,0.09357289,0.04730467,0.16865745
-5.93996998,1.21172418,0.34816452,0.77638192,0.01295773,0.02041876,0.13846056,0.08751932,0.04455668,0.16099100
-5.93396698,1.16936116,0.34355985,0.75611852,0.01224992,0.02060080,0.13200993,0.08203184,0.04204366,0.15416346
-5.92796398,1.13484430,0.34102192,0.74114725,0.01164798,0.02093738,0.12646544,0.07711209,0.03977235,0.14817910
-5.92196098,1.10772260,0.34039402,0.73106739,0.01114562,0.02140823,0.12179541,0.07275013,0.03774331,0.14302049
-5.91595798,1.08739240,0.34146371,0.72538286,0.01073544,0.02199022,0.11794901,0.06892519,0.03595121,0.13864934
-5.90995498,1.07311612,0.34396928,0.72351561,0.01040922,0.02265784,0.11485848,0.06560678,0.03438531,0.13500809
-5.90395198,1.06404614,0.34760800,0.72482231,0.01015810,0.02338385,0.11244202,0.06275604,0.03303017,0.13202226
-5.89794897,1.05925308,0.35204604,0.72861410,0.00997288,0.02413996,0.11060701,0.06032741,0.03186639,0.12960347
-5.89194597,1.05775768,0.35692957,0.73417862,0.00984434,0.02489757,0.10925371,0.05827043,0.03087157,0.12765295
-5.88594297,1.05856496,0.36189672,0.74080359,0.00976351,0.02562858,0.10827908,0.05653174,0.03002134,0.12606544
-5.87993997,1.06069939,0.36658991,0.74780099,0.00972205,0.02630617,0.10758074,0.05505703,0.02929039,0.12473333
-5.87393697,1.06323970,0.37066795,0.75453104,0.00971252,0.02690563,0.10706077,0.05379309,0.02865351,0.12355078
-5.86793397,1.06535194,0.37381760,0.76042472,0.00972870,0.02740500,0.10662934,0.05268963,0.02808665,0.12241777
-5.86193097,1.06631916,0.37576400,0.76500407,0.00976585,0.02778581,0.10620794,0.05170105,0.02756782,0.12124375
-5.85592796,1.06556670,0.37627954,0.76789920,0.00982088,0.02803359,0.10573211,0.05078788,0.02707794,0.11995089
-5.84992496,1.06268169,0.37519084,0.76886126,0.00989256,0.02813824,0.10515350,0.04991795,0.02660144,0.11847669
-5.84392196,1.05742606,0.37238366,0.76777076,0.00998153,0.02809435,0.10444127,0.04906724,0.02612686,0.11677590
-5.83791896,1.04974222,0.36780534,0.76464061,0.01009034,0.02790126,0.10358273,0.04822034,0.02564706,0.11482162
-5.83191596,1.03975134,0.36146492,0.75961393,0.01022332,0.02756298,0.10258313,0.04737054,0.02515937,0.11260558
-5.82591296,1.02774402,0.35343088,0.75295626,0.01038644,0.02708796,0.10146472,0.04651950,0.02466545,0.11013768
-5.81990995,1.01416380,0.34382660,0.74504287,0.01058701,0.02648866,0.10026506,0.04567664,0.02417106,0.10744466
-5.81390695,0.99958432,0.33282396,0.73634115,0.01083332,0.02578102,0.09903464,0.04485811,0.02368550,0.10456809
-5.80790395,0.98468085,0.32063522,0.72738930,0.01113429,0.02498382,0.09783399,0.04408554,0.02322107,0.10156183
-5.80190095,0.97019769,0.30750368,0.71877175,0.01149893,0.02411789,0.09673034,0.04338456,0.02279225,0.09848898
-5.79589795,0.95691272,0.29369364,0.71109277,0.01193587,0.02320536,0.09579403,0.04278315,0.02241489,0.09541851
-5.78989495,0.94560081,0.27947990,0.70494910,0.01245280,0.02226883,0.09509481,0.04230992,0.02210533,0.09242182
