energy_ev,total_up,Al_p_up,Al_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
0.56128064,0.49952780,0.01894311,0.00000000,0.07273831,0.42488224,0.00310237,0.08050297
0.56728364,0.56520950,0.02392842,0.00000000,0.08959905,0.47911875,0.00364672,0.09098973
0.57328664,0.63683133,0.03005995,0.00000000,0.11005006,0.53784131,0.00427846,0.10238524
0.57928964,0.71465213,0.03753978,0.00000000,0.13470308,0.60115482,0.00500892,0.11472482
0.58529265,0.79896696,0.04659207,0.00000000,0.16424012,0.66918566,0.00585051,0.12804874
0.59129565,0.89011663,0.05746152,0.00000000,0.19940996,0.74209153,0.00681666,0.14240405
0.59729865,0.98849634,0.07041077,0.00000000,0.24102152,0.82007133,0.00792161,0.15784630
0.60330165,1.09456225,0.08571653,0.00000000,0.28993336,0.90337403,0.00918013,0.17444094
0.60930465,1.20883471,0.10366430,0.00000000,0.34703914,0.99230532,0.01060723,0.19226418
0.61530765,1.33189654,0.12454168,0.00000000,0.41324839,1.08723105,0.01221766,0.21140317
0.62131066,1.46438535,0.14863021,0.00000000,0.48946269,1.18857602,0.01402541,0.23195513
0.62731366,1.60697872,0.17619575,0.00000000,0.57654723,1.29681736,0.01604312,0.25402542
0.63331666,1.76037154,0.20747763,0.00000000,0.67529802,1.41247158,0.01828133,0.27772426
0.63931966,1.92524526,0.24267681,0.00000000,0.78640560,1.53607479,0.02074778,0.30316219
0.64532266,2.10222916,0.28194329,0.00000000,0.91041602,1.66815614,0.02344658,0.33044415
0.65132566,2.29185468,0.32536336,0.00000000,1.04769042,1.80920477,0.02637745,0.35966240
0.65732866,2.49450405,0.37294705,0.00000000,1.19836487,1.95963129,0.02953499,0.39088841
0.66333167,2.71035546,0.42461658,0.00000000,1.36231215,2.11972507,0.03290793,0.42416410
0.66933467,2.93932726,0.48019624,0.00000000,1.53910766,2.28960946,0.03647867,0.45949278
0.67533767,3.18102438,0.53940446,0.00000000,1.72800132,2.46919702,0.04022282,0.49683039
0.68134067,3.43469028,0.60184879,0.00000000,1.92789774,2.65814753,0.04410910,0.53607733
