energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-5.90395198,6.81324342,0.02288256,0.99891541,1.16840932,0.35598156,2.47606513,1.48246451,0.15056505,2.63074854
-5.89794897,6.62712793,0.02243843,0.96626802,1.10358034,0.35055466,2.37450943,1.44721068,0.15098050,2.56274098
-5.89194597,6.44221525,0.02189075,0.93343690,1.03988481,0.34507173,2.27213735,1.41158096,0.15156560,2.49608366
-5.88594297,6.26216206,0.02125043,0.90099574,0.97806028,0.33969249,2.17052329,1.37639325,0.15240347,2.43211922
-5.87993997,6.09039721,0.02053000,0.86948915,0.91878751,0.33456921,2.07116375,1.34242278,0.15356917,2.37208982
-5.87393697,5.93002419,0.01974324,0.83941865,0.86267979,0.32984170,1.97544146,1.31038012,0.15512623,2.31710075
-5.86793397,5.78373379,0.01890465,0.81123007,0.81027387,0.32563282,1.88459316,1.28089178,0.15712356,2.26808774
-5.86193097,5.65373056,0.01802906,0.78530297,0.76202282,0.32204457,1.79968232,1.25448410,0.15959277,2.22578945
-5.85592796,5.54167629,0.01713114,0.76194225,0.71829091,0.31915506,1.72157748,1.23157124,0.16254604,2.19072638
-5.84992496,5.44865289,0.01622499,0.74137249,0.67935085,0.31701643,1.65093708,1.21244760,0.16597476,2.16318727
-5.84392196,5.37514639,0.01532379,0.72373492,0.64538327,0.31565393,1.58820115,1.19728507,0.16984891,2.14322367
-5.83791896,5.32105275,0.01443951,0.70908741,0.61647862,0.31506613,1.53358997,1.18613497,0.17411730,2.13065322
-5.83191596,5.28570526,0.01358262,0.69740711,0.59264134,0.31522630,1.48710972,1.17893468,0.17870865,2.12507149
-5.82591296,5.26792227,0.01276198,0.68859583,0.57379615,0.31608489,1.44856460,1.17551834,0.18353351,2.12587215
-5.81990995,5.26607303,0.01198473,0.68248764,0.55979618,0.31757304,1.41757493,1.17563113,0.18848695,2.13227454
-5.81390695,5.27815864,0.01125627,0.67885846,0.55043266,0.31960685,1.39360026,1.17894634,0.19345196,2.14335767
-5.80790395,5.30190433,0.01058030,0.67743718,0.54544575,0.32209228,1.37596643,1.18508418,0.19830330,2.15809901
-5.80190095,5.33485871,0.00995896,0.67791759,0.54453594,0.32493043,1.36389550,1.19363150,0.20291189,2.17541655
-5.79589795,5.37449557,0.00939293,0.67997080,0.54737575,0.32802290,1.35653713,1.20416121,0.20714927,2.19421203
-5.78989495,5.41831330,0.00888166,0.68325754,0.55362100,0.33127695,1.35300020,1.21625067,0.21089217,2.21341363
-5.78389195,5.46392771,0.00842356,0.68743965,0.56292133,0.33461021,1.35238346,1.22949779,0.21402686,2.23201601
-5.77788894,5.50915393,0.00801622,0.69219055,0.57492945,0.33795472,1.35380389,1.24353448,0.21645318,2.24911606
-5.77188594,5.55207391,0.00765663,0.69720415,0.58930873,0.34126004,1.35642194,1.25803651,0.21808803,2.26394261
-5.76588294,5.59108694,0.00734139,0.70220190,0.60573895,0.34449526,1.35946279,1.27272958,0.21886817,2.27587901
-5.75987994,5.62494133,0.00706689,0.70693790,0.62391990,0.34764987,1.36223292,1.28739152,0.21875223,2.28447757
-5.75387694,5.65274643,0.00682950,0.71120190,0.64357292,0.35073332,1.36413196,1.30185047,0.21772187,2.28946540
-5.74787394,5.67396542,0.00662565,0.71482032,0.66444031,0.35377343,1.36465941,1.31597963,0.21578199,2.29074160
-5.74187094,5.68839006,0.00645199,0.71765546,0.68628294,0.35681356,1.36341670,1.32968895,0.21296012,2.28836618
-5.73586793,5.69609968,0.00630542,0.71960301,0.70887623,0.35990883,1.36010484,1.34291450,0.20930483,2.28254161
-5.72986493,5.69740742,0.00618316,0.72058843,0.73200506,0.36312152,1.35451837,1.35560640,0.20488351,2.27358803
-5.72386193,5.69279734,0.00608273,0.72056241,0.75545793,0.36651580,1.34653624,1.36771620,0.19977937,2.26191369
-5.71785893,5.68285646,0.00600192,0.71949584,0.77902099,0.37015225,1.33611072,1.37918460,0.19408806,2.24798228
-5.71185593,5.66820581,0.00593883,0.71737479,0.80247234,0.37408227,1.32325498,1.38993053,0.18791386,2.23227899
-5.70585293,5.64943466,0.00589172,0.71419579,0.82557729,0.37834281,1.30803044,1.39984232,0.18136579,2.21527701
-5.69984992,5.62704163,0.00585903,0.70996182,0.84808479,0.38295162,1.29053464,1.40877162,0.17455369,2.19740639
-5.69384692,5.60138598,0.00583926,0.70467922,0.86972555,0.38790330,1.27089033,1.41653060,0.16758451,2.17902664
-5.68784392,5.57265165,0.00583095,0.69835580,0.89021197,0.39316640,1.24923651,1.42289274,0.16055892,2.16040450
-5.68184092,5.54082571,0.00583257,0.69100012,0.90924014,0.39868171,1.22572161,1.42759719,0.15356844,2.14169793
-5.67583792,5.50569222,0.00584252,0.68262215,0.92649378,0.40436187,1.20049927,1.43035657,0.14669309,2.12294676
-5.66983492,5.46684149,0.00585907,0.67323500,0.94164999,0.41009235,1.17372658,1.43086797,0.13999965,2.10407051
-5.66383192,5.42369378,0.00588034,0.66285782,0.95438666,0.41573379,1.14556482,1.42882630,0.13354068,2.08487314
-5.65782891,5.37553591,0.00590426,0.65151947,0.96439110,0.42112565,1.11618236,1.42393968,0.12735410,2.06505428
