energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,5.00089251,0.22405120,0.00000000,0.05033444,3.49576566,1.98858067,1.98871218
-5.99399700,4.95284628,0.21936213,0.00000000,0.04966576,3.46623131,1.95979116,1.97418453
-5.98799400,4.89949286,0.21435478,0.00000000,0.04893261,3.43376007,1.92951227,1.95835909
-5.98199100,4.84140659,0.20911942,0.00000000,0.04815014,3.39867424,1.89797759,1.94148064
-5.97598799,4.77917898,0.20374897,0.00000000,0.04733338,3.36129045,1.86543489,1.92377338
-5.96998499,4.71340844,0.19833637,0.00000000,0.04649694,3.32191573,1.83214207,1.90543696
-5.96398199,4.64469098,0.19297203,0.00000000,0.04565455,3.28084489,1.79836246,1.88664434
-5.95797899,4.57361249,0.18774123,0.00000000,0.04481876,3.23835934,1.76435988,1.86754126
-5.95197599,4.50074281,0.18272183,0.00000000,0.04400065,3.19472754,1.73039379,1.84824761
-5.94597299,4.42663194,0.17798224,0.00000000,0.04320958,3.15020700,1.69671468,1.82886063
-5.93996998,4.35180839,0.17357976,0.00000000,0.04245304,3.10504773,1.66356014,1.80945958
-5.93396698,4.27677975,0.16955939,0.00000000,0.04173654,3.05949687,1.63115173,1.79011187
-5.92796398,4.20203520,0.16595313,0.00000000,0.04106364,3.01380429,1.59969289,1.77088009
-5.92196098,4.12804960,0.16277977,0.00000000,0.04043595,2.96822870,1.56936790,1.75182965
-5.91595798,4.05528883,0.16004524,0.00000000,0.03985330,2.92304378,1.54034192,1.73303649
-5.90995498,3.98421574,0.15774338,0.00000000,0.03931390,2.87854405,1.51276214,1.71459448
-5.90395198,3.91529628,0.15585717,0.00000000,0.03881463,2.83504982,1.48675972,1.69662201
-5.89794897,3.84900507,0.15436032,0.00000000,0.03835130,2.79291103,1.46245251,1.67926738
-5.89194597,3.78583009,0.15321912,0.00000000,0.03791899,2.75250939,1.43994818,1.66271263
-5.88594297,3.72627578,0.15239444,0.00000000,0.03751235,2.71425882,1.41934761,1.64717564
-5.87993997,3.67086433,0.15184384,0.00000000,0.03712599,2.67860377,1.40074822,1.63291025
-5.87393697,3.62013491,0.15152363,0.00000000,0.03675481,2.64601557,1.38424699,1.62020435
-5.86793397,3.57464046,0.15139083,0.00000000,0.03639427,2.61698664,1.36994291,1.60937603
-5.86193097,3.53494232,0.15140488,0.00000000,0.03604071,2.59202293,1.35793878,1.60076791
-5.85592796,3.50160256,0.15152913,0.00000000,0.03569157,2.57163455,1.34834209,1.59473975
-5.84992496,3.47517437,0.15173196,0.00000000,0.03534555,2.55632514,1.34126495,1.59165974
-5.84392196,3.45619073,0.15198760,0.00000000,0.03500277,2.54658017,1.33682302,1.59189476
-5.83791896,3.44515195,0.15227651,0.00000000,0.03466477,2.54285468,1.33513350,1.59579985
-5.83191596,3.44251232,0.15258545,0.00000000,0.03433456,2.54556084,1.33631221,1.60370742
-5.82591296,3.44866664,0.15290727,0.00000000,0.03401650,2.55505579,1.34046997,1.61591646
-5.81990995,3.46393705,0.15324027,0.00000000,0.03371615,2.57163028,1.34770843,1.63268218
-5.81390695,3.48856086,0.15358751,0.00000000,0.03344012,2.59549840,1.35811555,1.65420641
-5.80790395,3.52267986,0.15395583,0.00000000,0.03319575,2.62678899,1.37176102,1.68062910
-5.80190095,3.56633153,0.15435485,0.00000000,0.03299086,2.66553888,1.38869196,1.71202115
-5.79589795,3.61944294,0.15479587,0.00000000,0.03283339,2.71168842,1.40892896,1.74837896
-5.78989495,3.68182721,0.15529093,0.00000000,0.03273110,2.76507941,1.43246290,1.78962078
-5.78389195,3.75318321,0.15585185,0.00000000,0.03269119,2.82545562,1.45925272,1.83558513
-5.77788894,3.83309840,0.15648953,0.00000000,0.03271996,2.89246596,1.48922418,1.88603119
-5.77188594,3.92105471,0.15721334,0.00000000,0.03282252,2.96567010,1.52226991,1.94064149
-5.76588294,4.01643748,0.15803078,0.00000000,0.03300254,3.04454654,1.55825063,1.99902653
-5.75987994,4.11854696,0.15894732,0.00000000,0.03326199,3.12850268,1.59699754,2.06073143
-5.75387694,4.22661194,0.15996642,0.00000000,0.03360100,3.21688660,1.63831580,2.12524427
-5.74787394,4.33980488,0.16108979,0.00000000,0.03401783,3.30899998,1.68198886,2.19200587
-5.74187094,4.45725784,0.16231768,0.00000000,0.03450877,3.40411167,1.72778345,2.26042071
-5.73586793,4.57807854,0.16364940,0.00000000,0.03506830,3.50147127,1.77545480,2.32986846
-5.72986493,4.70136563,0.16508380,0.00000000,0.03568916,3.60032212,1.82475195,2.39971574
-5.72386193,4.82622256,0.16661981,0.00000000,0.03636258,3.69991310,1.87542260,2.46932764
-5.71785893,4.95176940,0.16825689,0.00000000,0.03707859,3.79950876,1.92721738,2.53807855
-5.71185593,5.07715207,0.16999549,0.00000000,0.03782627,3.89839737,1.97989313,2.60536180
-5.70585293,5.20154868,0.17183733,0.00000000,0.03859414,3.99589655,2.03321504,2.67059797
-5.69984992,5.32417302,0.17378559,0.00000000,0.03937053,4.09135655,2.08695750,2.73324133
-5.69384692,5.44427505,0.17584497,0.00000000,0.04014392,4.18416105,2.14090364,2.79278464
-5.68784392,5.56113903,0.17802155,0.00000000,0.04090338,4.27372594,2.19484363,2.84876196
-5.68184092,5.67407970,0.18032262,0.00000000,0.04163884,4.35949637,2.24857186,2.90074989
-5.67583792,5.78243726,0.18275628,0.00000000,0.04234143,4.44094281,2.30188341,2.94836732
-5.66983492,5.88557204,0.18533102,0.00000000,0.04300375,4.51755664,2.35456998,2.99127410
-5.66383192,5.98285975,0.18805519,0.00000000,0.04362008,4.58884612,2.40641568,3.02916912
-5.65782891,6.07368815,0.19093646,0.00000000,0.04418650,4.65433344,2.45719327,3.06178817
-5.65182591,6.15745588,0.19398126,0.00000000,0.04470101,4.71355351,2.50666105,3.08890215
-5.64582291,6.23357416,0.19719415,0.00000000,0.04516355,4.76605497,2.55456079,3.11031599
-5.63981991,6.30147163,0.20057738,0.00000000,0.04557591,4.81140384,2.60061711,3.12586861
-5.63381691,6.36060232,0.20413033,0.00000000,0.04594173,4.84918988,2.64453840,3.13543419
